genomospecies	GCF	n
B13	GCF00014	1
B13	GCF00015	1
B13	GCF00016	1
B4	GCF00017	1
B4	GCF00018	1
B4	GCF00019	1
B4	GCF00020	1
B4	GCF00021	1
B4	GCF00022	1
B4	GCF00023	1
B4	GCF00024	1
B4	GCF00025	1
B7	GCF00026	1
B7	GCF00027	1
B7	GCF00028	1
B7	GCF00029	1
B7	GCF00030	1
BL1	GCF02528	1
BL1	GCF02529	1
BL1	GCF02530	1
BL1	GCF02531	1
BL1	GCF02532	1
BL1	GCF02533	1
BL1	GCF02534	1
BL1	GCF02535	1
BL1	GCF02536	1
BL1	GCF02537	1
BL1	GCF02538	1
BL1	GCF02539	1
BL4	GCF02544	1
BL4	GCF02554	1
BL4	GCF02556	1
BL4	GCF02557	1
BL4	GCF02558	1
BL4	GCF02559	1
BL4	GCF02872	1
BL4	GCF03065	1
BL4	GCF03069	1
CH13	GCF02580	1
CH13	GCF03225	1
CH17	GCF02592	2
CH17	GCF02593	2
CH17	GCF12267	2
CH18	GCF02594	1
CH18	GCF02595	1
CH18	GCF02596	2
CH18	GCF05392	2
CH18	GCF05393	2
CH19	GCF02599	1
CH19	GCF02600	2
CH19	GCF02601	1
CH19	GCF02602	1
CH19	GCF08459	1
CH19	GCF08460	2
CH2	GCF02604	3
CH2	GCF02605	2
CH2	GCF02608	1
CH2	GCF02621	3
CH2	GCF02622	3
CH2	GCF02623	3
CH2	GCF02917	3
CH25	GCF02933	3
CH25	GCF03150	2
CH25	GCF03151	1
CH25	GCF03313	1
CH25	GCF09874	2
CH25	GCF12734	2
CH25	GCF12735	1
CH25	GCF16314	6
CH25	GCF17999	13
CH28	GCF02615	3
CH28	GCF02617	2
CH28	GCF02626	1
CH28	GCF02631	3
CH28	GCF02681	1
CH28	GCF02682	3
CH28	GCF02804	2
CH3	GCF00917	2
CH3	GCF02654	2
CH3	GCF02655	2
CH3	GCF02656	2
CH3	GCF02662	2
CH3	GCF02663	1
CH3	GCF02665	1
CH3	GCF03358	2
CH3	GCF03359	2
CH3	GCF03410	2
CH3	GCF18297	2
CH3	GCF18300	2
CH35	GCF00319	2
CH35	GCF00918	2
CH35	GCF02622	2
CH35	GCF02633	2
CH35	GCF09745	2
CH37	GCF02477	1
CH37	GCF02637	1
CH37	GCF02640	1
CH37	GCF02641	1
CH37	GCF02642	1
CH37	GCF09773	1
CH38	GCF02643	1
CH38	GCF02644	1
CH38	GCF02645	1
CH39	GCF02646	1
CH39	GCF02647	1
CH39	GCF02648	1
CH39	GCF02649	1
CH39	GCF02650	1
CH39	GCF02651	1
CH39	GCF02652	1
CH39	GCF02653	1
CH40	GCF02667	1
CH40	GCF02668	1
CH40	GCF02669	1
CH40	GCF02670	1
CH40	GCF02671	1
CH40	GCF02672	1
CH40	GCF02673	1
CH40	GCF02674	1
CH40	GCF02675	1
CH40	GCF02676	1
CH40	GCF02677	1
CH40	GCF02678	1
CH42	GCF02679	1
CH42	GCF02680	1
CH42	GCF02681	1
CH42	GCF02682	1
CH8	GCF13559	1
CH8	GCF15614	23
G47	GCF00004	1
G47	GCF00010	1
G47	GCF00013	1
G47	GCF00553	1
G47	GCF02571	1
G47	GCF02683	8
G47	GCF02686	7
G47	GCF02687	7
G47	GCF02689	2
G47	GCF02698	1
G47	GCF02903	1
G47	GCF03063	3
G47	GCF03070	8
G47	GCF03071	2
G47	GCF03080	2
G47	GCF03084	3
G47	GCF03085	1
G47	GCF03089	1
G47	GCF03188	8
G47	GCF03189	1
G47	GCF03190	3
G47	GCF03191	5
G47	GCF03192	8
G47	GCF03193	6
G47	GCF03215	2
G47	GCF18232	8
G47	GCF18233	7
G47	GCF18238	5
G47	GCF18239	1
G59	GCF02683	2
G59	GCF02686	1
G59	GCF02687	2
G59	GCF02703	1
G59	GCF02895	1
G59	GCF02900	1
G59	GCF02901	1
G59	GCF02903	2
G59	GCF02904	1
G59	GCF02905	1
G59	GCF03063	1
G59	GCF03070	2
G59	GCF03188	1
G59	GCF03190	1
G59	GCF03192	1
G59	GCF03193	2
G59	GCF03453	1
G59	GCF18232	2
G59	GCF18233	1
G59	GCF18239	1
G59	GCF18259	1
G66	GCF02710	1
G66	GCF02711	1
G88	GCF02712	1
G88	GCF02713	1
G88	GCF02714	1
G88	GCF02715	1
G90	GCF02716	1
G90	GCF02717	1
G93	GCF02718	1
G93	GCF02719	1
GY23	GCF02720	1
GY23	GCF02726	1
GY23	GCF02729	1
GY23	GCF02732	1
GY23	GCF02735	1
GY23	GCF02778	1
GY23	GCF02781	1
GY23	GCF02782	1
GY23	GCF02783	1
GY23	GCF03475	1
GY23	GCF03479	1
GY23	GCF18394	1
GY23	GCF18396	1
GY23	GCF18397	1
GY27	GCF02732	1
GY27	GCF02734	1
GY27	GCF02735	1
GY27	GCF02741	1
GY27	GCF02778	1
GY27	GCF02781	1
GY27	GCF02783	1
GY27	GCF03479	1
GY27	GCF18394	1
GY7	GCF02726	2
GY7	GCF02773	1
GY7	GCF02775	1
GY7	GCF02776	1
GY7	GCF02778	2
GY7	GCF02779	2
GY7	GCF02781	2
GY7	GCF02782	2
GY7	GCF02783	2
GY7	GCF02784	1
GY7	GCF02785	1
GY7	GCF02786	1
GY7	GCF02790	1
GY7	GCF03472	2
GY7	GCF03475	2
GY7	GCF03479	2
GY7	GCF03480	2
GY7	GCF18394	2
H100	GCF02803	1
H100	GCF12346	1
H106	GCF02806	1
H106	GCF02807	1
H106	GCF02808	1
H106	GCF02809	1
H106	GCF02810	1
H106	GCF02811	1
H106	GCF02812	1
H112	GCF02813	1
H112	GCF02814	1
H112	GCF02815	1
H139	GCF02816	1
H139	GCF02817	1
H139	GCF02818	1
H186	GCF02622	1
H186	GCF02623	1
H186	GCF02822	1
H186	GCF02823	1
H19	GCF02590	3
H19	GCF02745	3
H19	GCF02747	3
H19	GCF02796	3
H19	GCF02834	2
H19	GCF02846	3
H19	GCF03103	3
H19	GCF18263	3
H19	GCF18268	2
H19	GCF18269	4
H19	GCF18270	3
H19	GCF18272	1
H2	GCF12346	1
H31	GCF02590	3
H31	GCF02745	4
H31	GCF02747	3
H31	GCF02752	1
H31	GCF02796	3
H31	GCF02843	3
H31	GCF02846	3
H31	GCF02847	1
H31	GCF02853	1
H31	GCF03101	3
H31	GCF03103	3
H31	GCF18269	3
H31	GCF18270	3
H31	GCF18406	3
H36	GCF02877	1
H36	GCF02878	1
H36	GCF02879	1
H36	GCF02880	1
H36	GCF02881	1
H36	GCF02882	1
H52	GCF02622	2
H52	GCF02623	2
H52	GCF02884	1
H52	GCF02921	1
H53	GCF02887	1
H53	GCF02888	1
H53	GCF12346	1
H64	GCF02889	1
H70	GCF00495	1
H70	GCF02390	1
H70	GCF02906	1
H70	GCF02907	1
H70	GCF02910	1
H70	GCF02911	1
H70	GCF02912	1
H70	GCF02913	1
H98	GCF02623	1
H98	GCF02923	1
H98	GCF02924	1
H98	GCF02926	1
H98	GCF02927	1
H98	GCF02929	1
H98	GCF12425	1
J1001	GCF02804	3
J1001	GCF02805	3
J1001	GCF02932	1
J1005	GCF02933	1
J1005	GCF12734	1
J1034	GCF02936	1
J1034	GCF02937	1
J1034	GCF02945	1
J1040	GCF02937	1
J1040	GCF02945	1
J1040	GCF02947	1
J1044	GCF02948	1
J1044	GCF02949	1
J1044	GCF02950	1
J1045	GCF02951	1
J1045	GCF02952	1
J1045	GCF02953	1
J1045	GCF02954	1
J1045	GCF02955	1
J1045	GCF02956	1
J1045	GCF02957	1
J1045	GCF02958	1
J1045	GCF02959	1
J1047	GCF02960	1
J1047	GCF02962	1
J1047	GCF02963	2
J1047	GCF02974	2
J1047	GCF02975	1
J1047	GCF13595	1
J1049	GCF02972	1
J1049	GCF02973	1
J1049	GCF02974	1
J1049	GCF02975	1
J1049	GCF02976	1
J1049	GCF02977	1
J1061	GCF00656	1
J1061	GCF00830	1
J1061	GCF01015	1
J1061	GCF02984	1
J1061	GCF02987	1
J1061	GCF02988	1
J1061	GCF02989	1
J1061	GCF02990	1
J1061	GCF02991	1
J1061	GCF02992	1
J1061	GCF02993	1
J1061	GCF02994	1
J1061	GCF02995	1
J1061	GCF02996	1
J1061	GCF02997	1
J1061	GCF02999	1
J1061	GCF03000	1
J1061	GCF03001	1
J1061	GCF03002	1
J1061	GCF03289	1
J1068	GCF03324	2
J1068	GCF03325	2
J1071	GCF02962	1
J1071	GCF02963	1
J1071	GCF02974	1
J1071	GCF02975	1
J1071	GCF03006	1
J1071	GCF03007	1
J1071	GCF03010	1
J1071	GCF03011	1
J1114	GCF05373	2
J1114	GCF12287	3
J1119	GCF09741	1
J113	GCF03014	1
J113	GCF03015	2
J113	GCF03018	2
J113	GCF03019	2
J113	GCF03020	1
J113	GCF18223	2
J113	GCF18248	2
J113	GCF18250	1
J113	GCF18255	2
J113	GCF18256	2
J113	GCF18259	2
J113	GCF18260	2
J113	GCF18327	2
J113	GCF18328	2
J113	GCF18331	2
J113	GCF18332	2
J1272	GCF03032	1
J1272	GCF03033	1
J1272	GCF03034	1
J1272	GCF03035	1
J1272	GCF03036	1
J1272	GCF03037	1
J1272	GCF03038	1
J1272	GCF03039	1
J1272	GCF03040	1
J131	GCF02933	1
J131	GCF03151	1
J131	GCF12734	1
J1347	GCF02549	1
J1347	GCF02554	1
J1347	GCF02556	1
J1347	GCF02557	1
J1347	GCF02558	1
J1347	GCF02559	1
J1347	GCF02876	1
J1347	GCF03063	1
J1347	GCF03064	1
J1347	GCF03065	1
J1347	GCF03067	1
J1347	GCF03069	1
J1347	GCF03453	1
J1364	GCF01112	1
J1364	GCF01630	1
J1364	GCF01735	1
J1364	GCF02782	1
J1364	GCF03107	1
J1364	GCF03108	1
J1364	GCF03109	1
J1364	GCF03110	1
J1364	GCF03112	1
J1364	GCF03114	1
J1364	GCF03116	1
J1364	GCF03117	1
J1364	GCF03118	1
J1364	GCF03119	1
J1364	GCF03120	1
J1364	GCF03121	1
J1364	GCF03122	1
J1364	GCF03123	1
J1364	GCF03124	1
J1364	GCF03125	1
J1365	GCF03127	1
J1365	GCF03128	1
J1365	GCF03129	1
J1365	GCF03130	1
J1369	GCF03131	1
J1369	GCF03132	1
J1369	GCF03133	1
J1369	GCF03134	1
J1369	GCF03135	1
J1385	GCF03138	1
J1385	GCF03139	1
J1385	GCF03140	1
J1385	GCF03141	1
J1385	GCF03142	1
J1385	GCF03143	1
J1394	GCF03146	1
J1394	GCF03147	1
J1394	GCF03150	1
J1394	GCF09874	1
J1394	GCF12734	1
J1394	GCF17999	1
J1395	GCF02933	1
J1395	GCF03150	1
J1395	GCF03151	1
J1406	GCF03153	1
J146	GCF02933	1
J146	GCF03156	1
J146	GCF09874	1
J146	GCF12734	1
J183	GCF03159	1
J183	GCF03160	1
J183	GCF03161	1
J183	GCF03163	1
J183	GCF11048	1
J183	GCF11070	3
J183	GCF13939	2
J183	GCF13941	1
J183	GCF13942	1
J244	GCF03165	1
J244	GCF03166	1
J244	GCF03167	1
J244	GCF03168	1
J244	GCF03169	1
J252	GCF03171	2
J252	GCF03172	1
J252	GCF03174	4
J252	GCF04765	1
J252	GCF04767	3
J252	GCF04769	1
J252	GCF11085	1
J252	GCF11087	3
J252	GCF15180	2
J267	GCF02933	1
J267	GCF03151	1
J267	GCF03179	1
J267	GCF12734	1
J276	GCF03194	3
J28	GCF03195	1
J28	GCF03196	1
J28	GCF03197	1
J28	GCF03198	1
J28	GCF03199	1
J28	GCF03200	1
J28	GCF03201	1
J28	GCF03202	1
J28	GCF03203	1
J312	GCF18291	1
J352	GCF03147	1
J352	GCF05226	1
J352	GCF12734	1
J352	GCF17999	1
J355	GCF03227	1
J355	GCF03229	1
J355	GCF08681	1
J373	GCF03230	1
J373	GCF03231	1
J373	GCF03233	1
J373	GCF03234	1
J373	GCF03235	1
J373	GCF05579	1
J373	GCF14072	1
J383	GCF03237	1
J383	GCF03238	1
J387	GCF00559	1
J387	GCF03239	1
J387	GCF03241	1
J387	GCF03243	1
J387	GCF03244	1
J387	GCF03245	1
J387	GCF03246	1
J387	GCF07537	1
J406	GCF02682	1
J406	GCF02804	3
J406	GCF02805	2
J406	GCF03249	1
J406	GCF08804	1
J410	GCF03251	1
J410	GCF03253	1
J410	GCF03324	1
J410	GCF03325	1
J417	GCF03254	1
J417	GCF03255	1
J417	GCF03256	1
J417	GCF03257	1
J417	GCF03258	1
J417	GCF03259	1
J417	GCF03260	1
J417	GCF03261	1
J427	GCF02941	3
J427	GCF02942	1
J427	GCF02943	3
J427	GCF02969	1
J427	GCF03263	3
J427	GCF03266	1
J427	GCF03269	1
J427	GCF03270	1
J427	GCF18363	3
J427	GCF18366	3
J427	GCF18367	3
J433	GCF00830	1
J433	GCF03271	1
J433	GCF03272	1
J433	GCF03273	1
J433	GCF03274	1
J433	GCF03275	1
J433	GCF03276	1
J433	GCF03277	1
J433	GCF03278	1
J433	GCF03279	1
J433	GCF03280	1
J433	GCF03281	1
J433	GCF03282	1
J433	GCF03283	1
J433	GCF03284	1
J433	GCF03285	1
J433	GCF03286	1
J433	GCF03287	1
J433	GCF03289	1
J433	GCF03290	1
J433	GCF03291	1
J433	GCF03292	1
J433	GCF03293	1
J433	GCF03294	1
J433	GCF03295	1
J433	GCF03296	1
J433	GCF03297	1
J433	GCF03298	1
J433	GCF03299	1
J433	GCF03300	1
J433	GCF03301	1
J433	GCF03302	1
J433	GCF03303	1
J458	GCF03306	2
J458	GCF03307	2
J458	GCF07537	1
J458	GCF12381	1
J458	GCF12409	1
J474	GCF09846	2
J474	GCF12287	4
J520	GCF03316	1
J520	GCF03317	1
J520	GCF04890	1
J520	GCF12967	1
J548	GCF03318	1
J885	GCF03224	1
J885	GCF03225	2
J885	GCF03226	2
J900	GCF02681	1
J900	GCF02804	1
J900	GCF02836	1
J900	GCF02837	1
J900	GCF02838	2
J900	GCF03343	2
J900	GCF03344	1
J941	GCF03324	1
J941	GCF03325	1
J941	GCF03348	1
J99	GCF03349	1
J99	GCF03350	1
J99	GCF03351	1
K10	GCF03352	1
K237	GCF03362	1
K237	GCF03363	1
K237	GCF03364	1
K237	GCF03365	1
K237	GCF03366	1
K237	GCF03367	1
K260	GCF00522	1
K260	GCF01309	5
K260	GCF02459	1
K260	GCF02543	3
K260	GCF02544	5
K260	GCF02549	5
K260	GCF02552	1
K260	GCF02554	5
K260	GCF02555	1
K260	GCF02556	5
K260	GCF02557	5
K260	GCF02559	5
K260	GCF02764	3
K260	GCF02769	3
K260	GCF02858	1
K260	GCF02863	3
K260	GCF02864	2
K260	GCF02868	3
K260	GCF02872	5
K260	GCF02876	2
K260	GCF03051	1
K260	GCF03054	1
K260	GCF03056	5
K260	GCF03063	2
K260	GCF03065	5
K260	GCF03069	5
K260	GCF03191	1
K260	GCF03382	1
K273	GCF11070	1
K297	GCF03415	1
K298	GCF02280	1
K298	GCF03387	1
K298	GCF03388	1
K298	GCF03389	1
K298	GCF03390	1
K298	GCF03391	1
K298	GCF03392	1
K298	GCF03393	1
K298	GCF03395	1
K298	GCF03396	1
K299	GCF03397	1
K299	GCF03398	1
K299	GCF03399	1
K299	GCF03400	1
K319	GCF03384	1
K319	GCF03401	1
K319	GCF03402	1
K320	GCF00917	1
K320	GCF03359	1
K320	GCF03404	1
K320	GCF03405	1
K320	GCF03406	1
K320	GCF03408	1
K320	GCF03410	1
K320	GCF18300	1
K329	GCF03411	1
K330	GCF03412	1
K331	GCF03413	1
K331	GCF03414	1
K331	GCF03415	1
K338	GCF02382	1
K338	GCF03415	1
K338	GCF03418	1
K340	GCF03419	1
K340	GCF03420	1
K341	GCF03421	1
K343	GCF03422	1
K67	GCF03424	2
K67	GCF18291	3
K72	GCF02590	3
K72	GCF02745	3
K72	GCF02747	3
K72	GCF02749	2
K72	GCF02752	1
K72	GCF02796	3
K72	GCF02797	2
K72	GCF02846	3
K72	GCF02853	2
K72	GCF03101	2
K72	GCF03103	3
K72	GCF03425	1
K72	GCF18269	3
K72	GCF18270	1
K8	GCF03433	1
K8	GCF03434	1
K8	GCF03435	1
LY5	GCF00917	1
LY5	GCF02655	1
LY5	GCF03359	1
LY5	GCF03410	1
LY5	GCF03438	1
LY5	GCF03440	1
LY5	GCF03443	1
LY5	GCF18300	1
MR5	GCF03455	1
MR5	GCF03456	1
MR5	GCF03457	1
MR5	GCF03458	1
MR5	GCF03459	1
MR5	GCF03460	1
MR5	GCF03461	1
MR5	GCF03462	1
MR5	GCF03463	1
MR5	GCF03464	1
MR5	GCF03465	1
MR5	GCF18346	1
MR53	GCF02556	1
MR53	GCF02683	1
MR53	GCF03070	1
MR53	GCF03444	1
MR53	GCF03446	1
MR53	GCF03447	1
MR53	GCF03451	1
MR53	GCF03452	1
MR53	GCF03453	1
MR53	GCF03454	1
MR53	GCF18233	1
MR61	GCF03467	1
MR61	GCF03468	1
MR61	GCF03469	1
MR61	GCF03470	1
PN10RA.bin.28	GCF03484	9
PN10RA.bin.28	GCF05846	3
PN10RA.bin.28	GCF14440	14
PN10RA.bin.28	GCF15615	1
PN10RA.bin.62	GCF04845	1
PN10RA.vae.10537	GCF08892	2
PN10RA.vae.11136	GCF04556	1
PN10RA.vae.1832	GCF03491	1
PN10RA.vae.27096	GCF05255	1
PN10RA.vae.27096	GCF07444	2
PN10RA.vae.27096	GCF15846	1
PN10RA.vae.27270	GCF14093	2
PN10RA.vae.29982	GCF03496	1
PN10RA.vae.29982	GCF03497	1
PN10RA.vae.29982	GCF03498	1
PN10RA.vae.29982	GCF03499	1
PN10RA.vae.29982	GCF03501	1
PN10RA.vae.29982	GCF03502	1
PN10RA.vae.29982	GCF03503	1
PN10RA.vae.29982	GCF03504	1
PN10RA.vae.29982	GCF12828	1
PN10RA.vae.4826	GCF03804	1
PN10RA.vae.4826	GCF03805	1
PN10RA.vae.55780	GCF03508	1
PN10RA.vae.55780	GCF03512	5
PN10RA.vae.55780	GCF03513	1
PN10RA.vae.55780	GCF03514	1
PN10RA.vae.55780	GCF04527	2
PN10RA.vae.55780	GCF04529	2
PN10RA.vae.55780	GCF04530	1
PN10RA.vae.55780	GCF06846	4
PN10RA.vae.55780	GCF07165	1
PN10RA.vae.55780	GCF18036	1
PN10RA.vae.5622	GCF03321	1
PN10RA.vae.5622	GCF09422	1
PN10RA.vae.5622	GCF09573	1
PN10RA.vae.5622	GCF09689	1
PN10RA.vae.5622	GCF15070	1
PN10RA.vae.6800	GCF03523	1
PN10RA.vae.6800	GCF03524	1
PN10RA.vae.6800	GCF03526	1
PN10RA.vae.6800	GCF03527	1
PN10RA.vae.6800	GCF03529	1
PN10RA.vae.6800	GCF08031	1
PN10RA.vae.6800	GCF11881	1
PN10RB.bin.103	GCF12132	1
PN10RB.bin.140	GCF03534	1
PN10RB.bin.140	GCF03535	1
PN10RB.bin.140	GCF17945	1
PN10RB.bin.39	GCF03542	1
PN10RB.bin.39	GCF03543	1
PN10RB.bin.39	GCF10468	1
PN10RB.bin.92	GCF03550	1
PN10RB.bin.92	GCF07939	1
PN10RB.bin.92	GCF09286	2
PN10RB.bin.92	GCF15429	1
PN10RB.vae.13718	GCF04081	2
PN10RB.vae.19525	GCF03928	2
PN10RB.vae.19525	GCF08379	1
PN10RB.vae.21862	GCF03559	1
PN10RB.vae.3433	GCF03563	1
PN10RB.vae.3433	GCF09452	1
PN10RB.vae.3433	GCF14841	1
PN10RB.vae.4838	GCF03832	1
PN10RB.vae.48460	GCF03571	1
PN10RB.vae.64619	GCF03505	1
PN10RB.vae.64619	GCF08214	4
PN10RB.vae.64619	GCF08215	1
PN10RB.vae.64619	GCF08216	1
PN10RB.vae.6992	GCF03577	2
PN10RB.vae.75587	GCF03578	1
PN10RB.vae.90602	GCF03579	1
PN10RB.vae.90602	GCF03580	1
PN10RB.vae.90602	GCF16250	1
PN10RB.vae.90602	GCF16886	1
PN10RC.bin.112	GCF03581	1
PN10RC.bin.112	GCF03583	1
PN10RC.bin.112	GCF16281	1
PN10RC.bin.31	GCF03587	1
PN10RC.vae.27098	GCF10506	1
PN10RC.vae.31866	GCF03613	1
PN10RC.vae.41493	GCF07120	1
PN10RC.vae.41493	GCF17366	1
PN10RC.vae.44463	GCF03641	6
PN10RC.vae.44463	GCF03642	7
PN10RC.vae.8821	GCF03625	2
PN10RC.vae.8821	GCF04187	4
PN10RC.vae.8821	GCF04405	1
PN10RC.vae.9875	GCF03626	1
PN10RD.bin.112	GCF10688	26
PN10RD.bin.112	GCF12772	1
PN10RD.bin.112	GCF16255	2
PN10RD.bin.125	GCF04820	1
PN10RD.bin.13	GCF14271	1
PN10RD.bin.153	GCF03633	1
PN10RD.bin.153	GCF03634	1
PN10RD.bin.153	GCF11819	2
PN10RD.bin.153	GCF11821	1
PN10RD.bin.153	GCF11822	1
PN10RD.bin.153	GCF14070	1
PN10RD.bin.153	GCF14191	1
PN10RD.bin.47	GCF03643	1
PN10RD.bin.47	GCF03644	1
PN10RD.bin.77	GCF03647	4
PN10RD.bin.77	GCF03648	1
PN10RD.bin.77	GCF03967	6
PN10RD.bin.77	GCF05356	2
PN10RD.bin.77	GCF10965	3
PN10RD.bin.77	GCF10967	5
PN10RD.vae.14324	GCF03578	1
PN10RD.vae.14324	GCF03657	1
PN10RD.vae.147424	GCF03661	1
PN10RD.vae.147424	GCF04499	1
PN10RD.vae.147424	GCF06086	1
PN10RD.vae.147424	GCF09361	1
PN10RD.vae.147424	GCF13949	5
PN10RD.vae.147424	GCF13950	4
PN10RD.vae.147424	GCF13951	4
PN10RD.vae.147424	GCF14198	1
PN10RD.vae.19703	GCF10049	1
PN10RD.vae.20059	GCF03671	1
PN10RD.vae.20059	GCF03673	1
PN10RD.vae.20059	GCF09125	1
PN10RD.vae.2040	GCF03492	1
PN10RD.vae.2040	GCF03674	1
PN10RD.vae.2040	GCF04350	8
PN10RD.vae.2040	GCF05437	1
PN10RD.vae.2040	GCF17649	1
PN10RD.vae.22907	GCF03678	3
PN10RD.vae.22907	GCF03679	1
PN10RD.vae.22907	GCF03680	1
PN10RD.vae.22907	GCF04017	2
PN10RD.vae.2387	GCF03563	1
PN10RD.vae.2387	GCF05239	1
PN10RD.vae.2387	GCF09125	1
PN10RD.vae.40831	GCF03692	1
PN10RD.vae.40831	GCF03693	1
PN10RD.vae.40831	GCF07022	1
PN10RD.vae.40831	GCF07547	1
PN10RD.vae.40831	GCF17788	1
PN10RD.vae.48954	GCF03698	1
PN10RD.vae.48954	GCF10831	1
PN10RD.vae.48954	GCF13267	1
PN10RD.vae.68802	GCF04317	3
PN10RD.vae.74052	GCF03705	1
PN10RD.vae.7968	GCF03706	2
PN10RD.vae.7968	GCF10103	1
PN10RD.vae.8579	GCF04040	5
PN10RD.vae.8840	GCF05828	2
PN10RE.bin.70	GCF18036	1
PN10RE.bin.81	GCF15080	1
PN10RE.vae.22287	GCF18291	1
PN10RE.vae.27722	GCF10366	1
