phylum	family	class	n
p__Actinomycetota	f__70-9	Others	3
p__Actinomycetota	f__70-9	RiPPs	1
p__Actinomycetota	f__Atopobiaceae	RiPPs	4
p__Actinomycetota	f__Beutenbergiaceae	Terpene	1
p__Actinomycetota	f__Bifidobacteriaceae	Others	48
p__Actinomycetota	f__Bifidobacteriaceae	RiPPs	9
p__Actinomycetota	f__Brevibacteriaceae	NRPS	4
p__Actinomycetota	f__Brevibacteriaceae	Others	6
p__Actinomycetota	f__Brevibacteriaceae	PKSother	4
p__Actinomycetota	f__Brevibacteriaceae	RiPPs	3
p__Actinomycetota	f__Brevibacteriaceae	Terpene	1
p__Actinomycetota	f__Cellulomonadaceae	NRPS	1
p__Actinomycetota	f__Cellulomonadaceae	Others	8
p__Actinomycetota	f__Cellulomonadaceae	PKSother	3
p__Actinomycetota	f__Cellulomonadaceae	RiPPs	7
p__Actinomycetota	f__Cellulomonadaceae	Terpene	5
p__Actinomycetota	f__Dermabacteraceae	NRPS	1
p__Actinomycetota	f__Dermabacteraceae	Others	8
p__Actinomycetota	f__Dermabacteraceae	PKSother	1
p__Actinomycetota	f__Dermabacteraceae	RiPPs	2
p__Actinomycetota	f__Dermabacteraceae	Terpene	3
p__Actinomycetota	f__Dermatophilaceae	NRPS	6
p__Actinomycetota	f__Dermatophilaceae	Others	8
p__Actinomycetota	f__Dermatophilaceae	PKSother	10
p__Actinomycetota	f__Dermatophilaceae	RiPPs	9
p__Actinomycetota	f__Dermatophilaceae	Terpene	8
p__Actinomycetota	f__Eggerthellaceae	NRPS	17
p__Actinomycetota	f__Eggerthellaceae	Others	51
p__Actinomycetota	f__Eggerthellaceae	RiPPs	2
p__Actinomycetota	f__JAAYBP01	Terpene	1
p__Actinomycetota	f__JACDCH01	Terpene	1
p__Actinomycetota	f__Microbacteriaceae	NRPS	3
p__Actinomycetota	f__Microbacteriaceae	Others	5
p__Actinomycetota	f__Microbacteriaceae	PKSother	5
p__Actinomycetota	f__Microbacteriaceae	RiPPs	8
p__Actinomycetota	f__Microbacteriaceae	Terpene	8
p__Actinomycetota	f__Micrococcaceae	NRPS	6
p__Actinomycetota	f__Micrococcaceae	Others	9
p__Actinomycetota	f__Micrococcaceae	PKSother	4
p__Actinomycetota	f__Micrococcaceae	RiPPs	3
p__Actinomycetota	f__Micrococcaceae	Terpene	5
p__Actinomycetota	f__Micromonosporaceae	NRPS	5
p__Actinomycetota	f__Micromonosporaceae	Others	3
p__Actinomycetota	f__Micromonosporaceae	PKSI	3
p__Actinomycetota	f__Micromonosporaceae	PKSother	1
p__Actinomycetota	f__Micromonosporaceae	RiPPs	1
p__Actinomycetota	f__Micromonosporaceae	Terpene	1
p__Actinomycetota	f__Mycobacteriaceae	NRPS	175
p__Actinomycetota	f__Mycobacteriaceae	Others	30
p__Actinomycetota	f__Mycobacteriaceae	PKS-NRP_Hybrids	3
p__Actinomycetota	f__Mycobacteriaceae	PKSI	120
p__Actinomycetota	f__Mycobacteriaceae	PKSother	26
p__Actinomycetota	f__Mycobacteriaceae	RiPPs	31
p__Actinomycetota	f__Mycobacteriaceae	Terpene	191
p__Actinomycetota	f__Nakamurellaceae	RiPPs	1
p__Actinomycetota	f__Nocardioidaceae	NRPS	2
p__Actinomycetota	f__Nocardioidaceae	Others	1
p__Actinomycetota	f__Nocardioidaceae	PKS-NRP_Hybrids	1
p__Actinomycetota	f__Nocardioidaceae	PKSother	1
p__Actinomycetota	f__Nocardioidaceae	RiPPs	4
p__Actinomycetota	f__Propionibacteriaceae	NRPS	3
p__Actinomycetota	f__Propionibacteriaceae	Others	2
p__Actinomycetota	f__Propionibacteriaceae	RiPPs	1
p__Actinomycetota	f__Propionibacteriaceae	Terpene	7
p__Actinomycetota	f__Pseudonocardiaceae	NRPS	8
p__Actinomycetota	f__Pseudonocardiaceae	Others	5
p__Actinomycetota	f__Pseudonocardiaceae	PKSI	5
p__Actinomycetota	f__Pseudonocardiaceae	PKSother	1
p__Actinomycetota	f__Pseudonocardiaceae	RiPPs	5
p__Actinomycetota	f__Pseudonocardiaceae	Saccharides	1
p__Actinomycetota	f__Pseudonocardiaceae	Terpene	2
p__Actinomycetota	f__QAMH01	Others	31
p__Actinomycetota	f__Streptomycetaceae	NRPS	14
p__Actinomycetota	f__Streptomycetaceae	Others	16
p__Actinomycetota	f__Streptomycetaceae	PKS-NRP_Hybrids	8
p__Actinomycetota	f__Streptomycetaceae	PKSI	5
p__Actinomycetota	f__Streptomycetaceae	PKSother	3
p__Actinomycetota	f__Streptomycetaceae	RiPPs	7
p__Actinomycetota	f__Streptomycetaceae	Terpene	8
p__Actinomycetota	f__Streptosporangiaceae	NRPS	3
p__Actinomycetota	f__Streptosporangiaceae	Others	4
p__Actinomycetota	f__Streptosporangiaceae	PKSI	5
p__Actinomycetota	f__Streptosporangiaceae	PKSother	1
p__Actinomycetota	f__Streptosporangiaceae	Terpene	7
p__Actinomycetota	f__UMGS124	Others	15
p__Bacillota	f__Acidaminococcaceae	RiPPs	81
p__Bacillota	f__Acutalibacteraceae	NRPS	89
p__Bacillota	f__Acutalibacteraceae	Others	124
p__Bacillota	f__Acutalibacteraceae	PKSother	1
p__Bacillota	f__Acutalibacteraceae	RiPPs	957
p__Bacillota	f__Aerococcaceae	Others	1
p__Bacillota	f__Aerococcaceae	PKSother	3
p__Bacillota	f__Aerococcaceae	RiPPs	2
p__Bacillota	f__Aerococcaceae	Terpene	7
p__Bacillota	f__Amphibacillaceae	NRPS	1
p__Bacillota	f__Amphibacillaceae	Others	5
p__Bacillota	f__Amphibacillaceae	PKSother	8
p__Bacillota	f__Amphibacillaceae	RiPPs	3
p__Bacillota	f__Amphibacillaceae	Terpene	8
p__Bacillota	f__Anaeroplasmataceae	NRPS	3
p__Bacillota	f__Anaeroplasmataceae	RiPPs	2
p__Bacillota	f__Anaerotignaceae	RiPPs	8
p__Bacillota	f__Anaerovoracaceae	NRPS	47
p__Bacillota	f__Anaerovoracaceae	Others	59
p__Bacillota	f__Anaerovoracaceae	PKSI	2
p__Bacillota	f__Anaerovoracaceae	PKSother	1
p__Bacillota	f__Anaerovoracaceae	RiPPs	255
p__Bacillota	f__Aneurinibacillaceae	NRPS	2
p__Bacillota	f__Aneurinibacillaceae	Others	4
p__Bacillota	f__Aneurinibacillaceae	PKSother	1
p__Bacillota	f__Aneurinibacillaceae	RiPPs	4
p__Bacillota	f__Aneurinibacillaceae	Terpene	1
p__Bacillota	f__Bacillaceae	NRPS	124
p__Bacillota	f__Bacillaceae	Others	123
p__Bacillota	f__Bacillaceae	PKS-NRP_Hybrids	26
p__Bacillota	f__Bacillaceae	PKSother	66
p__Bacillota	f__Bacillaceae	RiPPs	113
p__Bacillota	f__Bacillaceae	Saccharides	1
p__Bacillota	f__Bacillaceae	Terpene	74
p__Bacillota	f__Bianqueaceae	RiPPs	1
p__Bacillota	f__Borkfalkiaceae	RiPPs	1
p__Bacillota	f__Butyricicoccaceae	RiPPs	202
p__Bacillota	f__CAG-138	NRPS	102
p__Bacillota	f__CAG-138	Others	5
p__Bacillota	f__CAG-138	RiPPs	415
p__Bacillota	f__CAG-272	NRPS	7
p__Bacillota	f__CAG-272	Others	10
p__Bacillota	f__CAG-272	RiPPs	88
p__Bacillota	f__CAG-314	RiPPs	8
p__Bacillota	f__CAG-382	Others	9
p__Bacillota	f__CAG-382	RiPPs	30
p__Bacillota	f__CAG-465	NRPS	2
p__Bacillota	f__CAG-465	RiPPs	2
p__Bacillota	f__CAG-508	NRPS	92
p__Bacillota	f__CAG-508	Others	2
p__Bacillota	f__CAG-508	RiPPs	88
p__Bacillota	f__CAG-74	NRPS	40
p__Bacillota	f__CAG-74	Others	105
p__Bacillota	f__CAG-74	RiPPs	309
p__Bacillota	f__CAG-826	NRPS	5
p__Bacillota	f__CAG-917	RiPPs	6
p__Bacillota	f__CALXSZ01	RiPPs	1
p__Bacillota	f__Carnobacteriaceae	PKSother	2
p__Bacillota	f__Carnobacteriaceae	Terpene	1
p__Bacillota	f__Cellulosilyticaceae	NRPS	16
p__Bacillota	f__Cellulosilyticaceae	Others	4
p__Bacillota	f__Cellulosilyticaceae	PKS-NRP_Hybrids	3
p__Bacillota	f__Cellulosilyticaceae	PKSI	3
p__Bacillota	f__Cellulosilyticaceae	PKSother	3
p__Bacillota	f__Cellulosilyticaceae	RiPPs	44
p__Bacillota	f__Christensenellaceae	NRPS	1
p__Bacillota	f__Christensenellaceae	Others	3
p__Bacillota	f__Christensenellaceae	RiPPs	4
p__Bacillota	f__Clostridiaceae	NRPS	71
p__Bacillota	f__Clostridiaceae	Others	13
p__Bacillota	f__Clostridiaceae	PKS-NRP_Hybrids	7
p__Bacillota	f__Clostridiaceae	PKSI	1
p__Bacillota	f__Clostridiaceae	PKSother	13
p__Bacillota	f__Clostridiaceae	RiPPs	397
p__Bacillota	f__Clostridiaceae	Terpene	2
p__Bacillota	f__Coprobacillaceae	RiPPs	24
p__Bacillota	f__DSM-1321	NRPS	2
p__Bacillota	f__DSM-1321	Others	4
p__Bacillota	f__DSM-1321	PKS-NRP_Hybrids	1
p__Bacillota	f__DSM-1321	PKSother	2
p__Bacillota	f__DSM-1321	RiPPs	8
p__Bacillota	f__DSM-1321	Terpene	7
p__Bacillota	f__DSM-18226	NRPS	2
p__Bacillota	f__DSM-18226	Others	1
p__Bacillota	f__DSM-18226	PKSother	2
p__Bacillota	f__DSM-18226	RiPPs	6
p__Bacillota	f__DSM-18226	Terpene	4
p__Bacillota	f__DSM-45169	NRPS	1
p__Bacillota	f__DSM-45169	Others	3
p__Bacillota	f__DSM-45169	PKSother	1
p__Bacillota	f__DSM-45169	RiPPs	2
p__Bacillota	f__DSM-45169	Terpene	2
p__Bacillota	f__DTU023	NRPS	1
p__Bacillota	f__DTU072	NRPS	2
p__Bacillota	f__Dialisteraceae	RiPPs	24
p__Bacillota	f__Domibacillaceae	Others	2
p__Bacillota	f__Domibacillaceae	RiPPs	1
p__Bacillota	f__Enterococcaceae	PKSother	15
p__Bacillota	f__Enterococcaceae	RiPPs	31
p__Bacillota	f__Enterococcaceae	Terpene	8
p__Bacillota	f__Erysipelotrichaceae	Others	3
p__Bacillota	f__Erysipelotrichaceae	PKSother	1
p__Bacillota	f__Erysipelotrichaceae	RiPPs	36
p__Bacillota	f__Erysipelotrichaceae	Terpene	1
p__Bacillota	f__Eubacteriaceae	RiPPs	4
p__Bacillota	f__Firm-18	Others	2
p__Bacillota	f__Firm-18	RiPPs	1
p__Bacillota	f__HGM11327	RiPPs	2
p__Bacillota	f__HGM11501	RiPPs	9
p__Bacillota	f__HGM11514	RiPPs	3
p__Bacillota	f__Lachnospiraceae	NRPS	230
p__Bacillota	f__Lachnospiraceae	Others	110
p__Bacillota	f__Lachnospiraceae	PKS-NRP_Hybrids	11
p__Bacillota	f__Lachnospiraceae	PKSI	13
p__Bacillota	f__Lachnospiraceae	PKSother	10
p__Bacillota	f__Lachnospiraceae	RiPPs	1730
p__Bacillota	f__Lactobacillaceae	NRPS	1
p__Bacillota	f__Lactobacillaceae	Others	3
p__Bacillota	f__Lactobacillaceae	PKSother	47
p__Bacillota	f__Lactobacillaceae	RiPPs	113
p__Bacillota	f__Lactobacillaceae	Terpene	2
p__Bacillota	f__MARSEILLE-P3954	NRPS	2
p__Bacillota	f__MARSEILLE-P3954	Others	1
p__Bacillota	f__Megasphaeraceae	RiPPs	46
p__Bacillota	f__Metamycoplasmataceae	NRPS	1
p__Bacillota	f__Monoglobaceae	NRPS	2
p__Bacillota	f__Monoglobaceae	Others	1
p__Bacillota	f__Monoglobaceae	RiPPs	6
p__Bacillota	f__Oscillospiraceae	NRPS	115
p__Bacillota	f__Oscillospiraceae	Others	200
p__Bacillota	f__Oscillospiraceae	PKS-NRP_Hybrids	1
p__Bacillota	f__Oscillospiraceae	PKSother	4
p__Bacillota	f__Oscillospiraceae	RiPPs	1058
p__Bacillota	f__Oscillospiraceae	Saccharides	3
p__Bacillota	f__Paenibacillaceae	NRPS	30
p__Bacillota	f__Paenibacillaceae	Others	13
p__Bacillota	f__Paenibacillaceae	PKS-NRP_Hybrids	12
p__Bacillota	f__Paenibacillaceae	PKSother	14
p__Bacillota	f__Paenibacillaceae	RiPPs	43
p__Bacillota	f__Paenibacillaceae	Terpene	7
p__Bacillota	f__Peptococcaceae	RiPPs	21
p__Bacillota	f__Peptoniphilaceae	RiPPs	2
p__Bacillota	f__Peptoniphilaceae	Terpene	1
p__Bacillota	f__Peptostreptococcaceae	NRPS	1
p__Bacillota	f__Peptostreptococcaceae	RiPPs	469
p__Bacillota	f__Planococcaceae	NRPS	11
p__Bacillota	f__Planococcaceae	Others	23
p__Bacillota	f__Planococcaceae	PKSother	25
p__Bacillota	f__Planococcaceae	RiPPs	15
p__Bacillota	f__Planococcaceae	Terpene	24
p__Bacillota	f__QAKW01	RiPPs	1
p__Bacillota	f__QALW01	NRPS	1
p__Bacillota	f__QALW01	RiPPs	1
p__Bacillota	f__QAMX01	Others	4
p__Bacillota	f__QAMX01	RiPPs	8
p__Bacillota	f__RGIG577	RiPPs	1
p__Bacillota	f__RGIG6154	RiPPs	1
p__Bacillota	f__RGIG9151	NRPS	2
p__Bacillota	f__RGIG9151	RiPPs	1
p__Bacillota	f__Ruminococcaceae	NRPS	79
p__Bacillota	f__Ruminococcaceae	Others	32
p__Bacillota	f__Ruminococcaceae	PKS-NRP_Hybrids	1
p__Bacillota	f__Ruminococcaceae	PKSI	1
p__Bacillota	f__Ruminococcaceae	RiPPs	531
p__Bacillota	f__SIG427	NRPS	4
p__Bacillota	f__SIG627	RiPPs	4
p__Bacillota	f__Saccharofermentanaceae	RiPPs	3
p__Bacillota	f__Salinicoccaceae	Terpene	2
p__Bacillota	f__Selenomonadaceae	NRPS	22
p__Bacillota	f__Selenomonadaceae	Others	6
p__Bacillota	f__Selenomonadaceae	RiPPs	156
p__Bacillota	f__Staphylococcaceae	NRPS	8
p__Bacillota	f__Staphylococcaceae	Others	21
p__Bacillota	f__Staphylococcaceae	PKSother	10
p__Bacillota	f__Staphylococcaceae	RiPPs	18
p__Bacillota	f__Staphylococcaceae	Terpene	7
p__Bacillota	f__Streptococcaceae	NRPS	2
p__Bacillota	f__Streptococcaceae	PKSother	28
p__Bacillota	f__Streptococcaceae	RiPPs	52
p__Bacillota	f__Turicibacteraceae	RiPPs	114
p__Bacillota	f__Turicibacteraceae	Terpene	1
p__Bacillota	f__UBA1234	NRPS	7
p__Bacillota	f__UBA1381	NRPS	3
p__Bacillota	f__UBA1381	Others	10
p__Bacillota	f__UBA1381	RiPPs	31
p__Bacillota	f__UBA3700	RiPPs	1
p__Bacillota	f__UBA4068	NRPS	2
p__Bacillota	f__UBA4068	RiPPs	4
p__Bacillota	f__UBA5755	RiPPs	1
p__Bacillota	f__UBA644	Others	10
p__Bacillota	f__UBA644	RiPPs	10
p__Bacillota	f__UBA660	NRPS	11
p__Bacillota	f__UBA660	Others	1
p__Bacillota	f__UBA660	RiPPs	212
p__Bacillota	f__UBA7702	NRPS	8
p__Bacillota	f__UBA7702	Others	9
p__Bacillota	f__UBA7702	RiPPs	10
p__Bacillota	f__UMGS1253	RiPPs	2
p__Bacillota	f__UMGS1384	NRPS	11
p__Bacillota	f__UMGS1384	Others	1
p__Bacillota	f__UMGS1384	RiPPs	1
p__Bacillota	f__UMGS1810	RiPPs	11
p__Bacillota	f__UMGS1883	RiPPs	2
p__Bacillota	f__Unknown	NRPS	4
p__Bacillota	f__Unknown	RiPPs	6
p__Bacillota	f__Veillonellaceae	RiPPs	3
p__Bacteroidota	f__Bacteroidaceae	NRPS	350
p__Bacteroidota	f__Bacteroidaceae	Others	261
p__Bacteroidota	f__Bacteroidaceae	RiPPs	944
p__Bacteroidota	f__Chitinophagaceae	NRPS	2
p__Bacteroidota	f__Chitinophagaceae	Others	1
p__Bacteroidota	f__Chitinophagaceae	PKSother	2
p__Bacteroidota	f__Chitinophagaceae	RiPPs	1
p__Bacteroidota	f__Chitinophagaceae	Terpene	2
p__Bacteroidota	f__Flavobacteriaceae	Others	4
p__Bacteroidota	f__Flavobacteriaceae	Terpene	3
p__Bacteroidota	f__Muribaculaceae	NRPS	19
