name	d_mean	d_sd	d_n	c_mean	c_sd	c_n	yi	vi	measure	model	method_tau2	val_tau2	I2	Q	Q_pval	estimate	ci_lb	ci_ub	pval	index
HB-MSP	1177741.875	191885.520517095	16	1173866.75	142207.004739821	8	0.0210664336475538	0.187509245721388	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
HL-MP	1656941.15	209385.286763113	20	1173866.75	142207.004739821	8	2.42235389807018	0.279782114419568	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
HL2-MP	1338974.81818182	150109.344816382	22	1173866.75	142207.004739821	8	1.08412897903007	0.190043472840759	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
HN-YNBP	1300280.26315789	149871.011336728	19	1173866.75	142207.004739821	8	0.82953452367978	0.190374681280269	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
IM-IMBP	1376608.29411765	124280.019738575	17	1173866.75	142207.004739821	8	1.50806459382189	0.229308705794549	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
JL-BSWP	1839943.75	302839.723575619	8	1173866.75	142207.004739821	8	2.66146664046661	0.471356396197394	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
JL-LXP	1767572.8	260525.695141275	10	1173866.75	142207.004739821	8	2.60707358962626	0.413800908381299	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
JL-SLBP	1844727	605446.771426913	12	1173866.75	142207.004739821	8	1.33416192828679	0.252833034605582	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
LN-BJBP	1185892	111412.402765581	10	1173866.75	142207.004739821	8	0.0910146371765047	0.225230101782788	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
LN-JSBP	1485770.9	91500.652770119	20	1173866.75	142207.004739821	8	2.81598093797732	0.316602654340208	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
LN-LDBP	1839839.66666667	145419.346588049	15	1173866.75	142207.004739821	8	4.44630368803859	0.621440938107222	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
LN-THNP	1191186	218955.420893974	8	1173866.75	142207.004739821	8	0.0886807959951475	0.250245758861823	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
LN2-LDBP	1566736.33333333	147001.191096308	21	1173866.75	142207.004739821	8	2.61938930737143	0.290915605266837	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
SD-LWP	1549201.90909091	163797.64278492	22	1173866.75	142207.004739821	8	2.30139691924914	0.258728341786703	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
SX-LLBP	1326135.1	174802.734080117	20	1173866.75	142207.004739821	8	0.887017205240905	0.18904999147131	SMD	RM	REML	1.1523587759131	81.6%	68.4551735727687	3.6708183735408e-09	1.6392268696103	1.03305327420584	2.24540046501476	1.15692267236683e-07	richness
