region	breed	d_mean	d_sd	d_n	c_mean	c_sd	c_n	yi	vi	measure	model	method_tau2	val_tau2	I2	Q	Q_pval	estimate	ci_lb	ci_ub	pval	plab
Stomach	JL-BSWP	0.2815825	0.138778879282321	8	0.339272125	0.0778334622354266	8	-0.484691329887543	0.25734142766463	SMD	RM	REML	0	0%	1.47155439346941	0.479132933679379	-0.904164711379772	-1.47293005839531	-0.335399364364238	0.0018347814330775	**
Stomach	JL-LXP	0.2181988	0.0886267759023448	10	0.339272125	0.0778334622354266	8	-1.37129981091836	0.277235088095132	SMD	RM	REML	0	0%	1.47155439346941	0.479132933679379	-0.904164711379772	-1.47293005839531	-0.335399364364238	0.0018347814330775	**
Stomach	JL-SLBP	0.2318055	0.133961707511377	12	0.339272125	0.0778334622354266	8	-0.891624298491261	0.228208180574834	SMD	RM	REML	0	0%	1.47155439346941	0.479132933679379	-0.904164711379772	-1.47293005839531	-0.335399364364238	0.0018347814330775	**
Duodenum	JL-BSWP	0.130263	0.180077722853217	8	0.033260375	0.0380090861841425	8	0.704592060857617	0.265514061631987	SMD	RM	REML	0.0391673637847699	14.33%	2.37009855202931	0.305731113916678	0.237002192554985	-0.353877134749663	0.827881519859634	0.431783601445698	
Duodenum	JL-LXP	0.0222072	0.0250142572448416	10	0.033260375	0.0380090861841425	8	-0.335535712849544	0.228127339294374	SMD	RM	REML	0.0391673637847699	14.33%	2.37009855202931	0.305731113916678	0.237002192554985	-0.353877134749663	0.827881519859634	0.431783601445698	
Duodenum	JL-SLBP	0.058398	0.07299123210608	12	0.033260375	0.0380090861841425	8	0.389611000132651	0.212128251618942	SMD	RM	REML	0.0391673637847699	14.33%	2.37009855202931	0.305731113916678	0.237002192554985	-0.353877134749663	0.827881519859634	0.431783601445698	
Jejunum	JL-BSWP	0.191477375	0.126111461808238	8	0.253672	0.249607692580635	8	-0.297307593399802	0.252762243909162	SMD	RM	REML	0	0%	0.639963427732241	0.726162315653606	-0.603478260422724	-1.15553267354942	-0.0514238472960311	0.0321504911889188	*
Jejunum	JL-LXP	0.09519	0.0815605743113669	10	0.253672	0.249607692580635	8	-0.857142591318115	0.245408150606987	SMD	RM	REML	0	0%	0.639963427732241	0.726162315653606	-0.603478260422724	-1.15553267354942	-0.0514238472960311	0.0321504911889188	*
Jejunum	JL-SLBP	0.135847333333333	0.104153440612076	12	0.253672	0.249607692580635	8	-0.64232244015392	0.218647786261465	SMD	RM	REML	0	0%	0.639963427732241	0.726162315653606	-0.603478260422724	-1.15553267354942	-0.0514238472960311	0.0321504911889188	*
Ileum	JL-BSWP	0.042852875	0.0664704375932586	8	0.1914185	0.13074830997105	8	-1.3540740850403	0.307297394618054	SMD	RM	REML	0	0%	0.0897909083099807	0.956097432622294	-1.28345991475907	-1.87414845149268	-0.692771378025467	2.05666015119901e-05	***
Ileum	JL-LXP	0.0657564	0.0750957822505513	10	0.1914185	0.13074830997105	8	-1.15946183517333	0.262343104089542	SMD	RM	REML	0	0%	0.0897909083099807	0.956097432622294	-1.28345991475907	-1.87414845149268	-0.692771378025467	2.05666015119901e-05	***
Ileum	JL-SLBP	0.0658310833333333	0.046951093886876	12	0.1914185	0.13074830997105	8	-1.34504122502197	0.253561730758549	SMD	RM	REML	0	0%	0.0897909083099807	0.956097432622294	-1.28345991475907	-1.87414845149268	-0.692771378025467	2.05666015119901e-05	***
Cecum	JL-BSWP	1.51990075	0.488742240392549	8	0.7737335	0.290964484189099	8	1.75371245720008	0.346109605704336	SMD	RM	REML	0.444222311021858	57.33%	4.67620881462603	0.096510409372168	1.78221035155287	0.785297198204392	2.77912350490134	0.000458524950395954	***
Cecum	JL-LXP	1.579129	0.259517592785366	10	0.7737335	0.290964484189099	8	2.80191255214473	0.443075387496282	SMD	RM	REML	0.444222311021858	57.33%	4.67620881462603	0.096510409372168	1.78221035155287	0.785297198204392	2.77912350490134	0.000458524950395954	***
Cecum	JL-SLBP	1.12253375	0.345544412858667	12	0.7737335	0.290964484189099	8	1.02648607548601	0.2346751749125	SMD	RM	REML	0.444222311021858	57.33%	4.67620881462603	0.096510409372168	1.78221035155287	0.785297198204392	2.77912350490134	0.000458524950395954	***
Colon	JL-BSWP	1.48829925	0.234602076876539	8	0.92465275	0.14678016983498	8	2.7228324231032	0.481681762634439	SMD	RM	REML	2.3595425316685	88.22%	17.7374279073913	0.000140723448222519	1.26663245167742	-0.588796627075215	3.12206153043006	0.180898214863557	
Colon	JL-LXP	1.2084284	0.16824324831307	10	0.92465275	0.14678016983498	8	1.6973001989053	0.305022999033443	SMD	RM	REML	2.3595425316685	88.22%	17.7374279073913	0.000140723448222519	1.26663245167742	-0.588796627075215	3.12206153043006	0.180898214863557	
Colon	JL-SLBP	0.742523083333333	0.461921105434577	12	0.92465275	0.14678016983498	8	-0.468204100337046	0.213813710322644	SMD	RM	REML	2.3595425316685	88.22%	17.7374279073913	0.000140723448222519	1.26663245167742	-0.588796627075215	3.12206153043006	0.180898214863557	
Rectum	JL-BSWP	1.83994375	0.302839723575619	8	1.17386675	0.142207004739821	8	2.66146664046661	0.471356396197394	SMD	RM	REML	0.299265545005237	44.85%	3.56575453993041	0.168153627174295	2.11165197304433	1.18887577670704	3.03442816938162	7.28729693109547e-06	***
Rectum	JL-LXP	1.7675728	0.260525695141275	10	1.17386675	0.142207004739821	8	2.60707358962626	0.413800908381299	SMD	RM	REML	0.299265545005237	44.85%	3.56575453993041	0.168153627174295	2.11165197304433	1.18887577670704	3.03442816938162	7.28729693109547e-06	***
Rectum	JL-SLBP	1.844727	0.605446771426913	12	1.17386675	0.142207004739821	8	1.33416192828679	0.252833034605582	SMD	RM	REML	0.299265545005237	44.85%	3.56575453993041	0.168153627174295	2.11165197304433	1.18887577670704	3.03442816938162	7.28729693109547e-06	***
