name	contigs	total_len	gap	mean_len	N50	N90	max_len	min_len	GC
PN10RA.m500.fa	771876	1009528908	0	1307.89	1522	596	527479	500	48.29
PN10RB.m500.fa	745611	989138546	0	1326.61	1573	595	512949	500	48.96
PN10RC.m500.fa	802254	997009283	0	1242.76	1397	587	432157	500	49.50
PN10RD.m500.fa	847972	1068643410	0	1260.23	1430	588	361768	500	48.90
PN10RE.m500.fa	880543	1078530826	0	1224.85	1368	588	355924	500	48.69
PN10RF.m500.fa	764423	1044822254	0	1366.81	1674	600	543475	500	48.17
PN10RG.m500.fa	894834	1079753951	0	1206.65	1335	581	347183	500	50.45
PN10RH.m500.fa	818847	1085437679	0	1325.57	1582	599	264049	500	48.85
PN10RI.m500.fa	864904	1098303693	0	1269.86	1463	590	314058	500	49.77
PN10RJ.m500.fa	779300	1023219464	0	1313.00	1550	595	481558	500	49.16
PN10RK.m500.fa	902480	1089645012	0	1207.39	1330	582	301811	500	49.45
PN10RL.m500.fa	749984	1030834969	0	1374.48	1703	601	375515	500	48.30
PN10RM.m500.fa	830367	1087875792	0	1310.11	1546	591	449864	500	48.07
PN10RN.m500.fa	806197	1038022869	0	1287.55	1489	592	651610	500	48.95
PN10RO.m500.fa	834043	1120294252	0	1343.21	1633	599	432368	500	49.50
PN10RP.m500.fa	644296	866948794	0	1345.58	1617	600	378573	500	47.20
PN10RQ.m500.fa	761596	956193818	0	1255.51	1433	588	363135	500	48.77
PN10RR.m500.fa	750074	955204386	0	1273.48	1473	591	319796	500	48.58
PN10RS.m500.fa	797194	1027071672	0	1288.36	1490	589	446312	500	47.72
PN10RT.m500.fa	795115	999909459	0	1257.57	1437	589	342749	500	49.19
PN11RA.m500.fa	1135421	1388668774	0	1223.04	1356	582	407129	500	50.40
PN11RB.m500.fa	825508	1005222652	0	1217.70	1354	581	328915	500	50.40
PN11RC.m500.fa	1066171	1220738119	0	1144.97	1210	576	466879	500	51.28
PN11RD.m500.fa	1004294	1199335989	0	1194.21	1303	580	366393	500	50.08
PN11RE.m500.fa	1068477	1308616897	0	1224.75	1364	582	411188	500	52.94
PN11RF.m500.fa	1037285	1269374295	0	1223.75	1359	581	352695	500	50.80
PN11RG.m500.fa	1044268	1274809749	0	1220.77	1347	582	381639	500	49.88
PN11RH.m500.fa	980134	1196672733	0	1220.93	1352	581	425531	500	49.61
PN11RI.m500.fa	960028	1208083695	0	1258.38	1433	587	344865	500	49.49
PN11RJ.m500.fa	1194530	1434453757	0	1200.85	1324	580	236618	500	49.64
PN11RK.m500.fa	1066775	1285560858	0	1205.09	1337	580	332817	500	49.08
PN11RL.m500.fa	1030850	1238743815	0	1201.67	1322	581	247921	500	49.72
PN11RM.m500.fa	1098963	1353643154	0	1231.75	1376	582	395962	500	49.47
PN11RN.m500.fa	1046934	1269948227	0	1213.02	1344	579	436782	500	54.69
PN11RO.m500.fa	1032019	1225717961	0	1187.69	1301	578	496461	500	50.26
PN12RA.m500.fa	659658	874228565	0	1325.28	1594	593	409944	500	48.04
PN12RB.m500.fa	626169	796968475	0	1272.77	1474	586	457935	500	48.33
PN12RC.m500.fa	587565	776760030	0	1322.00	1571	590	500596	500	48.57
PN12RD.m500.fa	682520	903866538	0	1324.31	1596	591	252699	500	48.51
PN12RE.m500.fa	547515	727680279	0	1329.06	1584	591	256145	500	47.32
PN12RF.m500.fa	535354	718688174	0	1342.45	1631	592	222024	500	47.29
PN12RG.m500.fa	588440	788833016	0	1340.55	1643	593	364872	500	45.87
PN12RH.m500.fa	582718	781711661	0	1341.49	1635	594	271392	500	45.38
PN12RI.m500.fa	686413	901095447	0	1312.76	1566	589	341734	500	47.18
PN12RJ.m500.fa	720590	956952706	0	1328.01	1604	590	594565	500	48.59
PN13RA.m500.fa	905858	1146442878	0	1265.59	1455	588	255445	500	48.08
PN13RB.m500.fa	870526	1096546133	0	1259.64	1434	591	352258	500	48.28
PN13RC.m500.fa	801607	1040364653	0	1297.85	1535	592	266834	500	47.21
PN13RD.m500.fa	871722	1104983235	0	1267.59	1472	589	213292	500	49.01
PN13RE.m500.fa	690259	936924322	0	1357.35	1649	596	573934	500	47.09
PN13RF.m500.fa	862629	1058060082	0	1226.55	1384	582	495541	500	46.97
PN13RG.m500.fa	803143	1045770968	0	1302.10	1552	592	495780	500	47.46
PN13RH.m500.fa	863602	1062133601	0	1229.89	1389	585	496019	500	47.51
PN13RI.m500.fa	785653	1063493124	0	1353.64	1643	596	654030	500	47.03
PN13RJ.m500.fa	905332	1137890176	0	1256.88	1431	587	342096	500	47.59
PN13RK.m500.fa	934102	1180270522	0	1263.53	1445	591	527950	500	46.94
PN13RL.m500.fa	893005	1118896562	0	1252.96	1440	587	346084	500	46.23
PN13RM.m500.fa	803642	1004201223	0	1249.56	1435	585	177092	500	47.74
PN13RN.m500.fa	894414	1154294396	0	1290.56	1512	592	356010	500	48.13
PN13RO.m500.fa	773736	1053068059	0	1361.02	1644	602	437205	500	48.69
PN13RP.m500.fa	871767	1155848611	0	1325.87	1586	594	510530	500	48.03
PN13RQ.m500.fa	947295	1212825576	0	1280.30	1491	589	343129	500	47.63
PN13RR.m500.fa	828393	1125537686	0	1358.70	1660	598	440116	500	48.17
PN13RS.m500.fa	973455	1259812659	0	1294.17	1525	593	284956	500	48.34
PN13RT.m500.fa	578371	785272591	0	1357.73	1667	599	322625	500	44.75
PN1IG.m500.fa	9479	8167740	0	861.67	779	535	61915	500	43.31
PN1IJ.m500.fa	11324	12476695	0	1101.79	1152	556	77259	500	47.01
PN1JA.m500.fa	45382	64148314	0	1413.52	1848	610	161828	500	42.91
PN1JD.m500.fa	6495	5460410	0	840.71	786	539	14541	500	49.29
PN1JG.m500.fa	86097	122761837	0	1425.85	1887	601	235329	500	46.66
PN14RK.m500.fa	741299	983504999	0	1326.73	1600	598	382500	500	46.54
PN14RM.m500.fa	557582	769955372	0	1380.88	1727	600	1025432	500	47.02
