sample	contigs	contigs_sum_len	contigs_avg_len	contigs_N50_len	contigs_N90_len	gene	gene_avg_len	complete_gene	gene_clusters
PN10RA	771876	1009528908	1307.9	1522	596	1501153	599.236405	453629	1448040
PN10RB	745611	989138546	1326.6	1573	595	1462949	602.9358843	451969	1411080
PN10RC	802254	997009283	1242.8	1397	587	1505524	591.3008441	424184	1451059
PN10RD	847972	1068643410	1260.2	1430	588	1606806	591.2663097	463285	1548186
PN10RE	880543	1078530826	1224.8	1368	588	1634704	586.7099389	446255	1574598
PN10RF	764423	1044822254	1366.8	1674	600	1530986	608.7235507	492980	1477816
PN10RG	894834	1079753951	1206.7	1335	581	1657828	580.2105243	447458	1595673
PN10RH	818847	1085437679	1325.6	1582	599	1599046	603.6923516	491917	1541495
PN10RI	864904	1098303693	1269.9	1463	590	1640185	595.6032094	472128	1580194
PN10RJ	779300	1023219464	1313	1550	595	1517014	600.9702231	461157	1462405
PN10RK	902480	1089645012	1207.4	1330	582	1669161	580.8645277	450173	1606523
PN10RL	749984	1030834969	1374.5	1703	601	1501127	610.2951169	484331	1448817
PN10RM	830367	1087875792	1310.1	1546	591	1604050	602.2479493	486729	1546603
PN10RN	806197	1038022869	1287.6	1489	592	1549035	597.5888021	458833	1493316
PN10RO	834043	1120294252	1343.2	1633	599	1645086	605.746826	514226	1587148
PN10RP	644296	866948794	1345.6	1617	600	1278862	603.2297957	402526	1233138
PN10RQ	761596	956193818	1255.5	1433	588	1454111	583.5131802	416736	1400644
PN10RR	750074	955204386	1273.5	1473	591	1427493	594.2125187	414741	1375119
PN10RS	797194	1027071672	1288.4	1490	589	1536379	593.7366704	461197	1480139
PN10RT	795115	999909459	1257.6	1437	589	1508955	589.1686869	431941	1453425
PN11RA	1135421	1388668774	1223	1356	582	2095308	590.1935711	566131	2017642
PN11RB	825508	1005222652	1217.7	1354	581	1510825	590.6571582	405962	1454621
PN11RC	1066171	1220738119	1145	1210	576	1890252	577.4855099	462317	1819321
PN11RD	1004294	1199335989	1194.2	1303	580	1817368	586.8780869	472380	1750203
PN11RE	1068477	1308616897	1224.7	1364	582	1992735	586.3719742	548736	1919563
PN11RF	1037285	1269374295	1223.7	1359	581	1924283	587.880211	526386	1853739
PN11RG	1044268	1274809749	1220.8	1347	582	1918685	590.7925923	517464	1847971
PN11RH	980134	1196672733	1220.9	1352	581	1810535	587.4973071	492882	1743197
PN11RI	960028	1208083695	1258.4	1433	587	1823191	589.2996899	527712	1757037
PN11RJ	1194530	1434453757	1200.9	1324	580	2180944	585.2778751	572780	2098601
PN11RK	1066775	1285560858	1205.1	1337	580	1949781	585.6982861	517526	1877080
PN11RL	1030850	1238743815	1201.7	1322	581	1883745	584.7446024	493217	1812809
PN11RM	1098963	1353643154	1231.7	1376	582	2030388	592.497995	556311	1955714
PN11RN	1046934	1269948227	1213	1344	579	1949477	583.482176	528519	1878402
