lvB	lvC	n
Amino acid metabolism	"Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	66
Amino acid metabolism	"Glycine, serine and threonine metabolism [PATH:ko00260]"	104
Amino acid metabolism	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	70
Amino acid metabolism	"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]"	17
Amino acid metabolism	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	65
Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	98
Amino acid metabolism	Arginine biosynthesis [PATH:ko00220]	57
Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	117
Amino acid metabolism	Histidine metabolism [PATH:ko00340]	44
Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	47
Amino acid metabolism	Lysine degradation [PATH:ko00310]	90
Amino acid metabolism	Phenylalanine metabolism [PATH:ko00360]	65
Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	64
Amino acid metabolism	Tyrosine metabolism [PATH:ko00350]	71
Biosynthesis of other secondary metabolites	"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	11
Biosynthesis of other secondary metabolites	"Stilbenoid, diarylheptanoid and gingerol biosynthesis [PATH:ko00945]"	6
Biosynthesis of other secondary metabolites	"Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]"	21
Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis [PATH:ko00525]	16
Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis [PATH:ko00254]	16
Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis [PATH:ko00942]	3
Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis [PATH:ko00402]	8
Biosynthesis of other secondary metabolites	Betalain biosynthesis [PATH:ko00965]	5
Biosynthesis of other secondary metabolites	Biosynthesis of various alkaloids [PATH:ko00996]	4
Biosynthesis of other secondary metabolites	Biosynthesis of various antibiotics [PATH:ko00998]	33
Biosynthesis of other secondary metabolites	Biosynthesis of various other secondary metabolites [PATH:ko00997]	24
Biosynthesis of other secondary metabolites	Biosynthesis of various plant secondary metabolites [PATH:ko00999]	24
Biosynthesis of other secondary metabolites	Caffeine metabolism [PATH:ko00232]	6
Biosynthesis of other secondary metabolites	Carbapenem biosynthesis [PATH:ko00332]	10
Biosynthesis of other secondary metabolites	Clavulanic acid biosynthesis [PATH:ko00331]	2
Biosynthesis of other secondary metabolites	Degradation of flavonoids [PATH:ko00946]	21
Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis [PATH:ko00944]	9
Biosynthesis of other secondary metabolites	Flavonoid biosynthesis [PATH:ko00941]	17
Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis [PATH:ko00966]	4
Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis [PATH:ko00901]	4
Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis [PATH:ko00403]	2
Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis [PATH:ko00943]	7
Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis [PATH:ko00950]	22
Biosynthesis of other secondary metabolites	Monobactam biosynthesis [PATH:ko00261]	26
Biosynthesis of other secondary metabolites	Novobiocin biosynthesis [PATH:ko00401]	17
Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis [PATH:ko00311]	11
Biosynthesis of other secondary metabolites	Phenazine biosynthesis [PATH:ko00405]	12
Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis [PATH:ko00940]	20
Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis [PATH:ko00333]	15
Biosynthesis of other secondary metabolites	Staurosporine biosynthesis [PATH:ko00404]	17
Biosynthesis of other secondary metabolites	Streptomycin biosynthesis [PATH:ko00521]	18
Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	149
Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	55
Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	106
Carbohydrate metabolism	C5-Branched dibasic acid metabolism [PATH:ko00660]	23
Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	62
Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	110
Carbohydrate metabolism	Galactose metabolism [PATH:ko00052]	70
Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	99
Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	97
Carbohydrate metabolism	Inositol phosphate metabolism [PATH:ko00562]	69
Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	86
Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	80
Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	93
Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	127
Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	102
Energy metabolism	Carbon fixation in photosynthetic organisms [PATH:ko00710]	34
Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	101
Energy metabolism	Methane metabolism [PATH:ko00680]	190
Energy metabolism	Nitrogen metabolism [PATH:ko00910]	62
Energy metabolism	Oxidative phosphorylation [PATH:ko00190]	198
Energy metabolism	Photosynthesis - antenna proteins [PATH:ko00196]	13
Energy metabolism	Photosynthesis [PATH:ko00195]	45
Energy metabolism	Sulfur metabolism [PATH:ko00920]	100
Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	12
Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis [PATH:ko00543]	67
Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532]	13
Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]	17
Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533]	5
Glycan biosynthesis and metabolism	Glycosaminoglycan degradation [PATH:ko00531]	14
Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]	4
Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]	11
Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]	13
Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563]	26
Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	14
Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis [PATH:ko00540]	61
Glycan biosynthesis and metabolism	Mannose type O-glycan biosynthesis [PATH:ko00515]	12
Glycan biosynthesis and metabolism	Mucin type O-glycan biosynthesis [PATH:ko00512]	6
Glycan biosynthesis and metabolism	N-Glycan biosynthesis [PATH:ko00510]	39
Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	81
Glycan biosynthesis and metabolism	O-Antigen repeat unit biosynthesis [PATH:ko00542]	34
Glycan biosynthesis and metabolism	Other glycan degradation [PATH:ko00511]	19
Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis [PATH:ko00514]	23
Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis [PATH:ko00550]	53
Glycan biosynthesis and metabolism	Teichoic acid biosynthesis [PATH:ko00552]	41
Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis [PATH:ko00513]	44
Lipid metabolism	"Cutin, suberine and wax biosynthesis [PATH:ko00073]"	13
Lipid metabolism	Arachidonic acid metabolism [PATH:ko00590]	30
Lipid metabolism	Biosynthesis of unsaturated fatty acids [PATH:ko01040]	31
Lipid metabolism	Ether lipid metabolism [PATH:ko00565]	29
Lipid metabolism	Fatty acid biosynthesis [PATH:ko00061]	40
Lipid metabolism	Fatty acid degradation [PATH:ko00071]	48
Lipid metabolism	Fatty acid elongation [PATH:ko00062]	22
Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	82
Lipid metabolism	Glycerophospholipid metabolism [PATH:ko00564]	113
Lipid metabolism	Linoleic acid metabolism [PATH:ko00591]	14
Lipid metabolism	Primary bile acid biosynthesis [PATH:ko00120]	11
Lipid metabolism	Secondary bile acid biosynthesis [PATH:ko00121]	10
Lipid metabolism	Sphingolipid metabolism [PATH:ko00600]	44
Lipid metabolism	Steroid biosynthesis [PATH:ko00100]	28
