lvA	lvB	lvC	n
Brite Hierarchies	Protein families: genetic information processing	Chaperones and folding catalysts [BR:ko03110]	242
Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins [BR:ko03036]	912
Brite Hierarchies	Protein families: genetic information processing	DNA repair and recombination proteins [BR:ko03400]	424
Brite Hierarchies	Protein families: genetic information processing	DNA replication proteins [BR:ko03032]	183
Brite Hierarchies	Protein families: genetic information processing	Membrane trafficking [BR:ko04131]	985
Brite Hierarchies	Protein families: genetic information processing	Messenger RNA biogenesis [BR:ko03019]	371
Brite Hierarchies	Protein families: genetic information processing	Mitochondrial biogenesis [BR:ko03029]	375
Brite Hierarchies	Protein families: genetic information processing	Proteasome [BR:ko03051]	71
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	171
Brite Hierarchies	Protein families: genetic information processing	Ribosome biogenesis [BR:ko03009]	336
Brite Hierarchies	Protein families: genetic information processing	Spliceosome [BR:ko03041]	304
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	925
Brite Hierarchies	Protein families: genetic information processing	Transcription machinery [BR:ko03021]	324
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis [BR:ko03016]	257
Brite Hierarchies	Protein families: genetic information processing	Translation factors [BR:ko03012]	92
Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system [BR:ko04121]	544
Brite Hierarchies	Protein families: metabolism	Amino acid related enzymes [BR:ko01007]	102
Brite Hierarchies	Protein families: metabolism	Cytochrome P450 [BR:ko00199]	173
Brite Hierarchies	Protein families: metabolism	Glycosyltransferases [BR:ko01003]	314
Brite Hierarchies	Protein families: metabolism	Lipid biosynthesis proteins [BR:ko01004]	138
Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	151
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	662
Brite Hierarchies	Protein families: metabolism	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	88
Brite Hierarchies	Protein families: metabolism	Photosynthesis proteins [BR:ko00194]	66
Brite Hierarchies	Protein families: metabolism	Polyketide biosynthesis proteins [BR:ko01008]	327
Brite Hierarchies	Protein families: metabolism	Prenyltransferases [BR:ko01006]	37
Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	513
Brite Hierarchies	Protein families: metabolism	Protein phosphatases and associated proteins [BR:ko01009]	255
Brite Hierarchies	Protein families: signaling and cellular processes	Antimicrobial resistance genes [BR:ko01504]	182
Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins [BR:ko02035]	144
Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial toxins [BR:ko02042]	52
Brite Hierarchies	Protein families: signaling and cellular processes	CD molecules [BR:ko04090]	107
Brite Hierarchies	Protein families: signaling and cellular processes	Cell adhesion molecules [BR:ko04515]	60
Brite Hierarchies	Protein families: signaling and cellular processes	Cilium and associated proteins [BR:ko03037]	296
Brite Hierarchies	Protein families: signaling and cellular processes	Cytokine receptors [BR:ko04050]	15
Brite Hierarchies	Protein families: signaling and cellular processes	Cytokines and growth factors [BR:ko04052]	19
Brite Hierarchies	Protein families: signaling and cellular processes	Cytoskeleton proteins [BR:ko04812]	296
Brite Hierarchies	Protein families: signaling and cellular processes	Domain-containing proteins not elsewhere classified [BR:ko04990]	284
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	444
Brite Hierarchies	Protein families: signaling and cellular processes	G protein-coupled receptors [BR:ko04030]	106
