group_pair	r2	r2adj	pval
HB-MSP_vs_HL-MP	0.613127847235284	0.601749254506911	0.001
HB-MSP_vs_HL2-MP	0.442932522213196	0.427458425608007	0.001
HB-MSP_vs_HN-YNBP	0.283113719555091	0.261389892874943	0.001
HB-MSP_vs_IM-IMBP	0.584331692944112	0.570923037877794	0.001
HB-MSP_vs_JL-BSWP	0.564041779382083	0.544225496626723	0.001
HB-MSP_vs_JL-LXP	0.52631796948055	0.506581218208906	0.001
HB-MSP_vs_JL-SLBP	0.32417840894868	0.298185270831322	0.001
HB-MSP_vs_LN-BJBP	0.607317375180069	0.590955599145906	0.001
HB-MSP_vs_LN-JSBP	0.591878252042648	0.579874671220373	0.001
HB-MSP_vs_LN-LDBP	0.554453581302486	0.539089911692227	0.001
HB-MSP_vs_LN-THNP	0.494090015347471	0.471094106954174	0.001
HB-MSP_vs_LN2-LDBP	0.428586511043172	0.412260411358691	0.001
HB-MSP_vs_SD-LWP	0.533377339031193	0.520415598448726	0.001
HB-MSP_vs_SX-LLBP	0.31760482080023	0.297534374353178	0.001
HB-MSP_vs_JL-DLLW	0.583691759102787	0.564768657243823	0.001
HL-MP_vs_HL2-MP	0.403020949996474	0.388096473746386	0.001
HL-MP_vs_HN-YNBP	0.446321339797404	0.43135705168382	0.001
HL-MP_vs_IM-IMBP	0.466489000640164	0.451245829229883	0.001
HL-MP_vs_JL-BSWP	0.334302673541329	0.308698930215996	0.001
HL-MP_vs_JL-LXP	0.342032107224783	0.318533253911382	0.001
HL-MP_vs_JL-SLBP	0.377997623053467	0.357264210488582	0.001
HL-MP_vs_LN-BJBP	0.56996288832027	0.554604420045994	0.001
HL-MP_vs_LN-JSBP	0.643463599085631	0.634081062219463	0.001
HL-MP_vs_LN-LDBP	0.49638385395242	0.481122758617644	0.001
HL-MP_vs_LN-THNP	0.289409279558716	0.262078867234052	0.001
HL-MP_vs_LN2-LDBP	0.424264208815459	0.40950175263124	0.001
HL-MP_vs_SD-LWP	0.286303554512126	0.268461143374929	0.001
HL-MP_vs_SX-LLBP	0.429440723457878	0.414426005654138	0.001
HL-MP_vs_JL-DLLW	0.487080347878272	0.467352668950513	0.001
HL2-MP_vs_HN-YNBP	0.22236175806101	0.20242231596001	0.001
HL2-MP_vs_IM-IMBP	0.380879442651029	0.364146454614571	0.001
HL2-MP_vs_JL-BSWP	0.369456571847278	0.346937163698967	0.001
HL2-MP_vs_JL-LXP	0.36274078071214	0.341498806735878	0.001
