name	d_mean	d_sd	d_n	c_mean	c_sd	c_n	yi	vi	measure	model	method_tau2	val_tau2	I2	Q	Q_pval	estimate	ci_lb	ci_ub	pval	index	plab
HB-MSP	3079.0625	135.569155169358	16	3168.875	50.3968182102232	8	-0.750759664314239	0.199242501532526	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
HL-MP	3826.75	73.2880941002159	20	3168.875	50.3968182102232	8	9.40779155236227	1.75547396236962	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
HL2-MP	3397.54545454545	93.8853035168456	22	3168.875	50.3968182102232	8	2.61366244897827	0.28430840207453	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
HN-YNBP	3225.42105263158	94.23511718007	19	3168.875	50.3968182102232	8	0.650481724797575	0.185467254397287	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
IM-IMBP	3497.88235294118	50.139657897892	17	3168.875	50.3968182102232	8	6.33518928976359	0.98651599615447	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
JL-BSWP	3383.875	153.413947494073	8	3168.875	50.3968182102232	8	1.77991666243565	0.349003228913002	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
JL-LXP	3501.8	87.1241770246481	10	3168.875	50.3968182102232	8	4.3218679065581	0.743848394492691	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
JL-SLBP	3229.5	103.045003407602	12	3168.875	50.3968182102232	8	0.671433702074275	0.219603913740362	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
LN-BJBP	3471	61.8798118218786	10	3168.875	50.3968182102232	8	5.03493842598282	0.929183470928844	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
LN-JSBP	3436.45	110.892776566992	20	3168.875	50.3968182102232	8	2.64161065462495	0.299609050904073	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
LN-LDBP	3677.6	89.6244545709644	15	3168.875	50.3968182102232	8	6.22599361061034	1.03434050230495	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
LN-THNP	3484	80.2780880973845	8	3168.875	50.3968182102232	8	4.4444403148999	0.867282803522109	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
LN2-LDBP	3392.14285714286	84.5684845047407	21	3168.875	50.3968182102232	8	2.81173325277281	0.308926700804364	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
