ko	HB-MSP	HL-MP	HL2-MP	HN-YNBP	IM-IMBP	JL-BSWP	JL-LXP	JL-SLBP	LN-BJBP	LN-JSBP	LN-LDBP	LN-THNP	LN2-LDBP	SD-LWP	SX-LLBP	lvC	lvB	lvCdes	lvBdes
ko00020	-2.439215669855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C00020	B09101	Citrate cycle (TCA cycle) [PATH:ko00020]	Carbohydrate metabolism
ko00073	-2.43985881600516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C00073	B09103	"Cutin, suberine and wax biosynthesis [PATH:ko00073]"	Lipid metabolism
ko00190	-2.90846450616239	0	0	0	0	-2.63405524071896	-4.83301369486043	0	0	0	0	0	0	0	0	C00190	B09102	Oxidative phosphorylation [PATH:ko00190]	Energy metabolism
ko00194	0	-3.38636523786288	0	-2.88116371020881	0	0	0	0	-2.99427584894582	0	-3.20841644189869	0	0	0	-3.52372504337279	C00194	B09181	Photosynthesis proteins [BR:ko00194]	Protein families: metabolism
ko00195	0	-3.49209232333444	0	-2.98524308201576	0	0	0	0	-3.3351316778484	0	-3.40528077888373	-3.13014641753512	0	0	-3.51590285538855	C00195	B09102	Photosynthesis [PATH:ko00195]	Energy metabolism
ko00520	0	0	0	0	0	0	0	0	0	0	-3.18455654603146	0	0	0	0	C00520	B09101	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	Carbohydrate metabolism
ko00540	0	-2.74846914723013	0	0	0	0	0	0	0	-3.11153602449892	0	-2.94552670067934	0	-3.19343515421301	0	C00540	B09107	Lipopolysaccharide biosynthesis [PATH:ko00540]	Glycan biosynthesis and metabolism
ko00541	0	0	0	0	0	0	0	0	0	0	-3.13631710264219	0	0	0	0	C00541	B09107	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	Glycan biosynthesis and metabolism
ko00550	0	-3.85554357615928	0	0	-3.40033317451964	-3.48310178020322	-3.44617150235047	0	-3.14480072986047	-3.34593841944908	-4.40080883170922	-3.21741458032954	0	-3.31062058440334	0	C00550	B09107	Peptidoglycan biosynthesis [PATH:ko00550]	Glycan biosynthesis and metabolism
ko00552	0	0	0	0	0	0	0	0	0	0	-3.23030323773567	0	0	0	0	C00552	B09107	Teichoic acid biosynthesis [PATH:ko00552]	Glycan biosynthesis and metabolism
ko00563	0	-3.36932379129139	0	-3.34952786380584	-3.03452193371324	0	0	0	0	0	0	0	0	0	-3.32945525767916	C00563	B09107	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563]	Glycan biosynthesis and metabolism
ko00770	0	0	0	0	0	0	0	0	0	0	-2.91356356674024	0	0	0	0	C00770	B09108	Pantothenate and CoA biosynthesis [PATH:ko00770]	Metabolism of cofactors and vitamins
ko00940	-2.87361196449568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C00940	B09110	Phenylpropanoid biosynthesis [PATH:ko00940]	Biosynthesis of other secondary metabolites
ko01005	0	0	0	0	0	0	0	0	-3.21575516281905	-3.68145292166032	-2.94600956439841	-3.23147863198393	0	-3.65683396104798	0	C01005	B09181	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	Protein families: metabolism
ko01011	0	-3.29503633624488	0	0	0	-3.21813709269363	-2.66085223882293	0	0	-3.5566731462141	-3.8747720506777	-3.13219228917401	0	-3.1935712666207	0	C01011	B09181	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	Protein families: metabolism
ko01503	0	-2.8286432203966	-3.09966181634688	0	0	0	0	0	0	-3.53793635053852	0	0	0	0	0	C01503	B09175	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]	Drug resistance: antimicrobial
ko01504	0	0	0	0	0	-2.80568177169712	0	0	0	0	0	0	0	0	0	C01504	B09183	Antimicrobial resistance genes [BR:ko01504]	Protein families: signaling and cellular processes
ko02026	-4.00070156728403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C02026	B09145	Biofilm formation - Escherichia coli [PATH:ko02026]	Cellular community - prokaryotes
ko02030	0	0	0	0	0	0	0	0	0	-2.51612639665505	-2.9089889345621	0	0	0	0	C02030	B09142	Bacterial chemotaxis [PATH:ko02030]	Cell motility
ko02035	-2.96168156742289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C02035	B09183	Bacterial motility proteins [BR:ko02035]	Protein families: signaling and cellular processes
ko02040	0	0	0	0	0	0	0	0	0	-2.84713618933403	-3.83237562620243	0	0	0	0	C02040	B09142	Flagellar assembly [PATH:ko02040]	Cell motility
ko02044	-3.83392943032597	0	0	0	0	-2.65342075687466	0	0	0	-2.6561209081723	0	0	0	0	0	C02044	B09183	Secretion system [BR:ko02044]	Protein families: signaling and cellular processes
ko02048	0	0	0	0	0	0	0	0	0	-4.00413013102511	-3.06089628447118	0	0	-3.3479740158535	0	C02048	B09183	Prokaryotic defense system [BR:ko02048]	Protein families: signaling and cellular processes
ko02060	0	-3.98815218876357	0	0	0	-4.45334468104347	-3.29452236735614	0	0	0	-3.82027864130008	-3.21017632474655	0	0	0	C02060	B09131	Phosphotransferase system (PTS) [PATH:ko02060]	Membrane transport
ko03008	0	-2.77327215876329	0	-3.15776489575752	0	0	-3.67032742705849	0	-3.49078758889927	-3.77830092247502	-3.70365700977465	0	0	0	0	C03008	B09122	Ribosome biogenesis in eukaryotes [PATH:ko03008]	Translation
ko03009	-4.11943501824359	-5.03043885611859	0	-5.42299062351423	-3.00232871191435	-3.75077187446154	-6.73352333562286	0	-6.81520883748717	-5.049952330582	-3.85018288101646	-3.18025744004531	0	0	-3.40548976727205	C03009	B09182	Ribosome biogenesis [BR:ko03009]	Protein families: genetic information processing
ko03010	0	-3.60655212222805	0	0	0	-2.73847868977892	-3.65031944297203	0	0	-3.56454904997971	-5.10199527147269	-3.35257476234305	0	-4.17784775380068	0	C03010	B09122	Ribosome [PATH:ko03010]	Translation
ko03011	0	-3.60020605246015	0	0	0	-3.20545255025934	-5.05059472217067	0	-4.88678557010263	-3.48817857354951	-4.05585752041164	-3.14057789541557	0	0	0	C03011	B09182	Ribosome [BR:ko03011]	Protein families: genetic information processing
ko03013	0	-3.02673607236876	0	-4.5922736352753	-3.39905739824909	0	-3.61357579197672	0	-4.64167865954581	0	0	0	0	0	-3.37027893355314	C03013	B09122	Nucleocytoplasmic transport [PATH:ko03013]	Translation
ko03015	0	0	0	0	0	0	0	0	-3.01254615086705	0	0	0	0	0	0	C03015	B09122	mRNA surveillance pathway [PATH:ko03015]	Translation
ko03016	0	-2.99803901995468	0	0	0	0	-4.546585490221	0	0	-3.99786503469479	-3.54746760801148	0	0	0	0	C03016	B09182	Transfer RNA biogenesis [BR:ko03016]	Protein families: genetic information processing
ko03018	0	0	0	-2.8780245059902	0	0	-3.91624145333051	0	-4.13750936398602	-2.6421212036286	-2.84448398745565	0	0	0	0	C03018	B09123	RNA degradation [PATH:ko03018]	"Folding, sorting and degradation"
ko03019	-2.63445164304054	-3.54963302468143	-3.06163866975705	-5.16941901096823	-3.80019111042157	0	-6.13662932018449	0	-8.209536	-2.73140601259965	0	0	-3.30645577811205	0	-4.76680911374564	C03019	B09182	Messenger RNA biogenesis [BR:ko03019]	Protein families: genetic information processing
ko03020	0	0	0	0	0	0	-3.39090758714828	0	-3.32212947543372	-2.88652226776072	-3.57386346092788	0	0	0	-3.23119208510894	C03020	B09121	RNA polymerase [PATH:ko03020]	Transcription
ko03021	-6.02446573322906	-5.75610182576052	-4.31189645990742	-7.38091311343552	-5.62663553778901	-5.43455880059972	-8.209536	0	-8.209536	-5.95399481043978	-4.74477671801949	-4.28328891335478	-6.05194265979694	0	-8.20953615160139	C03021	B09182	Transcription machinery [BR:ko03021]	Protein families: genetic information processing
ko03022	-2.67007477724899	-3.94971746497915	-3.25413084001749	-4.00474736432112	-3.36785135971222	-3.07462207885031	-4.25274706158257	0	-4.52980461369734	-3.46833950895875	-3.27387614750343	0	-3.99183484612206	0	-4.31186032650225	C03022	B09121	Basal transcription factors [PATH:ko03022]	Transcription
ko03029	-5.36515576485473	-5.68869996166826	-3.24063625773485	-7.18248344778076	-4.64761888755593	-5.11170699688434	-8.209536	0	-8.209536	-5.59968684865348	-4.8958771638375	-3.93951643541028	-5.38795036498778	0	-7.56255122138871	C03029	B09182	Mitochondrial biogenesis [BR:ko03029]	Protein families: genetic information processing
ko03030	0	0	0	0	0	0	0	0	0	0	-3.11354010641428	0	0	0	0	C03030	B09124	DNA replication [PATH:ko03030]	Replication and repair
ko03032	0	-3.24644979796097	0	-3.94619632456315	0	0	-6.24629347632496	0	-5.31484282729432	-2.86368452059169	-3.53368427516629	0	0	0	-3.72858374598613	C03032	B09182	DNA replication proteins [BR:ko03032]	Protein families: genetic information processing
ko03036	0	0	0	0	0	0	0	0	-5.92285326550068	0	0	0	0	0	0	C03036	B09182	Chromosome and associated proteins [BR:ko03036]	Protein families: genetic information processing
ko03037	0	0	0	0	0	0	0	0	-8.209536	0	0	-3.72773849609208	0	0	0	C03037	B09183	Cilium and associated proteins [BR:ko03037]	Protein families: signaling and cellular processes
ko03040	0	0	0	0	0	0	0	0	-3.59329262186194	0	0	0	0	0	0	C03040	B09121	Spliceosome [PATH:ko03040]	Transcription
ko03050	0	0	0	-3.09756915133143	0	0	0	0	-2.75631748433032	0	0	0	0	0	0	C03050	B09123	Proteasome [PATH:ko03050]	"Folding, sorting and degradation"
ko03051	0	0	0	-3.56610519495261	0	0	-3.47283161141602	0	-3.63379065359319	0	0	0	0	0	0	C03051	B09182	Proteasome [BR:ko03051]	Protein families: genetic information processing
ko03060	0	0	0	0	0	0	0	0	0	-2.88428029410926	-2.81486338983764	0	0	0	0	C03060	B09123	Protein export [PATH:ko03060]	"Folding, sorting and degradation"
ko03082	0	0	0	0	0	0	0	0	-3.87798399785122	0	0	0	0	0	0	C03082	B09126	ATP-dependent chromatin remodeling [PATH:ko03082]	Chromosome
ko03083	0	0	0	0	0	0	0	0	-3.64038844489506	0	0	0	0	0	0	C03083	B09126	Polycomb repressive complex [PATH:ko03083]	Chromosome
ko03400	0	-3.062218594025	0	0	0	0	-3.60357017882529	0	-3.75589599693326	0	0	0	0	0	0	C03400	B09182	DNA repair and recombination proteins [BR:ko03400]	Protein families: genetic information processing
ko03420	-3.13428056111695	-3.2548065054138	0	-3.80929842815238	-3.28588679447911	-2.94821008586052	-4.32587628277049	0	-4.919946293289	-3.25153282583615	-3.04623564254147	0	-3.25741768101157	0	-3.73679445300605	C03420	B09124	Nucleotide excision repair [PATH:ko03420]	Replication and repair
ko03430	0	-2.849347724607	0	0	0	0	0	0	0	0	-2.98090630162008	0	0	0	0	C03430	B09124	Mismatch repair [PATH:ko03430]	Replication and repair
ko04011	-5.80328466194262	-5.89286209766264	-4.75881696647721	-6.50743754081892	-5.77154022526952	-6.12659209504567	-7.53495636943005	-4.16198188970863	-7.28431994230789	-5.88149797086038	-5.50828333210853	-3.92169107088846	-6.10873097141318	0	-7.2503592924119	C04011	B09132	MAPK signaling pathway - yeast [PATH:ko04011]	Signal transduction
ko04016	0	0	-3.23052100217282	0	0	0	0	0	0	0	0	0	0	0	0	C04016	B09132	MAPK signaling pathway - plant [PATH:ko04016]	Signal transduction
ko04020	0	0	0	0	0	0	0	0	-3.50599761290527	0	0	0	0	0	0	C04020	B09132	Calcium signaling pathway [PATH:ko04020]	Signal transduction
ko04022	0	0	0	0	0	0	0	0	-2.76074607112412	0	0	0	0	0	0	C04022	B09132	cGMP-PKG signaling pathway [PATH:ko04022]	Signal transduction
ko04030	0	-3.57264469108644	0	0	0	0	0	0	-2.61068788769194	0	0	0	0	-3.78662219825506	0	C04030	B09183	G protein-coupled receptors [BR:ko04030]	Protein families: signaling and cellular processes
ko04031	0	0	0	0	0	0	0	0	-4.96839793887286	0	0	0	0	0	0	C04031	B09183	GTP-binding proteins [BR:ko04031]	Protein families: signaling and cellular processes
ko04040	0	0	0	0	0	0	0	0	-5.33278959271682	0	0	0	0	0	0	C04040	B09183	Ion channels [BR:ko04040]	Protein families: signaling and cellular processes
ko04050	0	0	0	0	0	0	0	0	-2.62298571692963	0	0	0	0	0	0	C04050	B09183	Cytokine receptors [BR:ko04050]	Protein families: signaling and cellular processes
ko04054	0	0	0	0	0	0	0	0	-2.79476467265989	0	0	0	0	0	0	C04054	B09183	Pattern recognition receptors [BR:ko04054]	Protein families: signaling and cellular processes
ko04070	0	0	0	0	0	0	0	0	-2.51817864128573	0	0	0	0	0	0	C04070	B09132	Phosphatidylinositol signaling system [PATH:ko04070]	Signal transduction
ko04075	-3.62211682513852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C04075	B09132	Plant hormone signal transduction [PATH:ko04075]	Signal transduction
ko04110	0	0	0	-3.3586525019019	0	0	0	0	-4.98667612421157	0	0	0	0	0	0	C04110	B09143	Cell cycle [PATH:ko04110]	Cell growth and death
ko04111	-6.02626601158028	-6.04287249423322	-5.20353958471404	-6.7933823049698	-6.12461528871514	-5.86573248274609	-7.63977378883093	-4.59415985132504	-8.07657100413012	-6.15243189682623	-5.79119649474247	-5.22803003170171	-5.73887074521201	-3.85798201455474	-7.2234885194074	C04111	B09143	Cell cycle - yeast [PATH:ko04111]	Cell growth and death
ko04113	-5.37115000112875	-5.85758599851414	-4.78235121478289	-6.27210972645915	-5.80539247528218	-5.74577304068813	-6.96556261151855	-4.04041832587383	-7.54544360181723	-6.04800737085645	-5.99613325460899	-5.5040492903664	-5.74075204914082	-4.06683405164456	-6.73369308045747	C04113	B09143	Meiosis - yeast [PATH:ko04113]	Cell growth and death
ko04114	0	0	0	0	0	0	0	0	-3.52740090444711	0	0	0	0	0	0	C04114	B09143	Oocyte meiosis [PATH:ko04114]	Cell growth and death
ko04120	0	0	0	0	0	0	0	0	-3.35106785577556	0	0	0	0	0	0	C04120	B09123	Ubiquitin mediated proteolysis [PATH:ko04120]	"Folding, sorting and degradation"
ko04121	0	0	0	0	0	0	0	0	-4.62460121611924	0	0	0	0	0	0	C04121	B09182	Ubiquitin system [BR:ko04121]	Protein families: genetic information processing
ko04122	-2.42704452944608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C04122	B09123	Sulfur relay system [PATH:ko04122]	"Folding, sorting and degradation"
ko04130	-2.84439624598441	-3.56601532893718	0	-3.53425013316648	0	0	-3.76759897506155	0	-2.74340408635608	-2.75975387933807	-3.37859944556776	0	-2.95081654636692	0	-3.20737186837092	C04130	B09123	SNARE interactions in vesicular transport [PATH:ko04130]	"Folding, sorting and degradation"
ko04131	0	0	0	0	0	0	0	0	-2.56401631320773	0	0	0	0	0	0	C04131	B09182	Membrane trafficking [BR:ko04131]	Protein families: genetic information processing
ko04136	0	0	0	0	0	0	0	0	-2.97137870655122	0	0	0	0	0	0	C04136	B09141	Autophagy - other [PATH:ko04136]	Transport and catabolism
ko04137	0	0	0	0	0	0	0	0	-2.72233615778279	0	0	0	0	0	0	C04137	B09141	Mitophagy - animal [PATH:ko04137]	Transport and catabolism
ko04138	-3.40694717644519	-3.60668108482853	-3.83558054557592	-4.90306725579894	-4.03308047703258	-3.94752736865232	-5.0752307788535	0	-6.16474374710243	-3.98146259965696	-4.66108142375816	0	-3.76284285540729	0	-4.55248512182149	C04138	B09141	Autophagy - yeast [PATH:ko04138]	Transport and catabolism
