Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.6427394752240774	inf	0.0	0.0	0.0	327	K16110,K25851,K16391,K16424,K25852,K15675,K25842,K15942,K16444,K25850,K15320,K24569,K16233,K20787,K25846,K20786,K25234,K21224,K16129,K15311,K20423,K25843,K15313,K21166,K16025,K15337,K25844,K15384,K14374,K20421,K16108,K20789,K16036,K00646,K18063,K14628,K16421,K15389,K21178,K04790,K12444,K15674,K13612,K12443,K25847,K14254,K15312,K15991,K19207,K16388,K05375,K16099,K16122,K15679,K16392,K25145,K14668,K13613,K14375,K16431,K15314,K15650,K15676,K05556,K15660,K15670,K15328,K16031,K14672,K15970,K23365,K15329,K23367,K12442,K21256,K15665,K14670,K04793,K14251,K25853,K15662,K16132,K05552,K16393,K16006,K21209,K16130,K24567,K16109,K14629,K15673,K21185,K25848,K24110,K16434,K05551,K15327,K12237,K16387,K15467,K24529,K04792,K15972,K25854,K16128,K16035,K16131,K12239,K19106,K04127,K25845,K16420,K14252,K15387,K16381
ko03037:Cilium and associated proteins	0.71885717534734	8.209536151601387	2.220446049250313e-16	1.1146639167235951e-13	5.573319583618286e-14	296	K19398,K24761,K16602,K08828,K24722,K21415,K16461,K19752,K25611,K19671,K19626,K16474,K19676,K19382,K07931,K24822,K16740,K23728,K24253,K20800,K19656,K16747,K25470,K21988,K25441,K23456,K23732,K19678,K16458,K24938,K23965,K16480,K18272,K19352,K19672,K19870,K16601,K19942,K11143,K24652,K24932,K19399,K23730,K25615,K25395,K16531,K16465,K10411,K07944,K10417,K25458,K24937,K25628,K16939,K16455,K19750,K19677,K10408,K24729,K19758,K25138,K19868,K16748,K10414,K25471,K19679,K23729,K24226,K19753,K19348,K07934,K24228,K19754,K25607,K19385,K16944,K20877,K10410,K19680,K16535,K24869,K25554,K19683,K16781,K25549,K22866,K16540,K25390,K16478,K21841,K25647,K19685,K22864,K24837,K25450,K24735,K24229,K19759,K16801,K10359,K19673,K24723,K19674,K20196,K22858,K16473,K16550,K25425,K19362,K10420,K24030,K25460,K23029,K19756,K24227,K24224,K24148,K25532,K10394,K08829,K25226,K19684,K25698,K16749,K00545,K20198,K22868,K25548,K25551,K16744,K24759,K19681,K23538,K25552,K16742,K17570,K08811,K25553,K09519,K16582,K25388,K24728,K25614,K23733,K16746,K10418,K16745
ko04040:Ion channels	0.6479453188980767	6.20100371887063	5.61041879620916e-10	2.81642983987314e-07	9.388100785656661e-08	135	K19480,K04911,K04849,K05175,K04905,K04959,K16897,K04837,K04958,K04874,K04908,K04344,K04855,K04842,K04851,K04883,K04944,K04950,K19501,K19496,K04942,K04884,K04984,K04945,K19499,K04910,K04879,K04882,K04955,K04854,K04909,K05011,K04892,K04850,K04857,K04956,K04943,K04887,K04840
ko04111:Cell cycle - yeast	-0.6532174813007292	-6.026266011580284	1.6779093670038492e-09	8.423101481992005e-07	1.7034782198166454e-07	124	K02605,K18639,K03352,K06648,K02646,K10259,K02365,K12577,K06651,K06684,K12413,K12578,K02606,K02180,K06665,K02603,K06652,K06672,K06682,K02220,K06646,K02212,K03114,K06668,K23458,K06676,K06675,K06659,K12411,K03361,K02555,K03347,K06662,K06653,K09202,K11272,K06647,K12414,K06674,K06686,K03868,K03350,K06681,K06636,K03358,K03085,K12412,K02309,K02627,K03357,K02604,K06649,K02540,K06661,K02214,K02830,K03360,K06680,K02178,K02608,K06657,K02543,K02544,K02607,K02307,K06663,K06666,K06673,K03351,K12416,K12760,K06687,K03348,K06660,K04354,K12576,K06679,K06670,K06671,K03356,K02209,K23469,K03359,K02179,K06658
ko03021:Transcription machinery	-0.5187114710785269	-6.024465733229062	1.6966914540006428e-09	8.517387479012386e-07	1.7034782198166454e-07	324	K15222,K11649,K15134,K15160,K15559,K10845,K06269,K15174,K15223,K15161,K15562,K25818,K15197,K15201,K06665,K15191,K03008,K15163,K15177,K11756,K11360,K11761,K11315,K15127,K25817,K15140,K11767,K03122,K20827,K11313,K03007,K15565,K03009,K03598,K11759,K03134,K15544,K15198,K15216,K11758,K09191,K15151,K23514,K11763,K15150,K03003,K25815,K03127,K11772,K11364,K03022,K03001,K11766,K21752,K24073,K03004,K14649,K06100,K03011,K15561,K00916,K03015,K15178,K03027,K11648,K18998,K15146,K20826,K15217,K03599,K17498,K03131,K15152,K06634,K03140,K03025,K11359,K12412,K15193,K21751,K11764,K17762,K03121,K02208,K11365,K15148,K03014,K15155,K15563,K11368,K03024,K14650,K15128,K15219,K11762,K11770,K14651,K03137,K03597,K03142,K15205,K11363,K11362,K03143,K11773,K03005,K03012,K15218,K11760,K09578,K23002,K03006,K15220,K14721,K15564,K06666,K11776,K08874,K15132,K11775,K11769,K14400,K10842,K15154,K02202,K03020,K03133,K15136,K03000,K03139,K03130,K15199,K11771,K15207,K03135,K23358,K15732,K15138,K15206,K15153,K15145
ko04011:MAPK signaling pathway - yeast	-0.7117392050339875	-5.803284661942619	6.502825167231663e-09	3.264412916356825e-06	5.440697056583824e-07	90	K08294,K11229,K11243,K11242,K04513,K01383,K11236,K02555,K19840,K00706,K11237,K19833,K12412,K11238,K19846,K17971,K07973,K19844,K11233,K19841,K11232,K04441,K15174,K06666,K06648,K19843,K19842,K19806,K19848,K19815,K11241,K06649,K06651,K12760,K11246,K11234,K06665,K19838,K19849,K11213,K06652,K19850,K00006,K17741,K19807,K19816,K04536,K19812,K02220,K04627,K06009,K09448,K19839,K09051,K09468,K09265,K02677,K19847,K19860,K04464,K11239,K23469,K04393,K11245,K11244,K11240,K11215,K04409,K19845
ko04010:MAPK signaling pathway	0.589356230669346	5.467423469686235	4.566242517434205e-08	2.2922275241503168e-05	3.2746482053599583e-06	138	K04849,K04419,K04461,K04443,K04349,K12326,K04463,K04416,K04730,K04344,K16510,K03173,K04855,K04424,K04456,K04851,K04437,K04432,K03099,K04411,K02580,K04431,K04427,K07830,K04353,K04425,K04433,K04445,K04423,K04429,K04448,K04854,K04421,K04460,K04457,K04850,K04857,K07828,K03175,K07827,K07860,K04430,K21278,K05093
ko04031:GTP-binding proteins	0.6142304409274365	5.377178575884971	7.566212101295378e-08	3.798166486371913e-05	3.847129883832229e-06	123	K07918,K07914,K06108,K07913,K07930,K07838,K07888,K07835,K07976,K07881,K07876,K07882,K07929,K07934,K07903,K07899,K07916,K17199,K07875,K07917,K07883,K07901,K07884,K07921,K24888,K07908,K07950,K07851,K07931,K07920,K07877,K07830,K04353,K07923,K07891,K07855,K07944,K07841,K07910,K07902,K07911,K06109,K07880,K07887,K07208,K07915,K07828,K07907,K07827,K07860,K04534
ko04113:Meiosis - yeast	-0.6503469987519446	-5.37115000112875	7.823609537993548e-08	3.9273750183150614e-05	3.847129883832229e-06	103	K06659,K02605,K11582,K12777,K06636,K12778,K03358,K02543,K10878,K12763,K12782,K09359,K12766,K03356,K03085,K02544,K02607,K02309,K12781,K12768,K03352,K02627,K12769,K06663,K06269,K06662,K12776,K06648,K03357,K02604,K06649,K03351,K02365,K09358,K12775,K06651,K12779,K12416,K02606,K12780,K03348,K12773,K02603,K04630,K02540,K06660,K12576,K06679,K09235,K02178,K06661,K02214,K06671,K12764,K02220,K12770,K12783,K12765,K02830,K09243,K12414,K12774,K12762,K06646,K02209,K09468,K02212,K03114,K03359,K12771,K02608,K03350
ko03029:Mitochondrial biogenesis	-0.4774040227843651	-5.365155764854725	8.087939118439635e-08	4.060063178851717e-05	3.847129883832229e-06	375	K17789,K17790,K18172,K18191,K17987,K12160,K18171,K18183,K17715,K18181,K22066,K22073,K02126,K17408,K17983,K17968,K17665,K17980,K18177,K14526,K08329,K09554,K15070,K17973,K18914,K04082,K17787,K17673,K17796,K14522,K17669,K17797,K11830,K17667,K18158,K17945,K17785,K17774,K17801,K22063,K11518,K17784,K07555,K14531,K02262,K17781,K14998,K02258,K17970,K17775,K07390,K02125,K17661,K18192,K18182,K17906,K17670,K16639,K17806,K05863,K09503,K15040,K15032,K14530,K18184,K14533,K17984,K17799,K02256,K14528,K17977,K17978,K08330,K17807,K19828,K17674,K17900,K08340,K14001,K22075,K01410,K17664,K18168,K17666,K08336,K02261,K17672,K17657,K22139,K09539,K17663,K22069,K17678,K19054,K17971,K08331,K08335,K09648,K18185,K15452,K17676,K17803,K18179,K08332,K17780,K23164,K02257,K18188,K17792,K17802,K17974,K22140,K18174,K17679,K18176,K17668,K08338,K17714,K18155,K17660,K17772,K22138,K02260,K22072,K17979,K18164
