Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.7343414085853763	inf	0.0	0.0	0.0	327	K12239,K16108,K16426,K24292,K25234,K16037,K15942,K16384,K14366,K05551,K16425,K21162,K23367,K16421,K16427,K21161,K16420,K16387,K15650,K20421,K24563,K16168,K05552,K15944,K25145,K21209,K16446,K16434,K15660,K19206,K14368,K14256,K25852,K14254,K05556,K04127,K15641,K14670,K16130,K21187,K21169,K14251,K14253,K16006,K00646,K16374,K05554,K15670,K14375,K16431,K24567,K21259,K16383,K04792,K14629,K14669,K14671,K24529,K14252,K14633,K15393,K05553,K14673,K15318,K15643,K21193,K15681,K24556,K16131,K14627,K19207,K16381,K15315,K16106,K16398,K16392,K16036,K04793,K16233,K14667,K15337,K21172,K16448,K14257,K00660,K19205,K16424,K14255,K16134,K16447,K15313,K14668,K16129,K20423,K16450,K21184,K15676,K14370,K12440,K15468,K16029,K16126,K14672,K14371,K16380,K20789,K25846,K16111,K15312,K19580,K25854,K14632,K15466,K20787,K15886,K15672,K14628,K24569,K16102,K16386,K16022,K15674,K16039,K16167,K15671,K05375,K10817,K21254,K16376,K21186,K20420,K16103,K21178,K12443,K14630,K15387,K15991,K15675,K16429,K15679,K19106,K16391,K16385,K04791,K21185,K15467,K21191,K20422,K04788,K16033,K16118,K21163,K20788,K14374,K16378,K16400,K15320,K04790,K12237,K25853,K21297,K23365,K15645,K16100,K24568,K15970,K15926,K12444,K16117,K24565,K21164,K19102,K15673,K16375,K16393,K20786,K16372,K18062,K16382,K14631,K16389,K14369,K02363,K16109,K15941,K16373,K21170,K16099,K15469,K25843,K16031,K15311,K15327,K15642,K16004,K21165
ko04111:Cell cycle - yeast	-0.6886462418626361	-6.042872494233216	1.513942970987614e-09	7.599990832116304e-07	3.799996857178911e-07	124	K06656,K06687,K02309,K06660,K06650,K06670,K12411,K12576,K03360,K06661,K12760,K06684,K06652,K03351,K06666,K23458,K12416,K12414,K02605,K03356,K02178,K06686,K02646,K06682,K06671,K02627,K02209,K02543,K03359,K06658,K06665,K06648,K06651,K02179,K02220,K06659,K18639,K02607,K02537,K03352,K02544,K02181,K06681,K06662,K02307,K06672,K11272,K06667,K06663,K06647,K12577,K02608,K12413,K02830,K06680,K09202,K06646,K12578,K12575,K06673,K06657,K06649,K06678
ko04011:MAPK signaling pathway - yeast	-0.7506862741406082	-5.892862097662643	3.79563158681151e-09	1.90540524490861e-06	5.894027620412245e-07	90	K19848,K19850,K11241,K08294,K06650,K19816,K11213,K11215,K11238,K00706,K11239,K00006,K11227,K19807,K12760,K09051,K06652,K06666,K11233,K01383,K07973,K02677,K19838,K19847,K19845,K19839,K11245,K11234,K17741,K04464,K06665,K11240,K06651,K06648,K02220,K19806,K19851,K19812,K19849,K11243,K17971,K19841,K11226,K04393,K09448,K06009,K09265,K11242,K04627,K19840,K11230,K09468,K19842,K19843,K11237,K04513,K19815,K11246,K11236,K04441,K06649,K11244,K19860,K11229,K19846
ko04113:Meiosis - yeast	-0.7109548553845421	-5.857585998514142	4.696436350926092e-09	2.3576082745383274e-06	5.894027620412245e-07	103	K12775,K12783,K02309,K06660,K06650,K12576,K06661,K03351,K12776,K12414,K12416,K02605,K02178,K03356,K11582,K06671,K02627,K03359,K06648,K12782,K06651,K12777,K12766,K12764,K02220,K06659,K02607,K09359,K02537,K03352,K12772,K02544,K12769,K12768,K06662,K12774,K12770,K12781,K12779,K06663,K09243,K09358,K02830,K12778,K12780,K06646,K09468,K12773,K12575,K12765,K06649,K09235
ko03021:Transcription machinery	-0.49139178487648133	-5.756101825760519	8.607847545860636e-09	4.321130150510111e-06	8.642278936044079e-07	324	K03006,K15152,K11764,K15560,K11759,K14650,K25817,K15206,K03008,K15138,K03139,K15544,K06100,K14845,K11758,K15222,K10845,K14649,K11315,K15561,K15147,K24073,K14400,K15223,K15202,K11363,K15140,K15127,K15154,K11364,K11767,K03137,K15158,K11313,K03141,K03024,K15177,K15562,K15148,K20827,K15564,K15178,K11776,K15563,K03001,K03143,K09191,K15216,K11359,K11762,K15197,K15218,K15199,K11763,K15161,K11771,K15198,K15204,K03004,K21752,K15130,K03023,K11770,K15220,K15163,K11756,K15150,K03007,K15205,K15151,K15146,K03134,K10842,K11360,K14651,K00916,K03122,K15132,K15559,K21751,K03133,K11362,K03138,K25818,K18998,K15565,K25304,K15160,K15193,K06666,K15153,K23358,K11773,K15136,K15219,K14721,K15156,K03142,K15155,K03009,K11766,K15207,K11775,K20826,K03003,K15221,K03005,K23002,K15134,K15145,K15128,K14401,K11760,K03140,K11368,K11772,K11769,K15217
ko03029:Mitochondrial biogenesis	-0.47768304566836245	-5.688699961668256	1.2801015580876651e-08	6.426089215330689e-06	1.0710183036000132e-06	375	K15452,K18179,K08329,K17802,K17672,K17979,K18185,K22138,K18181,K17671,K17778,K17781,K17789,K18172,K22066,K19782,K17770,K08332,K17668,K18155,K17780,K17777,K09454,K17797,K17784,K18192,K22140,K17660,K07555,K17773,K08331,K17665,K08335,K17977,K14528,K17968,K17801,K17663,K22137,K18189,K18177,K15040,K18182,K09539,K17945,K17771,K18187,K18798,K11238,K17788,K18168,K17679,K02260,K17774,K17775,K17798,K17973,K17408,K17983,K17676,K17807,K17984,K17906,K18184,K17800,K19828,K17970,K09554,K15070,K17978,K18170,K18191,K17806,K17667,K09648,K17715,K22073,K17976,K22072,K14522,K18176,K17764,K17805,K22139,K14526,K17785,K17794,K17670,K18188,K17656,K17787,K17799,K17971,K14001,K18178,K18158,K18167,K17782,K17980,K08330,K17673,K17678,K18183,K17772,K17967,K15113,K22068,K08338,K14533,K17803,K22075,K17661,K15032,K18171,K14740,K14531,K17674,K17793,K17786,K22063,K08340,K11518,K17669,K17714,K18174,K17664,K21970,K17791,K14524,K17666,K11830,K17657,K17790,K22069,K17974,K17796,K25877,K17969
ko01052:Type I polyketide structures	0.7879866619788549	5.650230816702166	1.6023253834873685e-08	8.043641139294635e-06	1.1490962035866557e-06	81	K15466,K20787,K15643,K15672,K16037,K24569,K24556,K16386,K24568,K16022,K16384,K14366,K19207,K16381,K24565,K16420,K15671,K10817,K16387,K16398,K24563,K16392,K16036,K16376,K15673,K16375,K25145,K16372,K20786,K16393,K19206,K15991,K14368,K16382,K16389,K15641,K19205,K16391,K16385,K15467,K14375,K16374,K16006,K16373,K15670,K16450,K16033,K24567,K20788,K14370,K16383,K16378,K14374,K16029,K16031,K15642,K16004,K14371,K16380,K20789
ko03037:Cilium and associated proteins	0.5609943009125667	5.589022164721572	2.283518085732794e-08	1.1463195218337028e-05	1.4329075987973283e-06	296	K20800,K20198,K17580,K25425,K19759,K16801,K18272,K19626,K24223,K25226,K25548,K10409,K16602,K25138,K16599,K25615,K08811,K25532,K16540,K16550,K19680,K19672,K19348,K25471,K16608,K23733,K19673,K24932,K19682,K24759,K24253,K19362,K07931,K16582,K19752,K23730,K24822,K16461,K10394,K10420,K12739,K08829,K10418,K23729,K25611,K24030,K19684,K17570,K25647,K24226,K19677,K08828,K24722,K16535,K25608,K10408,K19753,K25607,K25470,K24837,K10411,K19398,K24228,K16744,K16749,K22868,K19685,K04638,K19352,K25390,K16478,K23538,K24869,K07944,K16747,K23965,K25616,K19679,K25460,K16458,K19756,K07934,K25610,K16601,K16531,K16781,K24761,K25614,K19757,K25648,K25424,K16465,K19942,K22866,K25553,K24735,K19758,K19399,K25458,K25554,K19656,K16748,K24728,K24652,K25388,K16480,K19674,K23456,K19385,K23728,K20196,K11143,K10414,K19681,K16745,K25698,K22858,K24224,K25426,K21841,K19678,K22864,K23029,K24227,K10417,K16606,K19676,K25551,K19870,K16473,K23732,K24229,K16746,K10419,K16474,K16455,K19755,K25450,K24723,K10410,K19754,K19750,K19683,K25552,K10359,K16742,K09519,K19382,K24938,K19671,K24729,K25395,K24937,K25441
ko03009:Ribosome biogenesis	-0.4270434869224284	-5.03043885611859	4.893584315546207e-07	0.0002456278212937992	2.7295325848935506e-05	336	K15267,K14796,K02601,K06185,K14781,K14862,K00563,K15265,K03625,K14789,K14845,K14858,K14543,K14540,K05969,K14782,K03685,K12823,K14571,K06178,K14860,K18327,K14528,K24970,K14831,K14839,K14851,K07447,K11130,K14826,K19829,K14284,K14794,K26089,K14825,K06942,K14827,K14560,K19308,K14572,K14814,K08316,K15264,K19828,K11145,K14798,K14824,K14551,K00783,K14837,K14790,K03501,K14795,K14840,K14545,K00561,K11392,K09748,K03218,K14784,K14522,K18692,K14441,K06180,K14526,K18803,K06969,K13525,K09710,K14783,K14836,K12618,K19036,K07056,K07042,K23309,K14767,K14812,K14811,K14546,K06941,K14804,K01139,K26142,K15508,K18849,K14770,K14532,K18328,K21514,K15632,K02687,K14547,K14817,K02528,K03215,K14853,K06948,K14828,K02834,K15507,K03245,K14544,K25137,K14849,K14822,K14531,K14800,K05591,K14768,K14834,K14813,K14861,K14829,K14854,K21970,K14524,K07040,K05808,K03438,K14575,K03595,K02860,K19307,K21515
ko01057:Biosynthesis of type II polyketide products	0.8340322704521544	4.7618000613427975	1.9187373485607395e-06	0.0009627433380185981	9.632061489774913e-05	41	K14252,K21297,K14632,K15934,K15931,K15886,K15932,K14628,K15942,K14627,K15928,K15970,K15926,K15935,K15951,K15944,K15929,K14257,K14630,K14256,K14254,K05556,K14255,K15927,K14251,K15941,K14253,K14629,K26056,K15956
