Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.6765347335762364	7.156143853783757	8.29780688604842e-13	4.1654990559304653e-10	4.165499056796307e-10	327	K16431,K16168,K24567,K14628,K20786,K25848,K14374,K16132,K21186,K19205,K15991,K16381,K21178,K16004,K16421,K18063,K12241,K16122,K16389,K20421,K16447,K05553,K00660,K15313,K21166,K05556,K25842,K16102,K21162,K21384,K25852,K14629,K16129,K14673,K16098,K15972,K16398,K15675,K16393,K15641,K02363,K12444,K23367,K24529,K16386,K25843,K25846,K14668,K14370,K25854,K15312,K24563,K14253,K25234,K14631,K15318,K04791,K15320,K20423,K25844,K24565,K19207,K16446,K05551,K15970,K14375,K14670,K15676,K24569,K16037,K15337,K16131,K16233,K16372,K15327,K12239,K16039,K16036,K16167,K20789,K25845,K25847,K16106,K15311,K21163,K15660,K14252,K21191,K14667,K16118,K16429,K15315,K14669,K15642,K15679,K16380,K16378,K21164,K21185,K16432,K15650,K16029,K14254,K12442,K16109,K04127,K16099,K16392,K16035,K14633,K15467,K24101,K20420,K16117,K20788,K04788,K16031,K20787,K14251,K16006,K19206,K16434,K16033,K15942,K15673,K25851,K04793,K13612,K16383,K21209,K16444,K16385,K16128,K15662,K12440,K13613,K05375,K13615,K16391,K21193,K05552,K16373,K21254,K21160,K25853,K16424,K25850,K00646,K04792,K14366,K23365,K21224,K12443,K16126,K15670,K04790,K15384
ko04111:Cell cycle - yeast	-0.6385013625735684	-5.2035395847140435	1.955280797272252e-07	9.815028856433493e-05	4.907754801153352e-05	124	K06683,K06687,K04371,K12576,K03356,K03357,K06676,K03359,K06654,K03085,K06658,K12575,K18639,K12416,K06671,K12414,K06669,K11272,K06659,K06674,K06655,K02212,K02540,K06672,K06639,K02219,K23469,K06668,K10259,K02178,K06653,K03358,K23458,K02646,K12412,K06648,K02214,K06666,K12577,K06681,K06665,K02309,K06649,K06646,K02307,K06647,K03364,K03350,K02179,K12413,K06682,K03355,K02606,K06663,K04563,K02603,K02605,K02220,K06685,K12760,K06662,K03456,K06673,K06667,K03351,K02543,K06661,K02555,K02516,K02365,K04354,K06660,K12411,K06652,K03114,K02607,K02216,K03868,K03361,K02544,K06628,K06686,K06684,K02180,K02627,K03348,K02830,K06657,K03094,K06679,K06670,K02181,K06677,K09202,K03353,K02604,K06680,K03360,K02831,K02541,K06656,K12578,K06651,K03347
ko00680:Methane metabolism	0.5881155060373016	4.869326062170085	1.119795017157088e-06	0.0005619794437181094	0.00018737903287095273	190	K00205,K23995,K00399,K01622,K00579,K16257,K00578,K22087,K06914,K13812,K15229,K13788,K17066,K00300,K22081,K15228,K00401,K00402,K18277,K16161,K11780,K03396,K16260,K19793,K14128,K24998,K14029,K16178,K07144,K14028,K16255,K16306,K00583,K14082,K12234,K08685,K09733,K22481,K16792,K00440,K03421,K01834,K00443,K10978,K00580,K16179,K17067,K08097,K00202,K03422,K00193,K00584,K22482,K22082,K05979,K14941,K16305,K16370,K11781,K10714,K08692,K14067,K00581,K13942,K01499,K11532,K00319,K01086,K13039,K10713,K14126,K00442,K07072,K18933,K00400,K00201,K00148,K00577,K00320,K11260,K08691,K00317,K00126,K22480,K11779,K06034,K10977,K00200,K00672,K00582,K00203,K16793,K01595
ko04113:Meiosis - yeast	-0.6277444397648808	-4.782351214782885	1.7325661929579184e-06	0.0008693708602995067	0.00019550983780582953	103	K09468,K02178,K06269,K12783,K03114,K12775,K06683,K12768,K12773,K02607,K03358,K11582,K12769,K12576,K02544,K06628,K12772,K02606,K12765,K06663,K09359,K12771,K03356,K03357,K06648,K04563,K02627,K12782,K02214,K02603,K12766,K03359,K02830,K12777,K09243,K12416,K02605,K06671,K12774,K12414,K12764,K02220,K10878,K12770,K12780,K12781,K09235,K06662,K03456,K02604,K02309,K06649,K02212,K03351,K12779,K02831,K06646,K06661,K02541,K09358,K12776,K02365,K06651,K06660,K03350
ko04011:MAPK signaling pathway - yeast	-0.65337210527333	-4.758816966477212	1.947309141492326e-06	0.0009770724943405128	0.00019550983780582953	90	K19848,K09468,K11241,K19704,K02218,K15174,K19845,K11215,K11228,K03114,K19849,K17741,K19833,K19807,K17971,K19806,K11240,K12412,K11227,K01383,K06648,K19844,K19847,K04563,K19838,K19842,K04627,K11236,K06666,K00706,K11243,K19843,K11229,K11226,K06009,K07973,K19850,K11230,K02220,K11244,K19812,K04536,K09051,K19851,K11237,K19839,K04513,K11234,K04393,K09448,K19815,K06649,K11245,K19816,K11242,K00006,K19841,K10591,K19846,K00889,K04441,K23469,K06651,K11213,K11239,K19840,K06652
ko01052:Type I polyketide structures	0.6815228172215273	4.523002367432671	6.096855797776968e-06	0.003055951984465529	0.0005101036017473396	81	K19206,K24567,K20789,K16033,K15673,K20786,K14374,K16386,K16383,K15991,K19205,K16381,K16004,K14370,K16385,K24563,K16031,K15642,K16380,K16378,K16391,K24565,K19207,K16029,K16373,K14375,K16392,K24569,K16037,K16035,K16372,K15467,K14366,K20788,K15670,K16398,K16393,K20787,K16036,K15641,K16006
ko03021:Transcription machinery	-0.4458205953921131	-4.311896459907425	1.6186023102715552e-05	0.008092527123129353	0.0011607690853661725	324	K00916,K11362,K23358,K03010,K03132,K03014,K15199,K03017,K15175,K11762,K17498,K15206,K11771,K15177,K03123,K03022,K09191,K15150,K11361,K03015,K09453,K15138,K24073,K15732,K11776,K08874,K15193,K15196,K15561,K15204,K21752,K14651,K15127,K10845,K11648,K03006,K06269,K03092,K03139,K15191,K03598,K15134,K12412,K15136,K15163,K14650,K03137,K15217,K11363,K06666,K03016,K03599,K03000,K15148,K03024,K11756,K14535,K02202,K03011,K11773,K15147,K11360,K15151,K15132,K11292,K15160,K23002,K21751,K15161,K03088,K15128,K03001,K03007,K15559,K03005,K03142,K14400,K15563,K03012,K15174,K03141,K03133,K03089,K14404,K03027,K10842,K03009,K15205,K15197,K03025,K03138,K15178,K11758,K15154,K15198,K11766,K03130,K03126,K11649,K15562,K15207,K15140,K15220,K03135,K11364,K11366,K15218,K15201,K11763,K11767,K15564,K11786,K03134,K11764,K03013,K15544,K18998,K03127,K03131,K11359,K15153,K11761,K03600,K23514,K03144,K03121,K15155,K15146,K15145,K11770,K11759,K03004,K03143,K14649,K15223,K03008,K25818,K03020,K11760,K11368,K03019,K15222,K03003,K14721,K11769,K06100
ko01059:Biosynthesis of enediyne antibiotics	0.7250409138132741	3.988963478508435	6.636263685577681e-05	0.03276631132744242	0.004164255462699995	46	K16431,K21177,K21186,K21163,K21209,K21178,K21191,K20421,K15315,K15320,K20423,K21166,K20422,K21164,K21185,K21193,K21176,K21162,K21254,K21160,K20420,K21224,K21214
ko04138:Autophagy - yeast	-0.5689170380421141	-3.8355805455759233	0.00012526804356305377	0.06095182537544248	0.0066736614150700565	82	K05755,K09468,K17909,K17900,K08329,K21158,K21156,K08331,K05758,K08334,K21145,K01336,K20178,K08341,K09464,K15296,K08493,K21144,K17906,K17607,K08342,K08516,K09243,K08340,K08339,K08502,K17908,K21197,K14209,K16314,K06655,K20177,K05757,K21155,K17260,K18083,K08330,K07756,K08338,K05754,K06027,K08336,K08266,K01381,K08335
ko00997:Biosynthesis of various other secondary metabolites	0.8361053612246317	3.800346578982049	0.0001444938557166875	0.06997253086962224	0.0066736614150700565	24	K23374,K23447,K23371,K18287,K17835,K03897,K22997,K03895,K23665,K23375,K23446,K23668,K22998,K23372
