Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko03021:Transcription machinery	-0.610901443688838	-7.380913113435523	1.5720758028692217e-13	7.891820530092709e-11	7.891820530403493e-11	324	K15218,K15178,K15199,K03144,K15130,K00916,K11759,K15150,K15732,K15219,K15221,K03132,K11361,K15191,K11771,K11763,K03143,K15153,K11756,K15223,K11315,K15204,K03024,K14535,K15147,K03138,K03127,K15193,K15148,K15152,K15544,K03135,K11767,K03007,K15158,K11762,K03137,K21751,K14845,K15565,K15177,K15561,K15559,K11766,K03133,K03004,K15145,K15160,K10842,K06666,K14721,K06100,K14401,K03011,K23514,K14650,K11363,K11776,K03000,K11364,K21752,K03008,K24073,K11359,K15198,K25304,K15207,K03141,K15205,K02202,K15562,K15132,K15197,K15136,K15138,K11362,K15206,K15217,K11764,K03122,K15175,K11648,K14400,K03009,K11775,K03003,K14651,K06665,K03123,K15560,K03026,K15161,K15140,K03134,K23002,K15165,K15564,K23358,K14649,K03140,K15563,K15127,K18998,K09191,K10845,K11772,K03006,K03005,K15222,K15128,K11774,K15220,K11761,K03014,K17498,K15134,K20827,K15155,K06634,K03139,K15202,K11773,K03025,K11368,K03130,K03015,K25817,K15146,K03131,K25818,K11760,K03023,K03001,K03020,K11360,K15154,K03019,K03142,K03012,K15174,K11769,K11770,K15151,K15163,K11365,K11758,K03598
ko03029:Mitochondrial biogenesis	-0.6111056846334532	-7.182483447780762	6.845635169838715e-13	3.436508854669732e-10	1.7182544276295175e-10	375	K08339,K18185,K15070,K17906,K17802,K15040,K02126,K23499,K19465,K18176,K17676,K19782,K17784,K17665,K17666,K17667,K22063,K17789,K17979,K17805,K02262,K02256,K17764,K17798,K18183,K17792,K08335,K17714,K17786,K17800,K11518,K17791,K09539,K18158,K17968,K17980,K08329,K18155,K08336,K17663,K17984,K18177,K18174,K17781,K01410,K02125,K02260,K22139,K18914,K22140,K17770,K17790,K18187,K11238,K17887,K07555,K22066,K02332,K01164,K17656,K18188,K17970,K17977,K17801,K18172,K17808,K18191,K08332,K17780,K17773,K17782,K14528,K18181,K17794,K18192,K17793,K17715,K17967,K17806,K23755,K17678,K17785,K17679,K14531,K17907,K14526,K19828,K17660,K17799,K17973,K17787,K14525,K17774,K17777,K18184,K17670,K17983,K08330,K09647,K17987,K17978,K18171,K17974,K17661,K15032,K17674,K17669,K18156,K18182,K08338,K17969,K23164,K18168,K09554,K17900,K17788,K17976,K17668,K08340,K22073,K08331,K17971,K22137,K17664,K14524,K14001,K14533,K17672,K17775,K05863,K17657,K17797,K17972,K17769,K17783,K19054,K22069,K18167,K02261,K11830,K22075,K09454,K15452,K17772,K18179,K17803,K17673
ko04111:Cell cycle - yeast	-0.7450048917928689	-6.7933823049698026	1.0953460360951794e-11	5.49863708611041e-09	1.8328790337326002e-09	124	K12576,K02543,K06678,K06681,K03356,K06659,K03359,K02181,K06658,K02544,K06668,K03361,K02365,K18639,K02178,K06660,K03348,K12411,K06649,K06656,K06646,K06662,K02516,K03357,K12412,K12760,K06651,K03350,K06670,K04354,K23469,K06683,K12414,K09202,K02646,K02309,K02607,K23458,K06677,K06685,K02603,K02213,K02608,K02179,K03085,K06682,K06653,K06666,K12416,K03351,K03358,K02214,K11272,K03868,K02209,K06672,K12575,K03352,K06661,K06674,K03114,K12577,K02220,K06663,K02537,K02604,K06673,K02555,K06665,K06679,K02212,K02830,K06648,K04563,K06652,K02831,K03347,K12578,K06686,K02307,K02627,K03360,K02180,K12413,K06680,K06657,K06684,K02605,K02606,K06647,K06676,K06687
ko04011:MAPK signaling pathway - yeast	-0.7970590483514457	-6.507437540818915	7.644351818214545e-11	3.8374645392597045e-08	9.593661531859254e-09	90	K19840,K19842,K09468,K19849,K09051,K01383,K11236,K19807,K11243,K11237,K08294,K04513,K17741,K19847,K19806,K03114,K04393,K09265,K11244,K19851,K11238,K02220,K07973,K11226,K19845,K11213,K06009,K11227,K19812,K06666,K11232,K17971,K11239,K00006,K02555,K06665,K04464,K11233,K19833,K19838,K02677,K19860,K11228,K19850,K06649,K11246,K09448,K04536,K11230,K04441,K19843,K06648,K11231,K19841,K04563,K06652,K11242,K19816,K11215,K04409,K02516,K11234,K12760,K06651,K19815,K11240,K00706,K23469,K15174,K11245,K19848,K11229,K11241,K19844,K19846,K19839
ko00680:Methane metabolism	0.5851892190349748	6.4488624995957045	1.1269274402536666e-10	5.6571755903739834e-08	1.1314351500146814e-08	190	K22081,K00442,K00582,K03421,K14941,K16792,K19793,K11779,K22481,K01622,K16306,K13812,K04480,K16257,K16260,K22482,K13788,K25124,K00201,K00583,K00443,K13942,K00577,K00202,K14028,K00399,K00319,K00400,K09733,K13039,K14067,K00580,K22087,K23995,K17066,K16305,K03422,K11780,K06914,K16255,K00672,K17067,K22082,K00317,K10978,K16161,K22086,K10713,K10977,K00320,K11260,K14128,K00581,K18277,K22516,K00205,K15229,K00121,K00440,K06034,K01595,K07144,K00200,K03533,K22480,K14081,K00402,K00578,K08685,K10945,K15228,K12234,K00863,K00584,K14029,K07072,K00204,K00203,K16178,K00193,K18933,K11781,K14083,K05979,K00579,K25123,K08097,K14126,K16793,K00401,K01499
ko04113:Meiosis - yeast	-0.7398178439850686	-6.2721097264591466	3.5618841209839047e-10	1.7880656691934035e-07	2.9801097145565336e-08	103	K03352,K09468,K06661,K04630,K12576,K09359,K02543,K02309,K11582,K09358,K02627,K02607,K03356,K06659,K12775,K12764,K03359,K02220,K02544,K02603,K06663,K12777,K02608,K02604,K12773,K02365,K10878,K12776,K12770,K02178,K09235,K12780,K12781,K06660,K03348,K12416,K06679,K12779,K12769,K03358,K02214,K06649,K03351,K12782,K02830,K06648,K12774,K02605,K06646,K02831,K06662,K02606,K02209,K03357,K09243,K12765,K06651,K03350,K12575,K12783,K12772,K12768,K12762,K06683,K12414
ko01008:Polyketide biosynthesis proteins	0.5393019081396365	5.908563031817667	3.4510476698557113e-09	1.7324244326079687e-06	2.4748941860965245e-07	327	K25854,K16389,K16131,K16033,K05556,K15679,K24565,K16106,K25843,K16447,K14375,K20789,K15318,K16035,K14670,K16424,K15660,K16420,K16102,K16391,K15313,K16036,K16110,K14374,K20421,K20423,K02363,K15320,K25847,K25846,K19205,K19207,K12239,K15337,K19106,K14252,K16380,K16431,K20422,K16109,K16129,K15681,K04791,K15387,K16025,K15312,K16383,K04793,K21164,K14631,K05552,K18063,K15970,K05551,K04127,K25845,K21166,K00646,K21162,K13612,K16128,K15327,K21163,K16098,K12443,K15665,K16392,K25844,K14253,K12440,K15650,K14251,K24101,K12237,K20420,K04792,K14629,K15315,K04790,K21193,K16233,K16122,K14633,K16429,K15942,K14254,K20786,K16130,K16167,K12444,K21254,K16099,K25852,K20787,K15673,K16421,K14671,K21185,K16168,K24567,K15675,K21178,K15328,K16446,K15991,K15467,K16434,K15311,K15670
ko05016:Huntington disease	-0.484476686394018	-5.428642449388747	5.6784313917646045e-08	2.8505320111639184e-05	3.2691393558141138e-06	200	K03033,K02732,K03006,K17906,K15040,K02263,K02126,K02128,K02125,K03029,K00236,K03031,K04648,K03007,K10881,K00419,K02137,K03014,K03963,K02730,K02127,K02267,K00237,K02134,K06693,K03939,K02738,K11825,K03009,K02726,K02136,K02729,K02262,K02256,K03035,K00420,K02266,K03011,K08331,K02739,K00418,K02728,K03036,K05613,K02135,K05863,K02138,K03039,K00417,K03015,K02727,K08334,K03008,K02084,K02265,K03955,K02737,K02261,K11830,K03012,K06691,K02272,K02264,K02731,K00416,K02736,K03941,K03013,K07374,K03038
ko03009:Ribosome biogenesis	-0.49083378953799595	-5.422990623514227	5.861006813212555e-08	2.942182223424564e-05	3.2691393558141138e-06	336	K14546,K11884,K14852,K15265,K14552,K14559,K11128,K06947,K11883,K25137,K14858,K14543,K14849,K03245,K14560,K14769,K14763,K21515,K19306,K00561,K19308,K14844,K16912,K14805,K12845,K14575,K14775,K14854,K14800,K14840,K14804,K14791,K14783,K15632,K14859,K14768,K26089,K14782,K15264,K14863,K14817,K14845,K14860,K21970,K14799,K19036,K14290,K14548,K14522,K14828,K01164,K14767,K15267,K14851,K15508,K14538,K14784,K14823,K19829,K03097,K14855,K24418,K14551,K06185,K14777,K11129,K14772,K14528,K14794,K15263,K14771,K14766,K14808,K15507,K11108,K14839,K14790,K15262,K18328,K14781,K05926,K14853,K14537,K14570,K14773,K05591,K19307,K14531,K14837,K14833,K14539,K14526,K14831,K14826,K19828,K18327,K14846,K14789,K14191,K14525,K14818,K05969,K14557,K12618,K14284,K24970,K14848,K14765,K26142,K14016,K14795,K14829,K14798,K14545,K14532,K14801,K14770,K14764,K14857,K14810,K14812,K14841,K18849,K14774,K14550,K20224,K05590,K07936,K14547,K14816,K14015,K14572,K18803,K14827,K14814,K09506,K14796,K14842,K14847,K14834,K14524,K23309,K14830,K07565,K14862,K14811,K14566,K14820,K14861,K14856,K14821,K14825,K20221,K14813,K14556,K20223
ko03019:Messenger RNA biogenesis	-0.4890231445502955	-5.169419010968226	2.3482287048182116e-07	0.00011787414711920866	1.1788108098187422e-05	371	K12602,K12883,K14408,K12594,K11099,K18757,K00565,K23799,K18738,K12880,K14543,K11393,K14307,K12597,K12571,K14844,K18759,K11098,K12621,K03681,K24272,K18721,K04354,K16195,K14311,K12600,K07374,K10881,K18722,K15544,K14319,K18732,K14303,K12601,K18726,K12622,K14376,K11493,K12580,K14304,K14017,K12881,K00987,K14312,K23719,K14290,K01098,K06100,K14401,K03267,K12624,K12592,K15541,K14306,K14297,K23801,K14328,K12882,K02202,K18719,K10683,K18749,K18718,K18658,K23960,K08873,K14327,K18737,K11097,K14396,K14299,K14400,K12584,K18716,K09291,K12603,K21806,K14651,K03259,K12618,K14308,K14284,K12587,K18717,K12615,K04563,K18713,K12620,K15543,K14301,K12608,K06269,K14416,K18664,K12609,K14298,K14004,K12595,K12623,K18736,K18422,K14310,K15026,K07936,K18750,K11593,K13088,K18715,K13102,K13201,K18776,K14399,K18730,K13210,K12596,K18723,K03258,K12572,K18724,K11368,K23039,K14309,K14300,K18646,K12612,K15542,K14962,K03015,K18720,K20103,K09893,K18731,K18714,K14313,K18712,K03260,K14315,K18725,K05749
