Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.6373339408157191	7.070290526780906	1.546096584092993e-12	7.761404849140854e-10	7.761404852146825e-10	327	K21178,K21254,K16391,K20423,K20787,K15315,K16006,K16126,K15660,K24147,K15676,K15320,K16383,K05556,K20786,K24567,K24563,K15311,K04792,K16424,K14252,K21166,K16381,K01252,K16426,K04791,K14668,K15670,K21162,K25852,K15665,K15972,K25847,K12440,K16420,K15328,K04790,K14254,K16129,K16131,K19580,K24569,K14375,K16372,K14633,K15313,K16035,K14251,K15337,K21256,K14374,K20421,K16233,K16036,K25846,K16431,K19207,K16118,K00660,K14629,K16380,K21185,K20422,K19103,K16102,K24565,K15991,K16387,K04793,K12443,K16388,K16392,K21209,K25844,K14628,K12239,K15970,K21163,K16167,K04127,K00646,K16382,K16373,K15318,K15312,K24529,K16037,K16004,K16393,K02362,K16128,K20788,K20420,K16106,K05554,K15650,K25843,K20789,K16446,K16385,K18063,K23365,K14369,K05552,K15387,K21384,K21297,K15675,K16398,K16434,K16378,K16447,K05553,K25234,K10817,K16429,K14667,K15942,K14670,K19205,K25848,K16031,K15673,K05551,K16109,K16389,K16098,K15467,K24568,K12444
ko04111:Cell cycle - yeast	-0.7014031710535225	-6.124615288715137	9.090297403702152e-10	4.5633282575340255e-07	2.2816646483292402e-07	124	K06684,K02307,K06680,K02831,K11272,K09202,K06687,K12576,K02604,K03356,K02219,K12577,K10259,K23469,K12760,K03364,K03359,K06646,K06658,K03868,K06671,K18639,K06657,K12414,K12578,K06682,K06665,K06672,K23458,K03114,K06656,K03347,K04354,K12413,K02181,K06653,K03351,K02646,K03358,K06661,K02309,K06673,K02608,K03361,K03350,K02179,K06652,K03349,K06662,K06677,K02607,K06681,K06648,K06666,K02537,K06663,K06647,K02220,K12575,K06649,K12416,K06676,K06670,K02830,K12411,K06667,K02555,K06686,K06683,K06659,K02605,K02544,K06660,K02627,K03360,K03357,K06651
ko04113:Meiosis - yeast	-0.7092214047277329	-5.805392475282185	6.421540410528337e-09	3.2236081005997473e-06	9.858050338262814e-07	103	K12781,K12776,K12414,K12771,K12764,K02220,K12763,K12575,K02831,K12769,K06661,K06649,K12416,K09468,K10878,K12770,K03114,K02309,K12782,K12774,K02608,K12779,K12775,K09359,K03350,K02830,K06269,K12576,K12778,K12783,K02604,K12762,K03349,K03356,K12765,K09243,K06662,K03359,K06646,K06683,K06659,K06671,K02605,K12777,K09235,K09358,K02544,K12772,K06660,K02627,K02607,K03357,K12766,K03351,K11582,K12768,K06651,K12773,K06648,K03358,K02537,K06663
ko04011:MAPK signaling pathway - yeast	-0.7473202733228221	-5.771540225269516	7.855020189850848e-09	3.943212376309803e-06	9.858050338262814e-07	90	K11233,K19816,K02220,K19840,K11229,K19860,K04441,K11232,K11245,K06665,K09265,K15174,K11242,K00706,K19838,K10591,K19843,K09468,K06649,K11246,K04464,K19812,K03114,K04627,K11213,K11226,K19848,K19833,K11241,K19850,K06009,K09448,K19842,K04536,K19849,K19807,K09051,K11231,K06652,K11239,K11236,K23469,K11244,K12760,K19847,K19851,K11215,K02555,K01383,K04513,K07973,K04393,K19841,K19815,K11237,K17971,K19806,K11240,K11243,K11234,K06651,K17741,K19845,K06648,K06666,K19844,K19846,K08294,K19839,K11230
ko03021:Transcription machinery	-0.5076090502595426	-5.626635537789006	1.837584107100554e-08	9.224629755241622e-06	1.8449344435289562e-06	324	K15198,K03013,K03020,K03001,K11760,K06634,K03123,K03007,K11769,K15177,K11315,K03135,K15145,K03122,K11368,K03003,K11313,K09191,K03019,K15202,K15218,K11772,K03025,K03133,K15222,K03139,K03143,K15559,K11648,K14401,K15562,K15150,K03000,K11762,K03132,K06100,K03014,K03121,K03024,K14649,K11776,K23358,K11649,K15136,K15140,K06665,K15127,K15174,K11758,K03017,K10842,K15132,K11764,K11364,K15191,K15148,K15156,K15564,K06269,K11759,K03145,K15206,K03138,K15128,K11366,K15563,K11770,K03137,K11763,K21751,K09453,K03006,K15565,K11775,K17498,K15134,K15205,K15138,K15152,K14651,K03023,K14650,K23002,K14400,K15153,K15221,K03015,K15560,K11362,K15151,K03011,K14535,K15147,K15199,K03144,K15204,K15201,K11773,K15207,K03026,K15154,K14721,K15130,K15160,K15220,K10845,K03140,K15732,K15158,K03134,K20827,K11766,K03012,K06666,K15197,K03127,K15146,K11363,K21752,K02202,K11361,K03141,K03005,K11756,K03008,K15561,K11365,K03598,K03130,K25818,K18998,K11767,K11771,K15217,K03131,K03009,K25815,K15163,K15155,K11359,K11360
ko01052:Type I polyketide structures	0.7065802631305772	4.943219543889188	7.684286487119607e-07	0.000385676937386337	6.429186360890071e-05	81	K24568,K24565,K15991,K16387,K16391,K16420,K20789,K20787,K16385,K16006,K16388,K16392,K24569,K16025,K14375,K16372,K16383,K16398,K16378,K16035,K20786,K10817,K24567,K19205,K24563,K14374,K16382,K16033,K16036,K16381,K16373,K16031,K15673,K19207,K14370,K16384,K16389,K16037,K16004,K15467,K15670,K16393,K16380,K20788,K19208
ko03029:Mitochondrial biogenesis	-0.4428209818686694	-4.647618887555935	3.3578856866167683e-06	0.001684241515511244	0.00024080837352594538	375	K18158,K17666,K08340,K08334,K17714,K17657,K17799,K17978,K17900,K14531,K17777,K10357,K17793,K17780,K15070,K15452,K18179,K17679,K17972,K17802,K22075,K17803,K17670,K02261,K17775,K18176,K17789,K18184,K18172,K19054,K02332,K17971,K18188,K22069,K17973,K02126,K17968,K17970,K17674,K18181,K22139,K17667,K17764,K18177,K09647,K17788,K02125,K10591,K17984,K17979,K18183,K08335,K18155,K08331,K17663,K18167,K17977,K17770,K08338,K08336,K19612,K01164,K21970,K22073,K14533,K06030,K15040,K02318,K17673,K08329,K17665,K19465,K18189,K17782,K08330,K17807,K19781,K17790,K17660,K17783,K17969,K17967,K17773,K19782,K17980,K17668,K17671,K09554,K12160,K18191,K18182,K17672,K17715,K14526,K08332,K14528,K17792,K09648,K02256,K17787,K16639,K18178,K17806,K17786,K17976,K17785,K11518,K17676,K17983,K17801,K17887,K17974,K17661,K07555,K17794,K18174,K17678,K17774,K22066,K15032,K22072,K11830,K25877,K02262,K17496,K17906,K17805,K22140,K17781,K17907,K17669,K17664
ko00680:Methane metabolism	0.5040636375423361	4.156806580208051	3.227269954986234e-05	0.016070623743785442	0.0020251118967538617	190	K22087,K00400,K11780,K00205,K01622,K15229,K00582,K10978,K00581,K00440,K16254,K03421,K08691,K09733,K22015,K00583,K16260,K16305,K03533,K22082,K14128,K00204,K08685,K07144,K00317,K00399,K16792,K00148,K15228,K17066,K18933,K14126,K10713,K00319,K00193,K14067,K00443,K16259,K11779,K01595,K00200,K01086,K03422,K06914,K00672,K17067,K13788,K00584,K14941,K16306,K11260,K00402,K00579,K16793,K13812,K22085,K03841,K00401,K00126,K19793,K00124,K00580,K00578,K00203,K22081,K11781,K25124,K16159,K10714,K12234,K07821,K10977,K18277,K16257,K10945,K00577,K00201,K10946,K23995,K00442,K07072,K00320
ko00623:Toluene degradation	0.7908808940035685	4.10014934892312	4.128835972183609e-05	0.020513852854458687	0.0023029729533735237	33	K15758,K15765,K20200,K15762,K16249,K16242,K05797,K07540,K15761,K00217,K15764,K16246,K16245,K15763,K03381,K03380,K20199,K07546,K15760,K16244,K00141,K15757
ko04138:Autophagy - yeast	-0.5702678749792657	-4.033080477032575	5.505041617714923e-05	0.027257687125529746	0.0027635308920928915	82	K00654,K17606,K08334,K21155,K17900,K08516,K09468,K08493,K04464,K17909,K21197,K17908,K08329,K21158,K20178,K08335,K08331,K08330,K05754,K08502,K05758,K21145,K09243,K21157,K20177,K21144,K06027,K08338,K08336,K01336,K16314,K07756,K09464,K17906,K17607,K08340,K17907,K18083
