Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko04011:MAPK signaling pathway - yeast	-0.7786848291248645	-6.1265920950456705	8.978124910186125e-10	4.507017691275935e-07	4.5070187049134347e-07	90	K07973,K06650,K17971,K19849,K02555,K01383,K19845,K19847,K19807,K19841,K11230,K19839,K11226,K11233,K08294,K11231,K19815,K23469,K11215,K11227,K19812,K11245,K11236,K19850,K09448,K06651,K11243,K06652,K04393,K02220,K19840,K19844,K15174,K09468,K11238,K06648,K11242,K02677,K04464,K11229,K04536,K19838,K19806,K03085,K00706,K19848,K19842,K09051,K11241,K11239,K19843,K11234,K06009,K11213,K03114,K17741,K19846,K19851,K11244,K09265,K11237,K11246,K04627,K12760,K11240,K06649,K19816
ko03037:Cilium and associated proteins	0.5922117622980249	6.008994621007123	1.8667731804811183e-09	9.371196983792779e-07	4.685600683007607e-07	296	K24729,K19399,K07934,K08828,K24869,K16478,K19636,K22864,K16474,K19672,K25552,K16540,K19754,K24260,K20196,K25610,K24723,K25615,K25390,K19626,K16602,K17570,K19681,K24931,K23029,K19753,K06087,K16531,K19673,K16939,K19942,K07931,K08811,K16748,K19385,K10410,K19674,K20198,K09519,K16744,K21841,K19671,K25554,K24759,K19676,K19684,K10417,K19362,K10418,K25608,K10394,K19757,K21875,K23730,K19683,K10409,K16747,K16458,K24932,K19758,K25226,K17479,K22858,K23965,K19752,K25611,K25450,K24227,K16461,K16749,K24817,K19756,K24822,K25607,K24722,K06228,K16780,K16455,K24030,K19382,K19656,K16582,K23733,K25395,K16746,K24224,K23456,K25425,K25548,K11143,K24837,K16781,K16944,K25471,K23538,K10408,K16480,K19682,K08829,K24652,K10414,K20877,K24253,K16601,K08834,K10411,K19608,K19679,K10359,K24735,K16535,K21988,K24761,K25553,K19750,K16465,K24228,K19759,K24937,K25616,K23729,K25138,K25551,K25614,K10420,K22938,K26197,K25460,K25647,K16550,K19677,K18272,K19685,K23732,K24728,K24938,K25532,K24226,K19678,K25388,K22866,K25441,K19868,K10419,K19352
ko04111:Cell cycle - yeast	-0.6705511282228223	-5.865732482746094	4.471542469630663e-09	2.2447118054039456e-06	7.482381065848642e-07	124	K06658,K02627,K12416,K06647,K02604,K02537,K06650,K02646,K03359,K11272,K06663,K06661,K06671,K03351,K09202,K06679,K02555,K02605,K02608,K06668,K12575,K23469,K02544,K03358,K03360,K06659,K06681,K06653,K06651,K06662,K06673,K06652,K02220,K06684,K12413,K06680,K02606,K02309,K02603,K06646,K23458,K06683,K03356,K06648,K03352,K06685,K02179,K12411,K02607,K06687,K12577,K03361,K03085,K02181,K12578,K06657,K06686,K02830,K18639,K03114,K06666,K02307,K12760,K12576,K03357,K06649,K12414
ko04113:Meiosis - yeast	-0.6969647440856991	-5.745773040688131	9.150197266549753e-09	4.593388499181971e-06	1.148349756951994e-06	103	K09358,K02627,K12416,K02604,K02537,K12772,K06650,K12782,K03359,K06663,K12774,K06661,K06671,K03351,K02605,K06679,K02608,K12762,K12576,K06269,K12575,K12773,K09359,K12776,K12779,K02544,K03358,K12770,K06659,K06651,K06662,K02220,K12781,K11582,K02606,K02309,K02603,K06646,K09468,K03356,K06683,K06648,K03352,K09243,K12766,K02607,K12769,K12768,K04630,K03085,K12771,K02830,K03114,K12780,K09235,K12775,K12777,K12783,K12765,K03357,K06649,K12414
ko03021:Transcription machinery	-0.5011287748649309	-5.4345588005997225	5.493218080410145e-08	2.7575575307896096e-05	5.3650059147850966e-06	324	K15207,K03022,K03001,K15205,K25304,K15148,K11768,K11368,K15191,K14845,K15565,K11764,K11313,K15156,K11767,K10845,K03024,K14651,K11773,K15132,K11756,K11771,K15564,K03133,K15128,K11647,K15134,K09191,K15161,K15140,K03137,K11362,K21751,K15153,K15127,K03139,K03008,K03012,K05518,K11776,K15219,K15163,K17762,K15218,K15202,K11763,K03015,K11761,K14535,K15174,K15732,K15151,K23002,K15160,K21752,K03140,K15222,K03122,K11772,K15178,K15158,K15217,K03011,K03138,K15150,K03019,K06269,K02202,K03000,K15201,K15197,K15198,K15563,K15562,K11775,K15165,K11762,K10842,K11363,K03009,K11758,K25818,K15136,K15154,K15130,K11648,K14650,K15193,K15146,K11360,K18998,K11759,K03003,K15147,K23358,K03127,K03134,K15152,K17498,K11315,K11364,K24073,K03143,K15138,K15204,K15145,K03123,K03005,K03045,K15560,K11766,K03141,K15561,K11760,K15220,K03598,K03020,K15155,K11359,K06100,K11769,K15206,K03007
ko01008:Polyketide biosynthesis proteins	0.5299810767137809	5.406903757748189	6.41235766707382e-08	3.2189518427114293e-05	5.3650059147850966e-06	327	K16429,K21254,K14251,K16025,K16391,K14633,K25234,K05375,K16393,K04793,K24565,K14374,K14375,K04790,K15384,K14672,K15320,K25854,K16129,K16421,K15670,K16387,K25847,K12444,K16099,K16392,K15673,K16446,K16130,K15659,K16398,K25852,K21186,K00646,K25844,K20789,K16383,K20422,K15972,K15467,K14252,K19206,K12440,K16167,K15662,K15991,K16033,K15650,K16131,K14366,K04127,K14673,K04791,K21178,K20421,K16381,K16168,K20787,K24567,K23367,K15312,K15665,K15676,K21255,K24563,K16118,K14250,K05556,K16029,K20420,K21193,K25848,K14629,K16037,K16098,K19102,K15675,K16132,K20786,K00660,K25846,K16424,K15641,K14670,K15314,K05551,K15642,K21224,K16434,K04792,K14668,K16447,K16380,K16122,K16233,K15327,K15311,K16389,K15679,K15942,K16117,K15318,K16385,K15660,K16006,K15970,K15681,K14254,K25843,K25845,K15337,K20423,K12442,K15329,K16036,K12443,K21209,K14669,K21185,K14631
ko00199:Cytochrome P450	0.5972512982072402	5.295735870822916	1.1853807446726705e-07	5.950434645558135e-05	8.500873340366866e-06	173	K05280,K15401,K21995,K20497,K21113,K13404,K20789,K23180,K13074,K13083,K24192,K15472,K21033,K10717,K21200,K04123,K25060,K15991,K25489,K21146,K24241,K24391,K20556,K24188,K16085,K04122,K14366,K15639,K13260,K21291,K16006,K23812,K20620,K21199,K21119,K15981,K24544,K22812,K12645,K14939,K07427,K15402,K09754,K13224,K20769,K23806,K16046,K20666,K09843,K20660,K20770,K23134,K09588,K20617,K13225,K20665,K09837,K16447,K09755,K13027,K16446,K17873,K23139,K15805,K21120,K13029,K24184,K09590,K09832,K20619,K09587,K21035,K17687,K24541,K23135
ko03029:Mitochondrial biogenesis	-0.4813249656590544	-5.111706996884344	3.1926073895682805e-07	0.00016025607416339803	2.003361136954096e-05	375	K17663,K17792,K17777,K08335,K17781,K17789,K17769,K22137,K17669,K19465,K17806,K18174,K22063,K17775,K18192,K17714,K17664,K17983,K17798,K17773,K17784,K11830,K17968,K17793,K19054,K18171,K18177,K17671,K08331,K17670,K18181,K17974,K22139,K02256,K02260,K17801,K18176,K17984,K17971,K22066,K17805,K17794,K08336,K18155,K17807,K14740,K17799,K02257,K17668,K17408,K14998,K17665,K02125,K17667,K17970,K17978,K22068,K14533,K17715,K22072,K15040,K17887,K17774,K17657,K08329,K17980,K14526,K17788,K11518,K22073,K17900,K09554,K22071,K18191,K17967,K22075,K08338,K18182,K18184,K02332,K14001,K17786,K17787,K11238,K17674,K18178,K17803,K17797,K17660,K17979,K18168,K18158,K17906,K15070,K17782,K17977,K25877,K17765,K14531,K17676,K14522,K08340,K17945,K14528,K17666,K08330,K22140,K17673,K17780,K17678,K17976,K17778,K23499,K17969,K17672,K18187,K15452,K18179,K18173,K18188,K22138,K18185,K17802,K17656,K14524
ko02060:Phosphotransferase system (PTS)	-0.6328623243286374	-4.4533446810434665	8.454287125259086e-06	0.004235076739072929	0.0004479078593126573	72	K11194,K02746,K02804,K11196,K02761,K02783,K02813,K20114,K02775,K02773,K02782,K02747,K20108,K02770,K02777,K17466,K02771,K19508,K20113,K08483,K02788,K17464,K10986,K02769,K19507,K02750,K02744,K02810,K02757,K20112,K02794,K00882,K02779,K02786,K02781,K02768,K11200,K02800,K02798,K19509,K02812,K02814,K23993,K02759,K02819,K02784,K11195
ko03041:Spliceosome	0.4877658360933941	4.441763315712466	8.922467316985205e-06	0.004469082373536083	0.0004479078593126573	304	K06099,K13158,K12861,K12824,K13178,K12827,K13175,K12876,K13198,K13025,K09566,K13098,K08827,K20100,K13094,K13104,K12886,K12625,K13210,K23718,K12857,K12825,K12870,K13176,K12736,K13141,K13171,K13130,K13207,K13172,K03102,K13113,K23966,K12896,K11088,K17043,K12837,K12834,K13121,K11586,K14948,K15409,K12822,K12741,K13101,K13212,K26076,K13133,K13090,K13219,K25057,K14945,K13186,K24826,K13125,K13155,K13181,K12830,K09528,K25931,K05019,K13194,K13137,K12888,K13202,K25006,K12878,K13177,K23561,K13169,K12867,K13109,K13211,K25058,K10598,K12855,K13195,K12849,K09533,K12890,K12847,K13129,K12864,K08818,K13216,K12852,K13174,K13128,K12899,K13117,K12840,K13119,K13146,K13208,K13203,K12891,K12828,K13144,K13161,K12884,K13126,K13120,K13159,K12882,K25059,K12842,K13044,K12865,K03283,K13143,K12839,K12898,K12875,K12897,K13096,K13091,K25178,K12968,K13111,K13139,K13160,K10599,K12846,K12850
