Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko03021:Transcription machinery	-0.664240291330208	-inf	0.0	0.0	0.0	324	K15219,K21752,K11368,K15151,K21751,K15163,K03134,K11648,K11775,K03139,K15222,K14400,K15220,K03000,K11649,K15148,K15156,K10845,K14649,K03014,K11766,K15202,K15198,K15206,K03143,K15150,K15147,K15152,K23358,K03009,K11359,K11763,K03137,K03007,K03126,K03133,K15132,K03598,K03141,K11761,K03122,K15218,K14651,K15140,K03011,K11756,K15145,K15191,K25818,K06100,K11360,K03003,K18998,K11364,K15565,K15217,K15563,K03012,K03132,K03022,K11774,K11362,K15161,K15138,K15155,K15146,K03145,K15207,K15560,K15178,K15130,K15193,K03136,K15221,K15205,K17498,K11772,K09453,K03026,K11361,K23002,K15559,K15562,K15153,K15177,K03020,K11760,K11773,K11771,K15136,K03140,K15158,K11315,K11313,K11758,K11769,K20827,K15154,K11762,K11363,K15561,K15199,K11647,K03123,K11764,K15171,K03001,K03138,K25304,K15128,K14535,K11776,K03127,K15127,K24073,K11768,K15160,K03005,K25815,K14650,K05518,K03008,K10842,K06269,K11759,K11767,K15201,K15174,K15134,K15564
ko01008:Polyketide biosynthesis proteins	0.7196344927951697	inf	0.0	0.0	0.0	327	K15641,K04128,K14251,K21254,K14256,K15313,K16006,K24556,K16167,K14375,K20788,K21191,K16382,K04793,K16131,K14667,K16391,K20422,K21384,K15320,K15311,K00646,K16387,K16427,K15675,K15643,K15679,K14672,K15660,K15676,K21193,K15387,K14673,K16117,K12444,K19106,K19102,K16098,K25845,K24563,K16031,K20786,K15327,K25848,K16032,K16129,K16380,K16424,K25842,K15926,K24569,K14374,K04792,K25847,K25852,K14632,K15384,K14668,K05551,K20420,K16386,K16132,K15642,K15670,K21169,K16134,K12442,K16128,K14669,K05554,K15650,K05556,K24567,K16106,K15388,K04788,K14371,K15942,K14626,K04790,K14253,K16035,K16384,K16434,K16099,K16393,K16381,K14670,K16446,K05552,K12440,K14629,K21297,K14257,K24529,K05375,K16383,K16103,K14628,K23365,K16037,K14252,K21209,K21184,K21178,K16039,K16373,K16398,K20421,K15467,K19205,K16233,K12443,K16421,K25846,K16126,K15970,K16033,K16378,K19580,K04127,K25844,K19207,K16376,K15673,K16372,K14671,K24292,K16400,K14366,K21185,K04791,K05553,K16392,K16429,K15645,K14254,K15312,K15337,K16375,K16118,K25843,K16389,K16168,K16004,K15674,K19206,K14370,K16111,K25234,K16109,K23367,K16374,K21164,K16122,K15681,K16385,K14633,K24568,K16425,K21255,K16431,K16036,K16102,K21163,K16447,K16024,K21186,K20787,K15991,K20423,K25854,K20789
ko03029:Mitochondrial biogenesis	-0.649066891886451	-inf	0.0	0.0	0.0	375	K17798,K17973,K17979,K17784,K22139,K17769,K17785,K17792,K17667,K14522,K18176,K17770,K14531,K18191,K17672,K18181,K17805,K17780,K19054,K17967,K18167,K17774,K22137,K17715,K18183,K17945,K17806,K17980,K17791,K17800,K17665,K22140,K08332,K18192,K17714,K17786,K18155,K17803,K17656,K17787,K22066,K17660,K05863,K07555,K09554,K18178,K17908,K17679,K08329,K17678,K08335,K17764,K11830,K11238,K09539,K18170,K17987,K17674,K08339,K17666,K22073,K17799,K17661,K17900,K17969,K17976,K14740,K17977,K17968,K17673,K17669,K17782,K14528,K17794,K17670,K18171,K17887,K17984,K08340,K02332,K17664,K17775,K17668,K18158,K17657,K17797,K18184,K22063,K17765,K17663,K17978,K11518,K17788,K14533,K08330,K22069,K12160,K08331,K18177,K17801,K23164,K15452,K14526,K18179,K18182,K14001,K08336,K17906,K17793,K17802,K15070,K18173,K23499,K14524,K17983,K22075,K17771,K17408,K18188,K17970,K22138,K18174,K17671,K17676,K08338,K22072,K18168,K17971,K17790,K15040,K17777,K17781,K17789,K02260,K17778,K18172
ko04111:Cell cycle - yeast	-0.7637911579044727	-7.639773788830927	2.1760371282653068e-14	1.0923706383832296e-11	2.73092659597296e-12	124	K03360,K02603,K18639,K02307,K02365,K03351,K12413,K02605,K02179,K06661,K02607,K12760,K06651,K03114,K06687,K02604,K02830,K06683,K12576,K02181,K12575,K03358,K03361,K23469,K06673,K02606,K11272,K02544,K06646,K06660,K12411,K06648,K03356,K02608,K06680,K06668,K06667,K02646,K06652,K06657,K12578,K02537,K12414,K09202,K06650,K06686,K10259,K03359,K06663,K02220,K12577,K06656,K02627,K02309,K06658,K06684,K06647,K23458,K06681,K06659,K03352,K12416
ko04011:MAPK signaling pathway - yeast	-0.8640807069839663	-7.53495636943005	4.884981308350689e-14	2.4522606167620375e-11	4.9045212335840915e-12	90	K11246,K19839,K04464,K00706,K19848,K11241,K19846,K03114,K15174,K06009,K12760,K06651,K19851,K11238,K11234,K19806,K11244,K19845,K11229,K11240,K19812,K19849,K19841,K19807,K23469,K19844,K09051,K11236,K11237,K06648,K09448,K11231,K09265,K07973,K04627,K11243,K11239,K19838,K11245,K19815,K06652,K02677,K19847,K11242,K06650,K01383,K11233,K11215,K02220,K19850,K17971,K11227,K17741,K19860,K19843,K19840,K04393,K11230,K09468,K19842,K11226,K08294,K11213
ko04113:Meiosis - yeast	-0.7627045045087608	-6.965562611518554	3.270939075150636e-12	1.6420114143802041e-09	2.7366856928760325e-10	103	K02603,K12773,K09358,K02365,K11582,K12771,K03351,K09235,K12775,K03114,K06661,K02607,K06651,K02604,K02830,K06683,K10878,K12770,K12762,K12575,K03358,K12780,K12576,K12776,K09359,K02544,K02606,K06646,K06660,K12783,K12779,K06648,K03356,K02608,K12765,K12768,K12774,K02537,K12414,K06650,K03359,K06663,K09243,K12764,K02220,K12772,K02627,K02309,K12766,K12782,K09468,K12777,K02605,K12769,K06659,K03352,K12416
ko03009:Ribosome biogenesis	-0.5075775255091634	-6.733523335622859	1.656030867991376e-11	8.313274922830272e-09	1.187610708188101e-09	336	K14796,K14528,K22377,K14532,K14526,K21514,K14814,K14789,K14804,K21515,K14858,K14561,K26142,K15508,K14543,K14822,K11130,K03537,K14522,K14781,K14531,K14547,K14825,K03539,K15507,K14844,K03538,K14828,K14811,K18849,K11884,K14524,K14545,K14819,K14854,K14834,K14800,K14853,K14862,K15267,K23309,K14836,K14861,K15265,K19308,K14813,K14773,K14559,K14784,K14551,K14557,K18803,K05590,K14790,K14851,K14016,K14859,K15632,K14812,K14817,K03245,K14860,K18327,K19829,K14840,K14782,K14770,K00561,K14839,K14783,K14798
ko05016:Huntington disease	-0.462017913842634	-6.509426808815191	7.543810021104491e-11	3.786992559030731e-08	4.733740788243068e-09	200	K00420,K02264,K04648,K06691,K02136,K11830,K17906,K02084,K00418,K00237,K02267,K02266,K02272,K03011,K03955,K02135,K02263,K00236,K02138,K02265,K02127,K00419,K00417,K03008,K03012,K15040,K03038,K10881,K02134,K03009,K08331,K05863,K16576,K03007,K10428,K17908,K03029
ko01052:Type I polyketide structures	0.7884722076453615	6.424874673148784	1.3197820614152533e-10	6.62530572926838e-08	7.361451053671746e-09	81	K15641,K24563,K16031,K20789,K20786,K16032,K16375,K16380,K16006,K24569,K14374,K24556,K16389,K16383,K14375,K20788,K16004,K16382,K16037,K19206,K14370,K15642,K15670,K16373,K16391,K16398,K15467,K19205,K16374,K16378,K16387,K24567,K16385,K24568,K15643,K14371,K19207,K16384,K16036,K16035,K16376,K15673,K16372,K16024,K16393,K20787,K15991,K14366,K16400,K16381,K16392
ko03032:DNA replication proteins	-0.49553817512290793	-6.246293476324958	4.2030712243956714e-10	2.109941532497344e-07	2.109941754646627e-08	183	K02603,K10739,K22485,K10736,K02344,K02607,K11130,K10729,K10732,K02604,K11097,K02332,K11116,K11118,K11132,K11119,K02606,K10734,K02608,K11137,K11134,K11121,K03504,K02326,K10731,K11117,K10735,K11122,K02321,K11120,K11115,K03507,K21771,K02605,K11123,K03506,K09426
