Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.5629919295776165	5.462791219463358	4.6870573200408217e-08	2.352875149259912e-05	2.3529027746604925e-05	327	K20422,K15676,K14375,K14251,K12442,K21185,K16385,K16392,K16387,K15673,K24529,K16099,K15311,K14366,K16126,K25848,K20420,K15659,K16025,K15337,K21209,K20787,K25843,K20421,K16381,K21193,K25854,K05556,K16035,K14374,K14254,K15670,K16129,K25847,K15681,K21254,K05553,K00660,K15320,K20423,K15318,K15674,K15327,K14673,K16391,K16233,K16130,K01252,K14670,K05552,K16031,K05551,K20789,K25234,K15662,K16446,K16132,K15387,K15675,K19104,K02362,K15388,K16128,K25845,K15467,K15469,K25852,K12443,K25846,K24110,K04127,K14667,K16036,K04792,K24147,K24565,K15972,K24567,K16389,K16131,K16429,K19102,K21160,K16380,K16398,K12440,K16424,K16006,K23367,K16122,K21224,K16393,K24101,K14668,K05375,K20788,K21164,K16108,K15313,K04791,K24569,K00646,K16098,K21178,K04793,K12444,K25844,K14629,K19207,K04790,K19205,K14672
ko05130:Pathogenic Escherichia coli infection	0.6978391203845742	5.143169953604112	2.7014103265443623e-07	0.00013560162197838623	6.78053991962635e-05	103	K12786,K23653,K23659,K16042,K16041,K12789,K23661,K12790,K12784,K12788,K12785,K23650,K23660,K02580,K04514,K19475,K23648,K04730,K04467,K06087,K04440,K05750,K12787,K03158,K04398,K23655,K06619
ko04111:Cell cycle - yeast	-0.5813543767790994	-4.594159851325038	4.344962265534491e-06	0.0021787987604968678	0.0007270570190994382	124	K23469,K09202,K03357,K02212,K11272,K08866,K02604,K03456,K06653,K12760,K23458,K06661,K06686,K12414,K06676,K06682,K04563,K03351,K06687,K02540,K02365,K02627,K12576,K12575,K12412,K06669,K03356,K06677,K06675,K03094,K06648,K06683,K06662,K03359,K06658,K02220,K02544,K06679,K10259,K02516,K03868,K06651,K18639,K02214,K03348,K04354,K06652,K03349,K03114,K02603,K06674,K02830,K06685,K06636,K02180,K02646,K06654,K06646,K12416,K02210,K02607,K06667,K02219,K06628,K06680,K02307,K06657,K02309,K03358,K03350,K12413,K06673,K03364
ko04011:MAPK signaling pathway - yeast	-0.5984349607756018	-4.161981889708634	3.154973778274339e-05	0.015713453189643543	0.003959492091734296	90	K23469,K04536,K19850,K06009,K04393,K19833,K19848,K15174,K12760,K09051,K11241,K11215,K04513,K19840,K04563,K01383,K19860,K19849,K00006,K19807,K08294,K12412,K19842,K11239,K00889,K11246,K11242,K19816,K19847,K06648,K04627,K02220,K02516,K19806,K11245,K06651,K11244,K11226,K06652,K03114,K04409,K19812,K19704,K02218,K19815,K07973,K11234,K19838
ko04113:Meiosis - yeast	-0.5579666644990017	-4.04041832587383	5.335594432209767e-05	0.026429851410660978	0.005356936809938606	103	K12783,K02212,K09358,K02604,K03456,K09243,K06661,K04563,K12414,K03351,K12775,K02540,K02627,K12576,K12575,K06669,K03356,K06648,K06683,K06662,K03359,K12763,K02220,K02544,K12764,K12777,K10878,K12773,K06651,K02214,K06269,K03114,K12774,K12770,K02603,K12781,K11582,K06636,K06646,K02210,K12416,K02607,K12772,K02309,K09235,K03358,K03350,K06679,K03357
ko01052:Type I polyketide structures	0.6113409604380448	3.796776154745429	0.00014659004538497555	0.07095081445693574	0.011518934483989949	81	K20788,K14375,K15467,K16385,K16392,K16387,K15673,K24569,K16036,K14366,K16391,K16025,K20787,K24567,K16389,K16381,K16035,K14374,K19207,K16380,K15670,K16398,K16006,K19205
ko04060:Cytokine-cytokine receptor interaction	0.7618414079390914	3.774043720853962	0.00016062259240623433	0.07747335294241346	0.011518934483989949	34	K05483,K05484,K05481,K05166,K04672,K05168,K05486,K03158
ko04090:CD molecules	0.5529166768421143	3.71278652702084	0.00020498978238170373	0.09779672086956696	0.01286310884445191	107	K06522,K06573,K06519,K06520,K06487,K06535,K04011,K05066,K06558,K06736,K04288,K06485,K06468,K06496,K06517,K05089,K06469,K06560,K19970,K05087,K06746,K06525,K06553,K06484,K06530,K03158,K06563
ko04515:Cell adhesion molecules	0.6446288926073369	3.6258250494848645	0.0002880403231695361	0.1346464013427541	0.016066249136789678	60	K04600,K06753,K16494,K06487,K06587,K22653,K06736,K06485,K06588,K06496,K16493,K16496,K05719,K22661,K06525,K06484,K06584,K06800,K25874
ko04514:Cell adhesion molecules	0.7055776905970117	3.4114734536799918	0.0006461279249896368	0.2770831362331965	0.03243562183447977	35	K06752,K06777,K06746,K07378,K10784,K06520,K06766,K06496,K05695,K06485,K06736,K06584,K06087,K06487
ko03070:Bacterial secretion system	0.5735181630174128	3.307937427307505	0.0009398580659873979	0.3762655766256427	0.042891704465970334	72	K02458,K03204,K03425,K03195,K02465,K02452,K03197,K03230,K03224,K02461,K04057,K03199,K13301,K03200,K11903,K02459,K02453,K03227,K03222,K03225,K02462,K03201,K03228,K02460,K03196,K03203,K03194,K03229,K02457,K03219,K04056,K03221,K03223,K02464
ko05202:Transcriptional misregulation in cancer	0.5437985597040774	3.0895785552892416	0.0020044069259081976	0.6347678337896846	0.06760083395885212	79	K15617,K02580,K05087,K09293,K01353,K01343,K15619,K10784,K09383,K14242,K15188,K09186,K04377,K13105,K10056,K05099,K11447,K13098
ko04138:Autophagy - yeast	-0.5017471867884481	-3.080589308376112	0.002065913880249015	0.6458948987216685	0.06760083395885212	82	K07204,K00914,K21156,K09464,K05757,K01381,K08502,K08329,K05758,K21197,K09243,K12479,K21144,K18083,K21158,K08516,K00915,K08337,K20183,K21145,K08338,K06655,K15296,K17907,K21155,K00654,K04464,K05754,K04382,K18584,K08336,K17607,K20177,K17900,K08335,K08339,K03237,K16314,K21143,K01336,K08340,K07756,K08330,K16196,K12767,K08493,K06027,K20178,K09468,K08334,K17906,K05755,K08331,K17909
ko03050:Proteasome	-0.5894666441625558	-3.0706029771292425	0.0021362700543725577	0.6582086026774209	0.06760083395885212	44	K03036,K02731,K06697,K03037,K02739,K03035,K02728,K03039,K02736,K03064,K03065,K02732,K02738,K02727,K03063,K11599,K03433,K02729,K02737,K02735,K03420,K03029,K02730,K03030,K03028,K03033,K03038,K02726
ko04015:Rap1 signaling pathway	0.5177331742343667	3.057907858780637	0.0022288809842798685	0.673768183118333	0.06760083395885212	93	K04534,K05702,K10784,K17703,K06069,K08041,K12362,K07835,K05103,K07860,K06070,K07834,K05089,K05719,K05087,K08042,K02105,K12490,K05099,K05730,K06271
ko03420:Nucleotide excision repair	-0.5420929839598173	-3.0448594599300542	0.0023278906222941043	0.6896216974696782	0.06760083395885212	60	K03013,K03011,K03144,K10845,K02202,K03016,K10841,K04802,K10739,K02325,K02326,K07466,K03015,K03014,K03142,K03143,K03868,K06634,K03012,K03009,K10842,K02327,K10755,K10849,K10846,K10754,K02328,K10570,K03008,K10756,K03010,K03506,K03007
ko05215:Prostate cancer	0.5965842564013244	3.036996983763862	0.002389478467604622	0.6990928667380928	0.06760083395885212	51	K02580,K05087,K15619,K01343,K03099,K05089,K04467,K04490
ko00997:Biosynthesis of various other secondary metabolites	0.7185658223438879	3.0046601103207973	0.002658777799723344	0.7372320487074749	0.06760083395885212	24	K23447,K23668,K23375,K23446,K25525,K17835,K23372,K23371,K22997,K18287,K03895,K03894,K23665,K23374
ko04974:Protein digestion and absorption	0.6120450843887223	3.0008420016968445	0.00269234223454351	0.7416341045689347	0.06760083395885212	45	K01395,K09632,K01312,K06519,K01346,K14210,K12040,K08606,K06238,K08133,K06237,K01345
ko03083:Polycomb repressive complex	-0.5713465949755475	-2.9992455763161674	0.0027064906183744686	0.7434675758869606	0.06760083395885212	46	K11462,K10695,K11430,K14827,K11479,K04453,K10276,K17451,K11659,K10752,K04683
ko04014:Ras signaling pathway	0.5015288060113624	2.985443542321599	0.002831674042015564	0.7591345474105212	0.06760083395885212	99	K05702,K10784,K08773,K04352,K02580,K25768,K01047,K03099,K12362,K04467,K07835,K04440,K07860,K12326,K16343,K05089,K05087,K05099,K06619,K25769
ko05414:Dilated cardiomyopathy	0.5996645707342259	2.9715935156363296	0.002962586348794316	0.7744978789814342	0.06760083395885212	47	K06587,K08042,K06856,K12641,K12314,K06525,K04858,K06484,K06584,K08041,K04860,K06485,K06588,K06487
ko04052:Cytokines and growth factors	0.7854310629506074	2.916299225087441	0.0035421061471576643	0.831579915501295	0.07731031677709337	19	K05483,K05484,K05481,K05486,K22687
ko02044:Secretion system	0.4091803717232969	2.865234362026453	0.004167007188185412	0.8770783483633658	0.08527520914522159	358	K02458,K03204,K12687,K02465,K08085,K04057,K22507,K11898,K12523,K12512,K12097,K22488,K03200,K04050,K12537,K02459,K10924,K22510,K03222,K22506,K03228,K02505,K11909,K03196,K03203,K13409,K12287,K03229,K22487,K11910,K02457,K03219,K12291,K03223,K02676,K12541,K07345,K02245,K11914,K12066,K22504,K02661,K12211,K11903,K03227,K12538,K10965,K11916,K11911,K03201,K21967,K07346,K21965,K04053,K04051,K02464,K12522,K11905,K02665,K02240,K12286,K03425,K03195,K12279,K03197,K03230,K04338,K03224,K03981,K22514,K12520,K22511,K12518,K07349,K12288,K21964,K12280,K12289,K02453,K12065,K04337,K03225,K11894,K02462,K02451,K12284,K22505,K02682,K12064,K02679,K07350,K12513,K11891,K12689,K02463,K02246,K02452,K12514,K12059,K02461,K07348,K12290,K12542,K12281,K03199,K13301,K04049,K02504,K12515,K12048,K07347,K22509,K04336,K02244,K12519,K12532,K21966,K04334,K02460,K18377,K03220,K03194,K22513,K12070,K10925,K04056,K10927,K12049,K03221
ko01004:Lipid biosynthesis proteins	0.45943538973868686	2.8592250858886543	0.004246773363805856	0.8819231850184235	0.08527520914522159	138	K12429,K13776,K03822,K05553,K10257,K12442,K10226,K11609,K23618,K11628,K04791,K12443,K00630,K11533,K12430,K22769,K12421,K11611,K13699,K13510,K10805,K12444,K05552,K01896,K18474,K00507,K00631,K05551,K12433,K13523,K13514,K01913,K00142,K04790,K01908,K13513,K11610,K12440,K23617,K13517,K12427,K12431
ko04151:PI3K-Akt signaling pathway	0.45901055345534164	2.8370577375103694	0.004553137748741998	0.8988240800632498	0.08791058268724934	136	K06240,K23691,K05717,K06487,K13302,K06587,K02580,K16198,K03099,K04467,K06237,K06485,K06588,K06856,K05103,K05089,K07298,K05719,K05087,K06525,K04377,K06484,K06584,K05099,K06238,K23692
ko04936:Alcoholic liver disease	0.5657933922069209	2.8238713401234676	0.004744742711854766	0.9081436593994204	0.08821706819818861	54	K00149,K02580,K03158,K05166,K04398,K04730,K04467,K04490
ko03010:Ribosome	-0.41241074381411097	-2.7674232962958705	0.005650133957586068	0.9418314521565273	0.09972578969207935	135	K02993,K02957,K02929,K02884,K02988,K02973,K02873,K02865,K02934,K02959,K02961,K02978,K02947,K02915,K02876,K02923,K02924,K02968,K02917,K02997,K02886,K02880,K02960,K02925,K02870,K02945,K02890,K02941,K02985,K02893,K02901,K02952,K02892,K02940,K02935,K02883,K02933,K02904,K02949,K02982,K02889,K02937,K02932,K02994,K02905,K02920,K02962,K02989,K02918,K02938,K02975,K02953,K02969,K02878,K02912,K02926,K02900,K02922,K02872,K02955,K02868,K02981,K02951,K02954,K02875,K02894,K02895,K02898,K02907,K02964,K02976,K02914,K02897,K02991,K02958,K02943,K02950,K02931,K07590,K02882,K02902,K02916,K02998
ko04512:ECM-receptor interaction	0.611242199447233	2.7610802647185957	0.005761051595757571	0.9449993708079344	0.09972578969207935	37	K06240,K06587,K23379,K06255,K06525,K06484,K05717,K06584,K06238,K06237,K06485,K06588,K06487
ko05142:Chagas disease	0.5975578994936476	2.727615026801432	0.006379401134656293	0.9597529233764965	0.10418268143714655	40	K02580,K03158,K10784,K04398,K04730,K08041,K04467,K04440
