Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko03021:Transcription machinery	-0.6530676250988515	-inf	0.0	0.0	0.0	324	K15191,K03139,K15222,K11364,K11361,K15148,K15561,K11360,K15132,K06666,K15155,K11649,K03011,K11761,K11359,K03140,K15218,K03143,K17498,K11756,K15161,K15134,K03132,K15150,K15153,K03137,K03007,K15147,K11775,K15140,K15145,K15201,K03020,K23358,K11773,K03126,K03133,K02202,K03000,K15221,K11650,K03012,K15156,K15563,K03123,K11764,K20827,K11760,K14649,K03017,K11766,K15151,K11362,K11363,K15138,K15146,K03144,K11315,K14651,K15197,K11769,K15207,K03122,K25815,K15130,K15193,K09453,K15205,K15199,K03022,K03026,K03121,K15559,K03141,K03024,K03009,K03001,K03134,K15136,K25304,K11771,K03005,K15202,K14400,K11758,K03135,K03016,K03003,K15177,K14721,K15565,K03138,K15154,K11776,K11767,K15127,K18999,K11770,K15198,K11368,K15160,K14650,K10842,K11763,K03014,K18998,K15163,K15174,K25818,K15564,K03125,K14535,K15220,K03598,K15219,K03008,K15204,K11313,K15206,K21752,K10845,K21751,K15128,K15562,K23002,K11772,K03127,K11762,K11774
ko01008:Polyketide biosynthesis proteins	0.7051268710747434	inf	0.0	0.0	0.0	327	K16381,K14629,K14371,K15650,K20789,K19580,K19205,K05556,K14366,K12239,K16106,K14633,K25845,K25854,K20423,K16382,K14671,K21162,K20786,K14670,K15675,K16378,K16031,K15387,K20787,K16233,K04790,K24529,K16387,K15672,K15970,K16384,K16398,K21164,K20420,K04792,K20421,K16426,K18063,K21172,K15660,K12442,K16037,K16421,K16025,K16446,K23365,K16385,K24565,K16393,K14252,K04793,K15320,K15384,K16380,K16429,K21163,K21184,K20422,K16029,K21209,K16168,K14370,K16033,K15673,K14254,K16035,K24569,K04788,K16425,K15676,K14668,K16099,K24568,K15670,K21254,K15671,K16036,K24567,K16109,K16372,K16129,K05552,K02363,K21193,K16126,K05551,K19103,K12440,K16118,K15467,K16128,K16102,K15641,K14631,K14374,K21178,K16392,K24110,K16383,K14628,K15942,K21297,K21185,K14672,K20788,K23367,K16373,K16391,K05375,K16432,K16389,K14251,K04791,K16117,K16167,K12444,K15972,K16131,K16039,K04127,K16434,K14667,K19207,K24101,K16431,K16386,K15679,K16447,K15311,K16111,K16130,K14673,K12443,K19106,K16098,K21191,K00660,K21256,K25852,K21186,K24563,K25234,K15318,K25843,K14253,K19206,K15991,K16022,K16006
ko03037:Cilium and associated proteins	-0.6670301267699751	-inf	0.0	0.0	0.0	296	K24936,K19352,K10414,K19682,K16801,K16599,K24735,K19600,K25615,K25426,K13697,K07944,K25551,K16747,K16461,K25554,K24761,K25608,K24223,K20800,K16455,K16465,K16938,K19754,K10394,K16606,K16474,K19673,K20196,K10417,K19684,K19870,K16458,K24228,K19683,K06229,K12739,K25607,K16550,K25548,K19677,K07935,K04990,K16742,K25470,K25614,K07931,K16602,K11143,K10420,K19676,K23029,K19398,K10419,K24729,K16478,K16746,K25458,K16744,K19752,K24230,K16601,K08870,K19348,K08834,K19680,K16740,K16473,K24759,K10410,K25424,K19656,K22864,K04638,K25461,K22858,K19681,K19671,K25441,K17570,K19759,K19756,K25532,K24837,K23728,K16608,K25425,K16540,K19757,K24728,K19685,K19674,K25647,K19755,K20790,K16745,K19332,K24938,K24937,K10409,K24260,K19751,K25388,K25471,K23965,K17580,K24148,K10408,K24723,K24226,K19942,K24253,K24227,K19750,K24722,K09519
ko03019:Messenger RNA biogenesis	-0.5498153624505695	-inf	0.0	0.0	0.0	371	K14301,K18713,K18718,K14399,K18712,K14312,K12609,K12602,K12606,K12627,K06269,K09291,K18721,K26109,K12620,K18714,K14017,K18730,K20102,K12625,K14328,K12597,K14396,K15542,K15541,K02202,K12881,K13201,K18715,K10683,K14004,K12600,K18646,K14325,K12584,K18664,K06100,K14284,K12623,K18422,K01148,K18731,K15543,K14307,K03681,K18737,K18749,K14313,K12867,K03015,K14651,K12882,K12592,K12608,K11097,K11098,K18417,K12594,K03260,K18736,K13525,K18776,K11583,K21444,K14589,K14311,K18726,K03173,K14306,K18722,K14299,K14309,K14315,K19612,K12612,K12880,K18716,K10881,K14400,K03233,K12615,K14308,K08873,K23719,K21806,K07936,K18719,K03258,K12883,K14962,K18720,K12581,K10767,K16195,K16466,K18738,K12604,K23801,K23799,K18757,K14402,K12621,K18717,K09276,K13088,K00987,K14303,K20103,K14304,K11368,K09893,K14543,K23039,K18732,K18750,K12622,K12595,K12580,K14844,K14310,K18658,K18725,K01098,K10840,K12596,K12601,K18724,K18723,K18759,K23960,K18647
ko03029:Mitochondrial biogenesis	-0.6514870666848822	-inf	0.0	0.0	0.0	375	K17774,K22066,K17660,K17783,K17945,K17983,K09554,K08338,K17971,K17908,K02262,K17973,K14001,K17408,K17773,K08335,K01410,K17775,K17764,K11830,K14531,K17674,K17906,K08340,K17978,K17664,K14740,K17678,K25877,K22073,K17799,K17800,K17666,K17969,K02332,K17657,K15113,K17977,K17798,K18184,K17968,K18191,K17788,K17673,K17976,K17669,K17782,K22069,K14528,K17803,K17900,K17970,K17715,K17890,K17670,K17887,K05863,K17974,K18171,K18187,K14522,K18155,K15452,K17772,K18179,K22140,K17807,K25437,K08341,K17802,K17668,K17801,K15070,K17770,K18158,K18173,K17797,K22063,K21970,K17787,K14524,K17663,K08329,K11518,K14533,K19612,K17672,K17656,K18178,K17984,K22138,K18189,K08331,K07555,K17671,K17676,K23164,K18177,K17944,K14526,K02261,K18182,K18168,K11238,K17790,K08332,K17777,K17781,K17789,K18170,K17778,K18172,K02126,K17765,K22075,K08330,K17987,K18174,K17979,K08339,K19781,K08342,K17661,K17792,K17667,K17980,K15040,K02256,K19465,K17771,K17805,K17785,K08343,K18167,K08336,K02260,K22137,K22072,K18183,K07277,K17806,K17784,K17791,K22139,K17967,K15032,K17665,K18176,K17714,K17786,K15255,K14525,K18181,K04678,K17780,K19054
ko04111:Cell cycle - yeast	-0.7562208792137969	-8.076571004130123	6.661338147750939e-16	3.3439917501704136e-13	5.573319583618286e-14	124	K06680,K12411,K03358,K02220,K12576,K06670,K02365,K02606,K18639,K06648,K03357,K23469,K12413,K02309,K06667,K02607,K06666,K02603,K03352,K09202,K06657,K03356,K06628,K06663,K03114,K06681,K06661,K06656,K06653,K06654,K06649,K02219,K03361,K02537,K02605,K06651,K23458,K02830,K12414,K12416,K12575,K02608,K12760,K12577,K02307,K06686,K11272,K06673,K06684,K03359,K06646,K06672,K03868,K06683,K02627,K06652,K06659,K02604,K02181,K02646,K02179,K03351,K02544,K06687,K03085,K06668,K03360
ko04113:Meiosis - yeast	-0.774514005807315	-7.545443601817232	4.5075054799781356e-14	2.2627677509234745e-11	3.2325253584986058e-12	103	K03358,K02220,K12764,K12576,K02365,K12773,K02606,K09243,K12779,K06648,K03357,K12776,K02309,K02607,K12768,K02603,K12782,K12766,K03352,K12783,K03356,K06628,K12765,K06663,K12772,K03114,K11582,K06661,K06649,K02605,K02537,K09235,K06651,K02830,K12414,K12416,K12575,K02608,K09468,K12770,K03359,K06646,K09358,K12781,K06683,K12769,K02627,K06659,K02604,K12780,K12771,K09359,K03351,K12775,K10878,K02544,K04630,K12777,K12774,K03085
ko04011:MAPK signaling pathway - yeast	-0.7887688295341303	-7.284319942307888	3.232969447708456e-13	1.6229506626182087e-10	2.028688328437056e-11	90	K04441,K07973,K19851,K04393,K02220,K19840,K09265,K19838,K11244,K06648,K23469,K19807,K19850,K04627,K11242,K17971,K11227,K06666,K00706,K11233,K19845,K02677,K19842,K19806,K03114,K11215,K19860,K19843,K06649,K11246,K19847,K15174,K06651,K11234,K08294,K19812,K09448,K11213,K09468,K19844,K12760,K11236,K11229,K01383,K04513,K19839,K11231,K11243,K11238,K11245,K11239,K11240,K19815,K19848,K11230,K06652,K06009,K11241,K19846,K11226,K09051,K03085,K11237
ko00680:Methane metabolism	0.5930882637307998	6.932605777183918	4.1315839638400575e-12	2.0740551477011413e-09	2.3045057220530096e-10	190	K17066,K22082,K16158,K07144,K00443,K22481,K11781,K16177,K00195,K07821,K00401,K16254,K16793,K15228,K16255,K13942,K22480,K03533,K10978,K15229,K22085,K01595,K00202,K09733,K00672,K00577,K13812,K01499,K00196,K18277,K22086,K10713,K25528,K05979,K12234,K11780,K00442,K08685,K13788,K10977,K07072,K18933,K00317,K01086,K00121,K11779,K00440,K11260,K01622,K11532,K10944,K06914,K03841,K16161,K00583,K13039,K16306,K14029,K00320,K00193,K10946,K22516,K08691,K08097,K23995,K14067,K19793,K16178,K00148,K08265,K22081,K16179,K00399,K06034,K00578,K14081,K00192,K00400,K16370,K00126,K10945,K14126,K16260,K00203,K00402,K22482,K17067,K00581,K22087,K03422,K00584,K00205,K00580,K24998
ko01052:Type I polyketide structures	0.7797635622939342	6.831342156673902	8.412381902189736e-12	4.2230157060000795e-09	4.2230157148992474e-10	81	K15641,K16381,K16385,K24565,K16393,K14374,K14371,K16392,K16383,K20789,K16380,K19205,K16029,K14366,K14370,K16033,K15673,K16035,K20788,K24569,K16382,K16373,K20786,K16391,K16378,K16031,K16389,K20787,K24568,K15670,K15671,K16036,K15672,K16387,K15642,K24567,K24563,K16384,K16398,K16372,K19206,K16037,K19207,K15991,K16025,K16022,K15467,K16386,K16006
