Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.6824912283373115	8.209536151601387	2.220446049250313e-16	1.1146639167235951e-13	1.1146639167236572e-13	327	K20422,K16029,K20423,K21193,K15972,K14251,K21254,K19207,K16421,K05556,K04793,K16447,K15641,K25847,K16378,K15643,K14366,K12442,K25843,K16109,K15320,K20421,K16392,K05375,K16387,K16099,K25854,K16388,K24110,K16122,K04128,K24563,K15681,K16129,K16385,K12444,K15670,K16429,K15467,K14375,K15388,K05551,K15387,K15672,K16391,K21209,K16233,K15645,K15660,K16035,K20787,K12443,K21185,K21164,K14253,K18063,K14374,K16446,K15384,K16168,K21184,K21297,K16006,K04790,K20786,K16374,K14257,K00660,K16420,K14671,K16106,K16036,K05552,K21169,K15315,K20420,K16373,K14628,K15970,K04791,K04792,K25234,K14668,K19580,K25845,K02363,K14369,K19106,K16033,K16386,K16376,K16372,K23365,K16424,K14667,K24569,K21191,K21163,K19206,K04127,K12239,K16126,K16431,K16118,K16167,K25848,K16381,K16132,K05554,K15679,K24568,K16426,K21161,K21162,K14254,K15650,K14371,K25852,K20789,K25846,K15318,K19102,K15926,K24565,K19205,K16393,K16384,K14629,K23367,K14670,K16098,K16037,K21172,K25851,K21178,K25853,K16380,K16398,K15671,K16131,K15675,K15674,K24529,K16031,K16032,K16389,K16383,K16108,K15673,K15942,K24567,K21256,K16434,K15642,K19208,K24292,K15991,K25145,K12440,K20788,K14252,K14673
ko03037:Cilium and associated proteins	0.6588672696871845	7.416154084299965	1.20570220474292e-13	6.052625067626651e-11	3.026312533904729e-11	296	K19756,K07934,K10411,K19671,K19352,K24761,K24735,K23965,K16461,K16749,K10410,K16744,K09519,K19942,K16601,K25553,K16602,K25554,K22866,K24224,K16535,K24728,K24759,K25628,K19362,K23456,K10408,K25450,K24223,K22864,K16465,K19758,K16540,K25471,K25614,K19656,K19750,K23538,K25551,K25470,K20196,K19683,K22858,K25460,K18272,K21415,K19684,K23728,K24937,K25388,K16801,K04638,K19678,K24837,K25549,K16745,K19677,K25608,K10418,K19674,K08811,K24228,K24729,K24652,K10420,K19348,K24229,K20198,K25552,K19757,K07931,K23730,K19672,K25532,K24869,K19868,K19673,K16608,K16478,K23029,K19382,K23733,K10414,K25647,K20800,K19682,K25395,K19754,K16550,K24938,K17580,K16455,K23729,K24148,K21841,K18040,K25441,K23732,K25425,K16748,K07944,K25611,K10417,K08829,K24822,K16474,K25607,K25648,K24932,K08828,K25616,K24253,K19753,K07935,K10359,K19398,K16781,K16942,K24260,K24722,K22868,K25615,K25226,K16480,K19399,K16531,K19685,K24030,K25390,K24226,K10394,K19680,K19752,K25548,K17479,K19679,K25458,K11143,K25138,K24227,K19676,K25698,K24723,K16746,K19681,K17570,K16458,K16747,K19385,K10419,K19759
ko04111:Cell cycle - yeast	-0.6680317534792821	-6.152431896826233	7.630374110334515e-10	3.830447071232888e-07	1.276815934462642e-07	124	K23458,K02220,K02627,K06650,K11272,K03085,K06673,K06670,K12576,K12575,K02607,K02605,K02179,K03360,K06681,K12411,K06648,K02603,K03351,K03356,K06659,K06661,K02181,K06682,K12414,K06652,K03359,K12760,K12577,K02608,K06658,K03357,K02555,K06666,K02544,K23469,K06663,K06657,K06656,K18639,K06660,K06680,K02178,K12416,K02307,K06647,K06671,K06684,K12413,K02309,K02830,K09202,K03352,K02604,K06668,K12578,K06646,K06686,K06667,K10259,K03358,K02646,K06649,K06687,K06651
ko04113:Meiosis - yeast	-0.6977789434129177	-6.048007370856446	1.466482490997123e-09	7.36173940044181e-07	1.8404355262013894e-07	103	K02220,K12764,K02627,K06650,K09358,K03085,K12762,K12779,K12576,K12575,K02607,K12774,K02605,K12772,K03351,K12769,K12782,K03356,K06659,K06661,K12765,K12414,K03359,K09359,K12770,K02544,K12777,K12781,K06663,K09243,K12773,K06660,K11582,K09468,K12780,K12416,K06671,K12783,K02309,K02830,K09235,K06646,K12768,K12766,K04630,K03358,K12775,K06651
ko01052:Type I polyketide structures	0.7650891942080758	6.001070634922977	1.9602068856983124e-09	9.840233734336807e-07	1.9680477132411058e-07	81	K16391,K16376,K16393,K16372,K16029,K16384,K16035,K20787,K19207,K16037,K14374,K15641,K14366,K16378,K15643,K24569,K16380,K19206,K16398,K15671,K16006,K16031,K20786,K16032,K16392,K16374,K16381,K16387,K16389,K16383,K16420,K24568,K24567,K15673,K16388,K19208,K16036,K14371,K15991,K25145,K20789,K20788,K24563,K16373,K16385,K15670,K15467,K14375,K24565,K16033,K16386,K15672,K19205
ko03021:Transcription machinery	-0.5197829893845775	-5.9539948104397835	2.616751038075904e-09	1.3136081600488433e-06	2.1893483685235063e-07	324	K03141,K03133,K11771,K25304,K15145,K11773,K03006,K15564,K03024,K11758,K15219,K15565,K14721,K03122,K17498,K15146,K15217,K15207,K11315,K15138,K11766,K03011,K15204,K15206,K03004,K15561,K09191,K11368,K15156,K21751,K14650,K14845,K15128,K15153,K21752,K11776,K15127,K03008,K15147,K03135,K15174,K11756,K14649,K15197,K25817,K06100,K11775,K15221,K15559,K15150,K15562,K03007,K15218,K15130,K15161,K11364,K03597,K03121,K03042,K03000,K03009,K15154,K15148,K11767,K15222,K15136,K11362,K11359,K03140,K18998,K11363,K11774,K14651,K03003,K25818,K15160,K03598,K15158,K03045,K15198,K03142,K24073,K03005,K15155,K15165,K15178,K03134,K03137,K20827,K03139,K03600,K11760,K14400,K15191,K11763,K03130,K15202,K15216,K15563,K03092,K11769,K15177,K03144,K03599,K11786,K15205,K13798,K11761,K15201,K03136,K15199,K15193,K10842,K15171,K03001,K15151,K11360,K11759,K06666,K23358,K23002,K03138,K15163,K15140,K15152,K06269,K15220,K11770,K15134,K10845,K03143,K15132,K11764,K11772,K02202,K11361,K11762
ko04011:MAPK signaling pathway - yeast	-0.7093683244197787	-5.881497970860381	4.065699332755912e-09	2.04097898639203e-06	2.915687235776383e-07	90	K02220,K06009,K06650,K09051,K11230,K19846,K03085,K11244,K11239,K19851,K19807,K19850,K19843,K11237,K19842,K09448,K19816,K06648,K04513,K00706,K07973,K11215,K19847,K06652,K17971,K12760,K04627,K00006,K04393,K19812,K02555,K06666,K19845,K19841,K11246,K11233,K11227,K23469,K19838,K11229,K19839,K11226,K09468,K19860,K11245,K19849,K09265,K11231,K11242,K19815,K19806,K11243,K11236,K11240,K11213,K15174,K08294,K19844,K02677,K04464,K19840,K01383,K19848,K11241,K06649,K06651
ko03029:Mitochondrial biogenesis	-0.5001668955046576	-5.599686848653482	2.1473936406835037e-08	1.0779858088887036e-05	1.3474895095288986e-06	375	K08332,K18176,K17974,K17976,K18184,K17799,K22063,K19781,K17788,K17977,K17968,K17973,K17792,K02261,K14528,K17764,K17670,K17668,K22140,K12160,K17800,K17984,K02256,K18177,K14526,K17663,K14522,K17672,K14533,K02260,K02126,K03537,K17784,K18181,K17780,K17806,K07555,K22068,K17786,K17805,K17673,K18155,K17787,K18171,K17669,K18158,K18183,K08329,K17782,K15113,K17971,K17667,K18173,K17775,K18172,K15255,K07277,K17967,K03539,K25877,K08675,K08331,K17408,K17661,K22066,K17773,K17797,K18192,K15040,K18174,K17969,K17887,K22139,K17793,K17801,K11518,K22137,K17660,K01173,K08340,K22072,K17664,K17803,K08336,K17798,K02332,K17657,K09554,K17778,K17666,K17807,K22069,K18182,K17656,K18178,K17906,K15452,K17772,K18179,K17983,K15070,K22138,K17676,K17900,K03538,K14524,K17674,K17769,K17671,K17802,K17777,K17790,K17714,K17678,K17781,K17789,K17970,K21970,K17765,K18188,K17774,K09648,K19465,K18167,K17791,K22075,K17665,K08338,K22073,K08335,K11830,K14531,K17794
ko04031:GTP-binding proteins	0.5997620544152237	5.099906039048729	3.3982213354377677e-07	0.00017057619025130514	1.8954523448775104e-05	123	K07860,K07923,K07901,K07934,K07874,K07935,K07904,K07931,K07841,K07876,K07920,K07903,K07881,K07875,K07916,K07888,K07939,K07950,K07930,K07955,K07830,K07910,K07834,K17199,K07925,K07880,K07891,K04353,K07902,K07913,K07877,K07828,K07914,K07897,K04534,K07833,K07890,K07208,K07889,K07929,K07851,K07917,K07887,K07883,K07884,K24888,K07882,K07944,K07915,K07835,K07909,K07921,K07838,K04392,K07905,K07898,K07907,K07899,K06108,K07855,K07908,K06109
ko00199:Cytochrome P450	0.5465710026060546	5.058120700749204	4.2340841921451045e-07	0.00021252848406501027	2.0167636822292096e-05	173	K23138,K13027,K23811,K21116,K23139,K20497,K17476,K17483,K23812,K00488,K21119,K07424,K20495,K09588,K24392,K21117,K17873,K22640,K16447,K24391,K14366,K16446,K12639,K21035,K23180,K21034,K12702,K21200,K05917,K24241,K09832,K10437,K13224,K16006,K19628,K15981,K00489,K13083,K16046,K13260,K24192,K20620,K13074,K24292,K15991,K14338,K20789,K12645,K21146,K21199,K21113,K07440,K21120,K24544,K15405,K22553,K21569,K17876,K16084,K15388,K05525,K07427,K24184,K21115,K24389,K15639,K21033
