Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.7011892957943245	inf	0.0	0.0	0.0	327	K21165,K16106,K16102,K15681,K15315,K14251,K23365,K16448,K16118,K15650,K16431,K04793,K15320,K15642,K05556,K20423,K04792,K12441,K20421,K16426,K12440,K16378,K19580,K21178,K21384,K16109,K16387,K18063,K21162,K04127,K16391,K24569,K16446,K14375,K04790,K05552,K16039,K16425,K15670,K15387,K12442,K05551,K24567,K20789,K04791,K14628,K16099,K25843,K21209,K14368,K15469,K19102,K14670,K19106,K25852,K16447,K16393,K14669,K12443,K15675,K16434,K21191,K19205,K16029,K15970,K16031,K21164,K25145,K21163,K14632,K16033,K20422,K16427,K14629,K15388,K16006,K16100,K15674,K16392,K16167,K16420,K24563,K14252,K24565,K15389,K16380,K21254,K15926,K15942,K14671,K16134,K14374,K21184,K14672,K15645,K16374,K16103,K15672,K14673,K21256,K24292,K24529,K21185,K12444,K14633,K16098,K16375,K23367,K15972,K05553,K25846,K16398,K00660,K19206,K16037,K19207,K16022,K16424,K21161,K14371,K15311,K16372,K21255,K16429,K16383,K05554,K20787,K20786,K16233,K04788,K20788,K20420,K14630,K15643,K14668,K14257,K15467,K15886,K15337,K16385,K15673,K25854,K14256,K16384,K15944,K16036,K16389,K16382,K14667,K16024,K16131,K16129,K15641,K05375,K16004,K16373,K16108,K00646,K14366,K16421,K14253,K14631,K02363,K25234,K21172,K14626,K15313,K15991,K16381,K14254,K24110,K15676,K15660,K16376,K14370,K12239,K21193,K16168,K16111,K16388
ko04113:Meiosis - yeast	-0.7042211697875717	-5.99613325460899	2.020712264183544e-09	1.0143970431440133e-06	5.071987783100695e-07	103	K12414,K12770,K12781,K12764,K02220,K09359,K06651,K09358,K02608,K12416,K12766,K12783,K06671,K12775,K02607,K12576,K03085,K12779,K03356,K03351,K02627,K12774,K03359,K12768,K12777
ko04111:Cell cycle - yeast	-0.6445563425331315	-5.791196494742469	6.988675638197606e-09	3.508309028503923e-06	9.405410122953484e-07	124	K12414,K12577,K02220,K18639,K06651,K23458,K06680,K02179,K12413,K02608,K12760,K12416,K06671,K06687,K02607,K12576,K03085,K06673,K09202,K03356,K03351,K02627,K06667,K03359,K06658
ko01052:Type I polyketide structures	0.7782256826514581	5.779453851538415	7.494350695580465e-09	3.762156986348537e-06	9.405410122953484e-07	81	K24567,K20789,K15673,K16384,K14368,K16036,K16375,K16389,K16382,K16024,K16398,K16393,K19206,K15641,K16037,K15642,K16022,K19207,K19205,K16004,K16029,K16378,K14371,K16031,K16373,K16372,K25145,K16383,K14366,K16387,K16033,K15991,K20787,K16381,K16006,K20786,K16391,K16392,K16420,K20788,K24569,K24563,K24565,K14375,K16376,K14370,K16380,K15670,K15643,K14374,K15467,K16374,K16388,K15672,K16385
ko04011:MAPK signaling pathway - yeast	-0.6945119244742886	-5.508283332108531	3.6234986788841184e-08	1.8189798261168258e-05	3.637992673599655e-06	90	K02220,K06651,K11242,K19851,K11226,K12760,K11243,K11245,K19840,K04536,K19848,K11241,K06009,K19849,K03085,K19807,K01383,K07973,K19847,K04627,K19812
ko03010:Ribosome	-0.5668882338345478	-5.101995271472688	3.360911506877784e-07	0.00016870355395229877	2.811962627421079e-05	135	K02902,K02877,K02885,K02896,K02867,K02876,K02970,K02914,K02884,K02916,K02939,K02912,K02968,K02866,K02863,K02979,K02907,K02875,K07590,K02994,K02945,K02988,K02915,K02935,K02897,K02878,K02871,K02933,K02918,K02983,K02980,K02984,K02899,K02990,K02919,K02894,K02927,K02956,K02987,K02922,K02909,K02977,K02974,K02886,K02966,K02996,K02944,K02992,K02910,K02954,K02883,K02864,K02921,K02904,K02906,K02965,K02930,K02962,K02931,K02929,K02959,K02926,K02948,K02961,K02946,K02949,K02920,K02908,K02947,K02887,K02924,K02890,K02879,K02911,K02874,K02888,K02923,K02892,K02978,K02913,K02958,K02952,K02995,K02889,K02967,K02936,K02986,K02993,K02881,K02869,K02982,K02895,K02950
ko03029:Mitochondrial biogenesis	-0.4480173039675411	-4.895877163837501	9.7868188020378e-07	0.0004911778769070681	7.018547198032823e-05	375	K17803,K17670,K25877,K17664,K17778,K18177,K17979,K17771,K17657,K17668,K17770,K22140,K17807,K17970,K17788,K17797,K18167,K22063,K18183,K17806,K17791,K17674,K17984,K17665,K08331,K14526,K17660,K18182,K08338,K15452,K08329,K08335,K17661,K11830,K14531,K15070,K22075,K17782,K18188,K18174,K14524,K17976,K15040,K14740,K18191,K17969,K17784,K22139,K17671,K17676,K17977,K18176,K18181,K17780,K17774,K14528,K17777,K17781,K08340,K17794,K17789,K17805
ko01004:Lipid biosynthesis proteins	0.5671168154568077	4.823891303675932	1.4078415999652094e-06	0.0007064873009123597	8.834206039781689e-05	138	K10224,K13699,K23617,K04791,K01896,K12430,K12444,K12423,K12434,K05553,K12421,K11609,K13523,K11611,K12443,K12437,K11608,K12441,K13776,K12445,K12440,K22769,K23618,K00665,K13510,K11533,K05554,K03921,K10805,K00507,K03922,K04712,K00142,K12429,K12439,K12433,K10226,K10256,K00508,K03822,K12431,K05552,K04790,K11628,K18473,K13517,K11610,K12442,K05551
ko03021:Transcription machinery	-0.4381734854147357	-4.744776718019492	2.087364522784796e-06	0.0010473092724960203	0.0001164285544931075	324	K03017,K15207,K15150,K15172,K03000,K15153,K15193,K03007,K15177,K03139,K11760,K15559,K25818,K03011,K15171,K03051,K24073,K15220,K03020,K10845,K03055,K15202,K14649,K03013,K11769,K03132,K15132,K03006,K21752,K18998,K11786,K15199,K03059,K15161,K03003,K03140,K03022,K15216,K11773,K15145,K06269,K11776,K15127,K03058,K03133,K03001,K03598,K03136,K14650,K15154,K23002,K11654,K03049,K03045,K11758,K03053,K11774,K15565,K03056,K11764,K11361,K03047,K15197,K15155,K03143,K03124,K15138
ko04138:Autophagy - yeast	-0.6227695954599755	-4.66108142375816	3.145522429637282e-06	0.0015778086921615377	0.00015718990181744596	82	K21158,K05754,K08338,K08331,K21141,K21155,K17909,K08493,K21144,K21143,K21145,K16314,K21156,K08329,K08340,K08335
