Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.7067438409556173	7.991573950493904	1.3322676295501878e-15	6.68798350033971e-13	6.687983500341943e-13	327	K14375,K15642,K21163,K19206,K16099,K15468,K05556,K13613,K13615,K20423,K14366,K14631,K15387,K21209,K25852,K16383,K04127,K04793,K00660,K16424,K12444,K05555,K15972,K19102,K14670,K15662,K16387,K16428,K25843,K04792,K25854,K16035,K20421,K16384,K14368,K15679,K16398,K16129,K24101,K16033,K21161,K15660,K25853,K15321,K25846,K05552,K16378,K16109,K16381,K24563,K15320,K14253,K15673,K15315,K05551,K24529,K14673,K16128,K14629,K25851,K20787,K14254,K05375,K16131,K16421,K16392,K16122,K16373,K04791,K16233,K04790,K15337,K23367,K02363,K00646,K15312,K25849,K21256,K25850,K21185,K21162,K16431,K16391,K25845,K25842,K16393,K19580,K16374,K15942,K14252,K15671,K21178,K20786,K21193,K04780,K16117,K14628,K16132,K21254,K16031,K15970,K16380,K21184,K16447,K12443,K16102,K15389,K15676,K21297,K15670,K16372,K05553,K16006,K16385,K16389,K21172,K15318,K19207,K14668,K16036,K20788,K15674,K21160,K20420,K16434,K21164,K24565,K25234,K15991,K15675,K20422,K15672,K16037,K19205,K04788,K13612,K15388,K16386,K16446,K19106,K16429,K15643,K16444,K25848,K16118,K16432,K16106,K18063,K15650,K16126,K16004,K05554,K21186,K15313,K14633,K12442,K20789,K16168,K24567,K15328,K25844,K24110,K21165,K14374,K14256,K12440,K15311,K14370,K02362,K25847,K15641,K16167,K23365,K01252,K15665,K14671,K16130,K12239,K24569,K14672,K16098,K24568,K15327,K15467,K14667,K16426,K10817,K14251
ko04113:Meiosis - yeast	-0.6765987581547129	-5.504049290366396	3.711657026173043e-08	1.8632345032879367e-05	9.316259135694338e-06	103	K06651,K02627,K12774,K12775,K12764,K02220,K03085,K03358,K06646,K12576,K02537,K02544,K12768,K06663,K12414,K06661,K03356,K12779,K09359,K12770,K03359,K12771,K12781,K12777,K11582,K12416,K09243,K09468,K12773,K03351,K12783,K12575,K12780,K03352,K06269,K09358,K12766
ko01052:Type I polyketide structures	0.7328646363506468	5.307942739051351	1.108694576146263e-07	5.565492201520601e-05	1.8552155907514134e-05	81	K14375,K16378,K24563,K16381,K15643,K16031,K16380,K19206,K15673,K15670,K20787,K16004,K14366,K16372,K16392,K16383,K16006,K16373,K16385,K16389,K20789,K19207,K24567,K20788,K16036,K14374,K14370,K16387,K24565,K15641,K15991,K16035,K16384,K14368,K16398,K15672,K16037,K16391,K19205,K24569,K16374,K16393,K16033,K24568,K10817,K15467,K15671,K16386,K20786
ko04111:Cell cycle - yeast	-0.6131994637729563	-5.228030031701709	1.7132568674860238e-07	8.600180374810482e-05	2.15013736869496e-05	124	K23458,K06651,K02627,K03085,K02220,K06687,K03868,K03358,K06646,K12576,K06652,K02537,K02544,K06663,K12578,K12414,K06661,K03356,K06668,K03359,K09202,K06658,K12413,K12760,K12577,K12416,K18639,K06657,K03351,K12575,K06680,K02179,K03352,K06673,K06667,K06686
ko01004:Lipid biosynthesis proteins	0.5605523917242109	4.505892643392956	6.609449948458135e-06	0.003312456509659815	0.0006635887748251967	138	K13776,K11609,K03822,K05551,K11628,K12443,K12430,K22769,K03922,K12445,K11611,K12428,K23617,K13523,K05554,K05553,K12442,K12444,K10805,K04791,K04712,K12440,K10255,K04790,K00142,K18473,K11608,K10256,K12439,K12437,K23618,K00667,K11533,K12429,K00665,K00508,K12434,K10224,K12421,K12423,K03921,K01896,K10817,K12431,K05552,K10226
ko00362:Benzoate degradation	0.6163784082748052	4.450234128782207	8.577672504950229e-06	0.0042967524964372585	0.0007176652662475025	94	K07823,K04101,K10219,K05549,K16246,K22553,K07104,K20942,K10217,K16244,K00481,K16242,K10621,K07516,K01032,K10220,K01692,K20943,K04117,K00217,K00252,K10221,K03381,K04112,K03464,K00632,K04110,K01617,K05783,K22270,K00448,K16249,K05784,K16245,K01031,K14727,K04105,K01782,K05550,K04118,K13767,K00449,K00446,K04115,K16173,K18364
ko03021:Transcription machinery	-0.43589361116823944	-4.283288913354784	1.8415080102363035e-05	0.009201856721204571	0.0013206243159123205	324	K24073,K15132,K25815,K03000,K11758,K15219,K23002,K03121,K15218,K09191,K15193,K11776,K15150,K11773,K03009,K03007,K15155,K15154,K11769,K03001,K15198,K15145,K17498,K11649,K11359,K15565,K03006,K11775,K18999,K03014,K09453,K03020,K15163,K11363,K15559,K15217,K03011,K14649,K15207,K03137,K14535,K15561,K15127,K11766,K23514,K15191,K15136,K15220,K11759,K15160,K11760,K15564,K15202,K11764,K18998,K25817,K06269,K21751,K15197,K14651,K03132,K10845,K15152,K03598,K11767,K03123
ko00623:Toluene degradation	0.7962615752008819	4.121601891590463	3.762469926571477e-05	0.018710694728803698	0.0023609498789236016	33	K16246,K15757,K20199,K16244,K16242,K20200,K05797,K07546,K15763,K15760,K00217,K03381,K15762,K15764,K16249,K16245,K15765,K07550,K00141,K15761,K07548,K15758,K03380
ko03029:Mitochondrial biogenesis	-0.41988881572935716	-3.9395164354102805	8.16460089645421e-05	0.04015932302239192	0.004414070041304452	375	K17971,K08338,K17673,K17788,K22063,K17977,K17968,K14528,K18171,K17803,K21970,K17980,K22072,K17796,K14526,K18155,K25877,K22075,K18192,K02260,K17715,K17890,K17784,K22139,K23164,K18181,K17983,K17665,K17773,K18158,K17787,K14533,K17669,K18177,K18170,K17790,K19054,K15040,K18173,K17661,K19465,K17670,K17714,K04678,K18184,K18182,K17987,K17807,K17783,K08340,K17984,K18189,K17664,K17806,K14531,K17666,K17657,K09503,K14740,K17660,K17778,K17799,K08335,K15452,K17772,K18179,K17667,K17802,K11830,K14524,K17793,K07277,K15032,K22138,K15255,K17671,K17777,K17781,K17789,K17780,K17668,K17672,K17805,K18174,K18167,K22137,K18183,K18176,K17786,K17976,K22066
ko04011:MAPK signaling pathway - yeast	-0.5467544560787525	-3.921691070888465	8.792968209769825e-05	0.04318253382008827	0.004414070041304452	90	K06651,K19848,K17971,K11241,K03085,K02220,K19815,K06652,K04536,K19807,K07973,K19847,K19812,K11240,K11239,K11226,K12760,K09468,K19845,K11242,K19850,K11244,K04627,K01383,K11243
