Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.6358404045586524	7.174514603289877	7.256417688950023e-13	3.642721679190762e-10	3.6427216798529116e-10	327	K16431,K00646,K16391,K25852,K19205,K15320,K05553,K16429,K18063,K15942,K14374,K16106,K04790,K15318,K25854,K15313,K20423,K15643,K25842,K15670,K25848,K20420,K21297,K15312,K16398,K12442,K15650,K25846,K16434,K14252,K24569,K16129,K25843,K20786,K00660,K21163,K15311,K16131,K24529,K19102,K15679,K16098,K14629,K24567,K20421,K19580,K15665,K14628,K16004,K12444,K21193,K14375,K21256,K12239,K16006,K04127,K16132,K14668,K04792,K15675,K15676,K05551,K05552,K16446,K16126,K15972,K25845,K23365,K20789,K21178,K15387,K16167,K21185,K14670,K24565,K15467,K25847,K16421,K25853,K16385,K15970,K14671,K16448,K12443,K21162,K15394,K25234,K16036,K25851,K16424,K05556,K15315,K15662,K14251,K25844,K20422,K25850,K04793,K19106,K19103,K16380,K16388,K16389,K23367,K15327,K15926,K16035,K05375,K25233,K16381,K19207,K16393,K21209,K15641,K15674,K16109,K15673,K16099,K14672,K20788,K16392,K04128,K12441,K16130,K05554,K14667,K14254,K15337,K16233,K15384,K20787
ko04011:MAPK signaling pathway - yeast	-0.7739681474082988	-6.108730971413176	1.0042644493779562e-09	5.041406267619509e-07	2.3946975143592414e-07	90	K19842,K09051,K11227,K19851,K11233,K11213,K19812,K11215,K06650,K02677,K06652,K19806,K19846,K11242,K12760,K17971,K11236,K02220,K11238,K11243,K06648,K02555,K11241,K04393,K19844,K19839,K19843,K04464,K11237,K11229,K19807,K23469,K19849,K11231,K11234,K09448,K17741,K19838,K11230,K15174,K19840,K07973,K08294,K00706,K19847,K06649,K04627,K19848,K19860,K09265,K19850,K11226,K06651,K06009,K01383,K19816,K11244,K11246,K11245,K03114,K11240,K19815,K19841,K09468,K19845,K11239
ko03021:Transcription machinery	-0.531600749124231	-6.051942659796943	1.4310941320871962e-09	7.184089967659612e-07	2.3946975143592414e-07	324	K03122,K11361,K20827,K15154,K03597,K11760,K11365,K15148,K15218,K11756,K06100,K11769,K11360,K15564,K25304,K15177,K21752,K03127,K15204,K15199,K25815,K03025,K15152,K24073,K15165,K03005,K14650,K14400,K14651,K15207,K11767,K11774,K10845,K15138,K03599,K15163,K15127,K03008,K03022,K15219,K15130,K11759,K15561,K15202,K03140,K15146,K15559,K03134,K15217,K11762,K11772,K15140,K15201,K03141,K03132,K15563,K11764,K11364,K11359,K11766,K25817,K03020,K15221,K03138,K03024,K10842,K23358,K15565,K03133,K15560,K11770,K15206,K15147,K15151,K15198,K11763,K15136,K17498,K15145,K03011,K15153,K03126,K02202,K03001,K14649,K11368,K15161,K03139,K15128,K15134,K15174,K15205,K03135,K23002,K03014,K03137,K11773,K03130,K15150,K15132,K15222,K15191,K03144,K11771,K25818,K03143,K11362,K03012,K15160,K11363,K15197,K09191,K11313,K11761,K11775,K03000,K03598,K15156,K11776,K11758,K21751,K15562,K15193,K03007,K15158,K15220,K18998,K11315,K15178,K03003,K15155
ko04113:Meiosis - yeast	-0.690988279495968	-5.740752049140823	9.42570155260114e-09	4.731691007220372e-06	9.569116409480217e-07	103	K12774,K03351,K03357,K06646,K12780,K12770,K02607,K06650,K12781,K12762,K12763,K02603,K12768,K09235,K06661,K12764,K02220,K06648,K12775,K06663,K12772,K12576,K11582,K03358,K02309,K06671,K02604,K12769,K02605,K03356,K12779,K12776,K12414,K06659,K12783,K12575,K12782,K12765,K03359,K02830,K12777,K03352,K12773,K06651,K09359,K12416,K02627,K06649,K09468,K09243,K02544
ko04111:Cell cycle - yeast	-0.6525989316920326	-5.73887074521201	9.53099243972133e-09	4.78454678156044e-06	9.569116409480217e-07	124	K03351,K03357,K06646,K06656,K06667,K12577,K02607,K06650,K09202,K06652,K06680,K06684,K23458,K06668,K12413,K02603,K06661,K02307,K12760,K02220,K02646,K06681,K06648,K02555,K06647,K06687,K06663,K12576,K02309,K23469,K03358,K06671,K02179,K02604,K02605,K03356,K12414,K06659,K12575,K02606,K03359,K02830,K06658,K12578,K03352,K06657,K06651,K18639,K02181,K03868,K06673,K11272,K03360,K06686,K06653,K12416,K02627,K12411,K03114,K06649,K03361,K02544
ko03037:Cilium and associated proteins	0.5532867224390794	5.562451798219461	2.6601052027785954e-08	1.3353639134927341e-05	2.225621352991425e-06	296	K19750,K07931,K24728,K25615,K23732,K19674,K19942,K19352,K25616,K25552,K19385,K19362,K16801,K24937,K16455,K25395,K16465,K25607,K22864,K24228,K16602,K19676,K19382,K24735,K19759,K19677,K16535,K19679,K19626,K10408,K19673,K16531,K16944,K19752,K24938,K16747,K22866,K16458,K16540,K24652,K25608,K16749,K16748,K25549,K25450,K25388,K16582,K08828,K21841,K20196,K12739,K24837,K19672,K16746,K25226,K23729,K19636,K10410,K25554,K10414,K10411,K24723,K23733,K23965,K25548,K24869,K23538,K25460,K23456,K16939,K25614,K16744,K24722,K16781,K10418,K25553,K16550,K10394,K24822,K25628,K09496,K25551,K19678,K24227,K19399,K16480,K16461,K17570,K16943,K17479,K19753,K25611,K16474,K20877,K25698,K19683,K23730,K24224,K09494,K07934,K19756,K19754,K08829,K25441,K19681,K25532,K18272,K11143,K25647,K24932,K24226,K19671,K10420,K21415,K25390,K22868,K04638,K18040,K20800,K19758,K25425,K25648,K24759,K20198,K08811,K10359,K25138,K10417,K25610
ko03029:Mitochondrial biogenesis	-0.48682052480125726	-5.387950364987777	7.126572598714631e-08	3.577475578848906e-05	5.110770635078207e-06	375	K17679,K17973,K08340,K17664,K17968,K08338,K17666,K17657,K17774,K17800,K17665,K22069,K14524,K17974,K11238,K15452,K17772,K09539,K17793,K17802,K22073,K02262,K17786,K17673,K17781,K17789,K17976,K17663,K22140,K17672,K17777,K14533,K02260,K18176,K17979,K17667,K17794,K17887,K17969,K17660,K17971,K17900,K17967,K02332,K18171,K07555,K22066,K17970,K17782,K14531,K18191,K01410,K17978,K14998,K17799,K17780,K18185,K15040,K17656,K17792,K18177,K18174,K25877,K12160,K17791,K08331,K17773,K15070,K14528,K22063,K17785,K14526,K23164,K18155,K18179,K17807,K22075,K17790,K17801,K17906,K18184,K22138,K02261,K08335,K08330,K17778,K08329,K14522,K17798,K17714,K18178,K17784,K17977,K02125,K18158,K19054,K02126,K18192,K18168,K17797,K17805,K17806,K17715,K17984,K17770,K17775,K18181,K17803,K17678,K09554,K17668,K18182,K02256,K17787,K08336,K11518,K17670,K02257,K17674,K17661,K08332,K17764,K17765,K17980,K17676,K18183,K18188,K17671,K22139,K11830,K17669,K17983
ko01052:Type I polyketide structures	0.6412554522668301	4.456481984116335	8.331559917307274e-06	0.004173726195005587	0.0005228053848110314	81	K20786,K20789,K16380,K16388,K16389,K16391,K19205,K24565,K15467,K14374,K16035,K24567,K16381,K19207,K16393,K16385,K15641,K15643,K15673,K15670,K16378,K20788,K16392,K16004,K16036,K16398,K14375,K16383,K24569,K16006,K25145,K20787
ko05130:Pathogenic Escherichia coli infection	0.5688536878430682	4.225256500626736	2.386687715638658e-05	0.011909825153288065	0.0013312413702784513	103	K23648,K23661,K12788,K12786,K23654,K04404,K23655,K23659,K16042,K02580,K23658,K23657,K05750,K23650,K12784,K04399,K23653,K12790,K16041,K05753,K23660,K12785,K04514
ko03022:Basal transcription factors	-0.7133946681955201	-3.9918348461220616	6.556402900015357e-05	0.03237844290725465	0.0032913142558077093	36	K23358,K03122,K03133,K03140,K03126,K02202,K14649,K03134,K03127,K03139,K03135,K14650,K03141,K03132,K03137,K03130,K14651,K10845,K03138,K03144,K03143,K10842
