Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko01008:Polyketide biosynthesis proteins	0.6436569706482691	7.311245639957307	2.646771690706373e-13	1.3286793886465056e-10	1.3286793887345993e-10	327	K12442,K16393,K05556,K25852,K14254,K24565,K15389,K25845,K15388,K25846,K13612,K20786,K14668,K19580,K25854,K14253,K25843,K14251,K21184,K15467,K16374,K14629,K25855,K19103,K16434,K23367,K25850,K25844,K15942,K04127,K16389,K14366,K16388,K05554,K20421,K21164,K04790,K05552,K14368,K04793,K21178,K25847,K04792,K15387,K12239,K14252,K15313,K18063,K15311,K15312,K16108,K16446,K16131,K15466,K24569,K14374,K12443,K23365,K16372,K14673,K16129,K00660,K16109,K16102,K19106,K25851,K21161,K16373,K15671,K25842,K21209,K21186,K12237,K19102,K15670,K16233,K15673,K16037,K16118,K20423,K20789,K04791,K14375,K16023,K21162,K19205,K16424,K24563,K20787,K25234,K16429,K15674,K21165,K16448,K15650,K15991,K25853,K25233,K15676,K15327,K16128,K16126,K05553,K05551,K21163,K16380,K15320,K24567,K15672,K13615,K12444,K21185,K12440,K16392,K24529,K16385,K15468,K16391,K15318,K16036,K16426,K16098,K16006,K15337,K14370,K14630,K21193,K14631,K16035,K20788,K16383,K16122,K15972,K15675,K00646,K20422,K14667,K16099,K15662,K20420,K15328,K15970,K16168,K16387,K05375,K15926,K25849,K25848,K02363,K14628,K14672,K16381,K14669,K16022,K15679,K16167,K19207,K21256,K24110,K15315
ko01052:Type I polyketide structures	0.6498943381188395	4.567342943415464	4.939455180208441e-06	0.0024765409244536405	0.0012398032502323186	81	K16393,K15466,K24569,K16391,K24565,K14374,K16036,K16006,K15991,K14370,K16372,K16386,K15641,K16035,K20788,K20786,K16383,K15671,K16373,K15467,K15670,K16374,K15673,K16387,K16380,K16037,K24567,K20789,K14375,K16389,K14366,K16023,K15672,K19205,K16388,K16398,K24563,K20787,K16381,K16022,K16384,K14368,K16392,K16385,K19207,K15642
ko01004:Lipid biosynthesis proteins	0.5423375456045266	4.373941769988082	1.220229401166506e-05	0.006106865796609994	0.0020418505312852866	138	K11628,K12442,K00508,K03921,K18473,K03822,K00507,K12434,K12428,K12429,K11533,K11608,K12443,K13776,K13699,K10224,K13510,K01896,K00142,K13523,K03922,K12431,K00667,K23618,K05553,K05551,K04712,K01074,K13517,K10255,K10203,K12439,K00665,K12433,K12445,K10805,K22769,K04791,K12437,K10226,K13615,K12423,K05554,K12444,K10256,K05552,K04790,K11609,K12440,K11610,K12430,K11611
ko03010:Ribosome	-0.4806288047023144	-4.17784775380068	2.9428052144009342e-05	0.01466451269310644	0.0036932205440731725	135	K02950,K02945,K02931,K02952,K02961,K02878,K02916,K02962,K02959,K02978,K02867,K02933,K02899,K02935,K02956,K02994,K02881,K02963,K02976,K02990,K07590,K02986,K02902,K02875,K02874,K02871,K02909,K02907,K02996,K02887,K02886,K02980,K02892,K02948,K02911,K02946,K02926,K02992,K02888,K02954,K02939,K02895,K02967,K02879,K02876,K02949,K02863,K02864,K02906,K02890,K02968,K02965,K02923,K02988,K02884,K02982,K02904
ko04113:Meiosis - yeast	-0.5061436102152113	-4.066834051644558	4.765615386204125e-05	0.02364004997580754	0.0047846778477489416	103	K12768,K12414,K12781,K02627,K02220,K12416,K12777,K12766,K06651,K12770,K12775,K12576,K03358,K03356,K12779,K03085,K12783,K12764,K12774,K03359
ko04111:Cell cycle - yeast	-0.4607707338105697	-3.8579820145547368	0.00011432705853264835	0.05577941008128784	0.00956536389723158	124	K12414,K06673,K02627,K02220,K12416,K12577,K06651,K09202,K02307,K06680,K12576,K06687,K03358,K03356,K06658,K18639,K12760,K23458,K03085,K03359
ko04030:G protein-coupled receptors	-0.4728409115792253	-3.786622198255063	0.00015270901366881695	0.07380064264641632	0.00986042550820009	106	K04598,K14071,K04603,K04249,K26201,K22985,K22988,K04153,K04163,K04624,K04284,K08375,K08468,K04224,K22872,K04148,K04309,K08443,K08396,K04205,K04306,K08378,K04641,K04305,K08428,K04302,K06226,K04131,K04231,K04267,K22987,K04614,K22814,K08446,K04157,K22738,K04594,K08474,K04263,K26203,K22919,K04256,K04286,K04240,K02376,K04611,K04599,K04292,K04136,K08462,K08469,K04293,K04134,K08450,K04144,K02375,K04610,K02354,K08425,K04623,K08399,K04601,K08470,K02432,K04233,K04592,K08472,K04255,K04189,K04615,K22790,K08376,K02842,K04161,K04602,K04209,K26200,K22984,K04277,K04620,K04288,K14072,K03916,K04165,K04194,K08421,K08439,K05052,K04314,K04280,K08402,K04211
ko00624:Polycyclic aromatic hydrocarbon degradation	0.6978812390344896	3.7596621357134334	0.0001701429810572197	0.08187253149656766	0.00986042550820009	34	K18253,K00480,K18255,K11944,K18257,K18251,K18275,K11947,K14582,K18076,K14599,K18254,K11949,K00448,K11943,K00449,K14579,K18252,K18069
ko00362:Benzoate degradation	0.5333439398092212	3.7206480411119176	0.00019871221554290663	0.09494851250279113	0.00986042550820009	94	K04110,K05550,K04117,K22553,K04118,K16173,K01692,K10217,K10621,K00446,K07104,K19067,K18364,K01617,K22270,K01857,K14333,K01782,K00481,K05783,K20943,K01032,K16245,K01031,K03464,K10622,K01825,K20942,K16242,K10221,K14727,K16244,K16249,K00448,K00449,K03381,K05784,K10219,K07823,K05549,K00217,K16246,K00252,K07536
ko00623:Toluene degradation	0.6986661953071048	3.7113027426178444	0.0002061953171581532	0.09834266188750178	0.00986042550820009	33	K20200,K03380,K07543,K15758,K16246,K15764,K15763,K05797,K07548,K15760,K16245,K15765,K16242,K16249,K20199,K15762,K03381,K00217,K16244,K00141
