Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
ko03021:Transcription machinery	-0.6315660211470542	-8.209536151601387	2.220446049250313e-16	1.1146639167235951e-13	1.1146639167236572e-13	324	K15561,K11368,K15134,K03137,K03134,K03135,K03005,K23358,K11771,K14721,K15565,K15132,K15206,K11761,K03140,K14400,K11759,K15563,K11764,K11360,K15222,K03017,K10842,K11770,K03026,K15207,K03123,K03130,K15564,K15128,K15130,K21752,K09191,K03139,K11363,K15197,K11758,K11772,K15140,K03024,K03131,K15146,K03008,K06666,K15156,K15148,K24073,K15150,K15560,K15153,K15158,K15193,K15201,K15562,K11773,K03009,K15152,K03020,K15544,K15155,K15136,K15205,K06665,K03144,K15165,K03003,K03127,K03122,K03000,K11767,K15160,K11762,K03007,K11313,K03012,K15219,K15151,K15202,K11362,K18998,K15559,K23002,K11766,K11756,K14650,K15154,K15145,K15218,K03598,K03143,K15147,K03126,K11649,K15127,K03014,K21751,K11364,K02202,K15174,K03023,K03132,K14651,K15178,K11365,K11359,K15221,K11776,K11361,K15163,K11760,K06100,K25818,K03133,K11648,K14845,K11769,K15175,K15732,K11315,K15217,K15204,K20827,K15199,K15198,K03141,K03001,K15191,K25304,K11763,K15220,K25815,K17498,K11768,K11775,K15177,K25817,K03138,K10845,K03025,K14649,K15138
ko01008:Polyketide biosynthesis proteins	0.6129730038382298	7.7575329324790445	8.659739592076221e-15	4.3471892752128336e-12	2.1735946376111315e-12	327	K16039,K14254,K15676,K15328,K16391,K15675,K16420,K16429,K16132,K14633,K04792,K15327,K19103,K15337,K12442,K16424,K16392,K05553,K21162,K12440,K25852,K14374,K16004,K24565,K21209,K16434,K12239,K15320,K21256,K04790,K21185,K05375,K16385,K10817,K12443,K15970,K25847,K21186,K16446,K25854,K23365,K15318,K24529,K16098,K12241,K15641,K14667,K16006,K16109,K24569,K15643,K16383,K18063,K16130,K16129,K25842,K25846,K15467,K16167,K25848,K04127,K15674,K25853,K20786,K15670,K14670,K15673,K15312,K15313,K21163,K16126,K00660,K20787,K16106,K05551,K00646,K05556,K23367,K20423,K25843,K15315,K20421,K19207,K15384,K12444,K25851,K20420,K04793,K24567,K16099,K21178,K16025,K14375,K16122,K15679,K16372,K16035,K05552,K14672,K25844,K16233,K20788,K16431,K14629,K25234,K15972,K15991,K16389,K25845,K16393,K14370,K15642,K15650,K21193,K14631,K14252,K20789,K16131,K15311,K16036,K14673,K21166,K25850,K15942,K20422
ko03029:Mitochondrial biogenesis	-0.5816481332069767	-7.562551221388706	3.952393967665557e-14	1.9841017717484658e-11	6.6136725725603656e-12	375	K17778,K22139,K18172,K17973,K08330,K17769,K18185,K11518,K14522,K11238,K17672,K17805,K08331,K18167,K17978,K18183,K17674,K02332,K17806,K19781,K17714,K22138,K17667,K07555,K17798,K17671,K08338,K19054,K05863,K18173,K11830,K17970,K18184,K17785,K18191,K17799,K17969,K18182,K17977,K17945,K17968,K17793,K23164,K22140,K17984,K17774,K17657,K17679,K17668,K18188,K17715,K17797,K22063,K17663,K18177,K14526,K17803,K17983,K18174,K02261,K17773,K17980,K17673,K18181,K02260,K17900,K18176,K17786,K19782,K14531,K17678,K17787,K17669,K17665,K17789,K22075,K18178,K17784,K17967,K17782,K17764,K17792,K22066,K17887,K02126,K17775,K17661,K17660,K17979,K17670,K14524,K17780,K08340,K08329,K17656,K15032,K17974,K02256,K17770,K18187,K18155,K14528,K18158,K08336,K17906,K17664,K08332,K17771,K17794,K17788,K17765,K08335,K22069,K17976,K15452,K18179,K17666,K22137,K18192,K17802,K15070,K09554,K15040,K17801,K17676,K14533,K18168,K17971,K17790,K17777,K17781,K22073
ko04011:MAPK signaling pathway - yeast	-0.8400604248849807	-7.2503592924119005	4.156675004196586e-13	2.0866508518894143e-10	5.087326115926772e-11	90	K11230,K04627,K11215,K09051,K06666,K19839,K08294,K06009,K11238,K02677,K19847,K11240,K19816,K11213,K06648,K19806,K11245,K19815,K11237,K11226,K06651,K19838,K11242,K19848,K04464,K11244,K19851,K11236,K06652,K11229,K11243,K12760,K23469,K19850,K09448,K11241,K06649,K19844,K11233,K01383,K17741,K11239,K04393,K19849,K19842,K02555,K19807,K04536,K19840,K03085,K19843,K09468,K07973,K03114,K09265,K11234,K19846,K19841,K11227,K19845,K17971,K11246,K19860,K02220,K15174,K19812
ko04111:Cell cycle - yeast	-0.734132577788789	-7.223488519407403	5.067057884389214e-13	2.543663057640519e-10	5.087326115926772e-11	124	K02544,K06673,K02216,K18639,K06681,K06666,K06656,K06654,K03357,K03358,K12575,K06653,K02181,K02365,K02830,K06648,K06651,K06683,K06682,K06662,K12416,K11272,K06661,K23458,K06670,K02608,K06647,K02179,K12760,K06652,K23469,K02646,K03361,K06680,K03868,K09202,K02219,K06649,K06657,K06687,K06672,K12576,K06668,K02555,K03352,K02627,K02604,K03085,K03360,K02605,K12411,K03356,K03351,K12577,K12414,K06663,K02607,K06684,K02309,K12578,K03114,K06686,K02537,K06665,K03350,K03359,K06646,K06667,K06658,K02307,K06671,K02220,K06659,K12413,K04354
ko04113:Meiosis - yeast	-0.740551319857141	-6.733693080457472	1.6540990799285282e-11	8.303577346835187e-09	1.383929563540202e-09	103	K02544,K12770,K09243,K12773,K12781,K12776,K12763,K03357,K03358,K12575,K12783,K09358,K02365,K02830,K06648,K12764,K06651,K06662,K12416,K09359,K06661,K12769,K02608,K12782,K12762,K09235,K12775,K11582,K12772,K06649,K12766,K12768,K12576,K12774,K03352,K02627,K12771,K02604,K03085,K02605,K03356,K12779,K09468,K03351,K12414,K06663,K12780,K02607,K02309,K03114,K02537,K03359,K03350,K12765,K06646,K06671,K06659,K02220,K12777
ko01004:Lipid biosynthesis proteins	0.5474742972596679	5.091212458884353	3.5578109680578507e-07	0.00017858619395499752	2.5514587228072016e-05	138	K11533,K12428,K12433,K10249,K13776,K03921,K13517,K11628,K12442,K01896,K12429,K12444,K01074,K05553,K18473,K11611,K13523,K13508,K10805,K12440,K12437,K11608,K11610,K04790,K00142,K15013,K10817,K12443,K23617,K00508,K12427,K22769,K05551,K00507,K18474,K13510,K11609,K12445,K13699,K10226,K05552,K03822,K12430,K10255,K12423,K00665,K12421,K12431
ko01052:Type I polyketide structures	0.6346952052565408	4.818072628905843	1.449516105145321e-06	0.0007273929335608843	9.095713559786889e-05	81	K16006,K24569,K16391,K15643,K16420,K16383,K19207,K15991,K15467,K16389,K16392,K20786,K15670,K24565,K15673,K16004,K14374,K16393,K14370,K24567,K16385,K10817,K20787,K16025,K14375,K16372,K16035,K20789,K20788,K16036,K15641
ko03019:Messenger RNA biogenesis	-0.42902846288870744	-4.766809113745636	1.8716648213512599e-06	0.0009391353557040406	0.0001043973044798147	371	K14304,K18732,K10683,K16466,K11368,K12622,K14543,K20103,K18713,K12580,K09893,K18759,K10840,K18658,K18714,K14017,K14400,K18720,K15543,K14306,K12592,K12595,K12882,K12615,K10881,K11097,K12597,K13088,K18718,K18725,K12609,K14309,K12584,K01098,K18717,K12620,K18721,K18724,K14310,K14301,K18736,K12881,K18776,K00987,K03173,K14396,K15026,K15544,K12601,K23801,K21806,K14303,K09291,K08873,K12625,K04354,K12596,K12627,K12608,K14315,K23719,K10767,K14308,K14311,K18712,K12626,K23799,K23039,K18726,K14312,K13201,K12880,K18715,K02202,K15541,K14399,K18722,K18750,K23960,K18723,K14651,K14328,K18730,K06100,K18731,K14307,K14962,K15542,K14313,K12602,K18738,K12594,K12600,K18719,K18737,K03258,K11098,K14284
ko04138:Autophagy - yeast	-0.5919182252098675	-4.552485121821489	5.301591130324468e-06	0.0026578674015857347	0.0002661398747422883	82	K08336,K17906,K09243,K08342,K05758,K21157,K08266,K17606,K08330,K17900,K05754,K21155,K08331,K21156,K16314,K08502,K06027,K08493,K08335,K21144,K04464,K21143,K08338,K17909,K21141,K21197,K08340,K21158,K08329,K17908,K21145,K18083,K09468,K05756,K01336,K09464,K17607,K01381
ko03022:Basal transcription factors	-0.7489170512259117	-4.311860326502255	1.6188669063055272e-05	0.008093844666594475	0.0007387919881503406	36	K03132,K03131,K14651,K03137,K03134,K03135,K23358,K03133,K03140,K14650,K03143,K03141,K10842,K03123,K03130,K03127,K03126,K03138,K02202,K03144,K10845,K03139,K03122,K14649
ko00623:Toluene degradation	0.7651504991359789	4.1370369732181	3.518194374185768e-05	0.01750659373879022	0.0014717779798677129	33	K03380,K15762,K15761,K00141,K16242,K07540,K03381,K20200,K15764,K15760,K05797,K16244,K16249,K15758,K07548,K20199,K15763,K15765,K15757,K16245
ko04010:MAPK signaling pathway	0.4744806407852882	4.030574463558263	5.564069798036364e-05	0.027545904799872914	0.0021199720334105065	138	K04353,K04437,K04432,K04412,K04392,K04855,K04416,K04850,K17534,K02580,K04344,K04427,K04411,K04463,K03099,K04419,K04424,K05093,K04430,K16510,K04433,K04404,K04445,K05866,K12326,K04467,K04431,K19662,K04461,K04444,K04429,K04443,K04860,K21278,K04460,K04425,K12362,K07830,K07860
ko04139:Mitophagy - yeast	-0.7187391200699806	-4.016285101233077	5.91227260313687e-05	0.02924434585176046	0.0021199720334105065	34	K09243,K17775,K08330,K08294,K02677,K02332,K17765,K11244,K04464,K11229,K19708,K19718,K18191,K11233,K17969,K17984,K17774,K17764,K11227,K19717
ko00624:Polycyclic aromatic hydrocarbon degradation	0.7085139607426183	3.8020399320287077	0.00014350958956099724	0.06951282303907994	0.004802787597308041	34	K18257,K11947,K18251,K14599,K18275,K00480,K18252,K18256,K18253,K11943,K18069,K00448,K14579,K18076,K11944,K18254,K14582
ko03420:Nucleotide excision repair	-0.5674488006535428	-3.7367944530060457	0.0001863811606443999	0.08932761067661327	0.005519864813099431	60	K03008,K10739,K03007,K03012,K03506,K10840,K03009,K02326,K03504,K03143,K03141,K03017,K10842,K10849,K10838,K03014,K03144,K02202,K10845,K10847
ko03032:DNA replication proteins	-0.4175794127072077	-3.7285837459861324	0.00019255891810043835	0.09214797787902503	0.005519864813099431	183	K11097,K02321,K10731,K11134,K09426,K11123,K10739,K11119,K11121,K10733,K03506,K11122,K10734,K10735,K02332,K02344,K23314,K11120,K02608,K11117,K11132,K02326,K25186,K03504,K11116,K11115,K10729,K10736,K10732,K02605,K11118,K02607,K03507,K02309,K11137,K11098,K22485,K11128
ko01059:Biosynthesis of enediyne antibiotics	0.6309129224129039	3.7216522920718282	0.00019792343951352542	0.09459000120404536	0.005519864813099431	46	K21214,K21256,K21193,K21163,K20423,K20420,K20421,K21185,K21178,K16431,K15315,K21209,K21166,K21186,K20422,K15320
ko05161:Hepatitis B	0.5395694851999151	3.6783773802873334	0.00023472248882083768	0.11116576245528768	0.0062016152309505536	76	K04432,K04498,K04447,K04456,K04416,K02580,K06255,K00922,K11224,K04427,K11220,K03099,K04430,K09389,K04433,K04399,K10610,K04404,K04431,K04467,K19662,K03174
