DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_completeness

#数据集颜色，柱子的颜色
COLOR	#3d85c6

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE	2000	10000	20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated	 format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR))
#DATASET_SCALE	2000-2k line-#0000ff-5-1-1	10000-line at 10k-#ff0000-1-0-2	20000-3rd line-#00ff00-5-1-1
# 形状类型
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark
# 图例
#LEGEND_TITLE	genome
#LEGEND_POSITION_X	100
#LEGEND_POSITION_Y	100
#LEGEND_HORIZONTAL	0
#LEGEND_SHAPES	1	2	3
#LEGEND_COLORS	#ff0000	#00ff00	#0000ff
#LEGEND_LABELS	value1	value2	value3
#LEGEND_SHAPE_SCALES	1	1	0.5

#图形的宽度，柱状图柱子的最大长度
WIDTH	100
#与内圈的距离
MARGIN	30
#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL	0
#是否添加每个柱子和分支的虚线
#DASHED_LINES	1
#柱子的粗细
HEIGHT_FACTOR	2.5
#是否展示值
#SHOW_VALUE	0
#是否左右调整柱子
#BAR_SHIFT	0
#柱子值0值，如果设置为1，那么以1为基准点，真实值减去1为展示的数值，改这个注意改与内圈的距离
#BAR_ZERO	1.72
#边框宽度
#BORDER_WIDTH	0
#边框的颜色
#BORDER_COLOR	#0000ff

DATA
#标签，数值
PN16RA_k141_606957	5245
PN2RI_k141_2984282	5035
PN5LA_k141_425351_1	34935
PN5RB_k141_109154	5233
PN5RD_k141_87299	5161
PN5RG_k141_852828	45015
PN9RJ_k141_127978	31942
PN5CG_k141_98159	30066
H124_NODE_2_1	37630
H198_NODE_14	33159
PN1JE_k141_421403_1_fragment_2	27476
H124_NODE_4_1	40006
H124_NODE_1_1_fragment_1	13661
J381_NODE_1_1	46240
PN10RA_k141_1175369_2	20795
PN10RD_k141_1767848	18948
PN10RK_k141_709690_1	24680
PN10RM_k141_1268352_1	34636
PN10RQ_k141_585589	20137
PN10RR_k141_466004_1	27929
PN11RF_k141_1218386_fragment_1	24720
PN11RG_k141_2473379	38647
PN11RL_k141_1222646	62352
PN11RN_k141_114130	32259
PN12RG_k141_281039_1	18540
PN13RH_k141_262430	51913
PN13RH_k141_807088	19074
PN13RI_k141_1151547_1	28182
PN13RI_k141_142168	31001
PN13RI_k141_813529	7361
PN13RJ_k141_1681870	5845
PN13RP_k141_1450654	18820
PN13RT_k141_1329956	43061
PN14RK_k141_1630547	6047
PN14RK_k141_1678624	22019
PN14RK_k141_446307_1	35138
PN15RF_k141_830971	27745
PN15RH_k141_1312876	26323
PN15RH_k141_15107	62616
PN15RH_k141_332129	11152
PN15RN_k141_869994	23782
PN16RA_k141_1183524	22716
PN16RB_k141_2018603	20171
PN16RE_k141_1099280	30752
PN16RE_k141_1434448	23404
PN16RE_k141_435577	21206
PN16RO_k141_2082298	19183
PN1CA_k141_1020662_1	23824
PN1CG_k141_971890	15960
PN1CK_k141_927018	19153
PN1LG_k141_849870	22551
PN1RA_k141_3315754_1	29108
PN1RC_k141_1646528	18942
PN1RC_k141_682895	8678
PN1RH_k141_247204	34434
PN1RI_k141_572889	47922
PN1RK_k141_894	78668
PN1RL_k141_2208871	44378
PN1RL_k141_53501	16234
PN2CA_k141_689972	20398
PN2CD_k141_1948188	24821
PN2CD_k141_830430	22286
PN3CG_k141_281846	23040
PN3LA_k141_1621849	12842
PN3LA_k141_1658160	12188
PN3LC_k141_1991233	7551
PN3RB_k141_1048515	5038
PN3RD_k141_1348641_1	25017
PN3RF_k141_3188183	30739
PN4RA_k141_770334	15977
PN5CE_k141_120016_1	26301
PN5CG_k141_548009_1	41783
PN5JD_k141_554931	33449
PN5LF_k141_707076_1	46914
PN5RB_k141_306980_1	6279
PN5RC_k141_65240_1	17784
PN5RH_k141_1122401	38184
PN6RC_k141_835029	11993
PN6RF_k141_223832_1	33437
PN6RF_k141_588874_1	36452
PN6RH_k141_1315682_1	35563
PN7RF_k141_1119113	19096
PN7RF_k141_1955909	130241
PN7RI_k141_381559	37528
PN7RJ_k141_652740	41784
PN7RL_k141_1356879	31623
PN8RC_k141_600673	14590
PN8RF_k141_696839	7678
PN8RP_k141_1085851	29368
PN8RP_k141_35808	10487
PN13RG_k141_1861037	36266
PN13RN_k141_1334619	59914
PN1CJ_k141_905489	33539
PN7RL_k141_480681	33684
PN1RG_k141_932008	20172
PN6RS_k141_1117211	29548
PN1CI_k141_264470	32589
PN12RH_k141_1014986	49557
PN1RE_k141_259500	31774
PN13RJ_k141_2254357	12884
PN16RM_k141_1222187	30744
PN11RI_k141_146492	20781
PN7RE_k141_1451073	14528
PN5CC_k141_47342	5203
PN7RG_k141_941046	15473
PN16RV_k141_245083	22389
PN3RD_k141_425624	21710
PN5LA_k141_366307_1	38177
PN8RH_k141_287644	21979
PN1RL_k141_659169	34689
PN2LG_k141_1041414	20674
PN5RG_k141_1004726_1	32671
PN8RF_k141_1307399	119716
PN11RA_k141_1369902_1	57544
PN16RA_k141_1400200	20442
PN10RH_k141_1049070	41897
PN1RH_k141_2414686	105137
PN5RE_k141_1064440_1	65167
PN16RB_k141_665806	137567
PN1RD_k141_2527221	111150
