name	domain	phylum	class	order	family	genus	species	genomospecies
PN11RN.bin.178	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__Unknown	PN11RN.bin.178
PN1RL.vae.14061	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__UMGS973	s__Unknown	PN1RL.vae.14061
PN10RP.bin.55	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pararoseburia	s__Unknown	PN10RP.bin.55
PN5LD.vae.7877	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__Unknown	PN5LD.vae.7877
PN10RQ.vae.11348	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus_A	s__Unknown	PN10RQ.vae.11348
J252	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Isoptericola	s__Unknown	J252
PN13RA.vae.11960	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Unknown	PN13RA.vae.11960
PN3CC.vae.26171	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__Unknown	PN3CC.vae.26171
PN6RB.bin.8	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Tomitella	s__Unknown	PN6RB.bin.8
CH18	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metasolibacillus	s__Unknown	CH18
J1068	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Unknown	J1068
PN11RA.bin.82	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimenecus	s__Unknown	PN11RA.bin.82
PN11RG.vae.32922	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Unknown	PN11RG.vae.32922
PN1RC.vae.93693	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__Unknown	PN1RC.vae.93693
PN6RB.vae.7066	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Unknown	PN6RB.vae.7066
PN6RF.vae.34930	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__Unknown	PN6RF.vae.34930
J1045	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Unknown	J1045
J941	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Unknown	J941
K331	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Unknown	K331
PN10RE.vae.22287	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Unknown	PN10RE.vae.22287
PN15RM.bin.126	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Cellulosilyticum	s__Unknown	PN15RM.bin.126
PN16RK.bin.136	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__Unknown	PN16RK.bin.136
PN1RL.bin.29	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__RF16	s__Unknown	PN1RL.bin.29
PN2CB.bin.66	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAG-267	s__Unknown	PN2CB.bin.66
PN3CA.vae.26312	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__Unknown	PN3CA.vae.26312
PN3RA.vae.80477	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Unknown	s__Unknown	PN3RA.vae.80477
PN5IA.bin.56	d__Archaea	p__Thermoproteota	c__JANJXX01	o__Unknown	f__Unknown	g__Unknown	s__Unknown	PN5IA.bin.56
PN5IE.vae.204043	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-245	s__Unknown	PN5IE.vae.204043
PN5RD.bin.239	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__Unknown	PN5RD.bin.239
PN5RH.vae.14211	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__Unknown	PN5RH.vae.14211
PN6RO.vae.99779	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Unknown	PN6RO.vae.99779
PN7RQ.vae.16188	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Unknown	PN7RQ.vae.16188
PN10RO.vae.37307	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Unknown	PN10RO.vae.37307
J312	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Unknown	J312
K338	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Unknown	K338
PN11RO.bin.30	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Oleiagrimonas	s__Unknown	PN11RO.bin.30
PN10RA.vae.6800	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Unknown	PN10RA.vae.6800
PN11RE.bin.56	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Unknown	PN11RE.bin.56
PN11RF.bin.47	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Unknown	PN11RF.bin.47
PN5LB.vae.23756	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__Unknown	PN5LB.vae.23756
R78	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Unknown	R78
PN3CG.vae.27859	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__KM106-2	s__Unknown	PN3CG.vae.27859
PN11RN.bin.103	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Unknown	PN11RN.bin.103
PN8RC.bin.156	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Unknown	PN8RC.bin.156
PN15RF.bin.97	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Unknown	PN15RF.bin.97
PN3GH.bin.7	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__AWVT01	s__Unknown	PN3GH.bin.7
PN5CA.vae.31839	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__Unknown	PN5CA.vae.31839
PN9RC.bin.136	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Unknown	PN9RC.bin.136
PN10RK.vae.116728	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__RGIG3102	s__Unknown	PN10RK.vae.116728
K329	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Unknown	K329
PN13RG.vae.43545	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Unknown	PN13RG.vae.43545
PN6RI.bin.195	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Dermabacteraceae	g__Brachybacterium	s__Unknown	PN6RI.bin.195
PN7RB.bin.154	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Nanosyncoccaceae	g__Nanosyncoccus	s__Unknown	PN7RB.bin.154
PN11RC.vae.15398	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HUN007	s__Unknown	PN11RC.vae.15398
PN3GB.bin.76	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__Unknown	PN3GB.bin.76
PN4RE.bin.117	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Unknown	PN4RE.bin.117
J1040	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Sporosarcina	s__Unknown	J1040
PN10RF.vae.16545	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Unknown	PN10RF.vae.16545
PN7RS.bin.135	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Unknown	s__Unknown	PN7RS.bin.135
PN12RC.bin.47	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Trueperella	s__Unknown	PN12RC.bin.47
PN1JG.bin.27	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Unknown	PN1JG.bin.27
PN3CG.vae.9795	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Unknown	PN3CG.vae.9795
PN5IA.bin.19	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Basfia_A	s__Unknown	PN5IA.bin.19
PN1CL.vae.22638	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__MD308	s__Unknown	PN1CL.vae.22638
PN3CD.vae.175426	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Unknown	PN3CD.vae.175426
PN10RL.bin.130	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__Unknown	PN10RL.bin.130
PN5RH.vae.19686	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__Unknown	PN5RH.vae.19686
PN6RI.vae.38939	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-353	s__Unknown	PN6RI.vae.38939
PN10RH.vae.8546	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Unknown	PN10RH.vae.8546
PN6RK.bin.21	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Unknown	PN6RK.bin.21
PN3CD.vae.19133	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Unknown	PN3CD.vae.19133
PN6RP.bin.45	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Flexivirga	s__Unknown	PN6RP.bin.45
PN9RE.vae.56657	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__Unknown	s__Unknown	PN9RE.vae.56657
PN10RF.bin.125	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Unknown	PN10RF.bin.125
PN1CA.vae.30833	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__RF16	s__Unknown	PN1CA.vae.30833
PN5IE.bin.107	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__Unknown	PN5IE.bin.107
PN6RQ.bin.90	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_B	s__Unknown	PN6RQ.bin.90
PN6RT.bin.182	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__Unknown	PN6RT.bin.182
PN1RD.bin.78	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__Unknown	PN1RD.bin.78
PN4RE.vae.32771	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__RGIG8779	s__Unknown	PN4RE.vae.32771
