sample	seq_strategy	input_reads	reads_max_len	contigs	total_len	min_len	max_len	avg_len	N50_len
PN10RA	pe	140889442	150	1662398	1326229080	200	527479	797	984
PN10RB	pe	143732794	150	1601342	1294937086	200	512949	808	1002
PN10RC	pe	141323024	150	1726833	1326717357	200	432157	768	915
PN10RD	pe	142553370	150	1834454	1421670155	200	361768	774	927
PN10RE	pe	141737592	150	1935354	1449353590	200	355924	748	900
PN10RF	pe	149305162	150	1675759	1365625272	200	543475	814	1045
PN10RG	pe	164708702	150	1951254	1460798157	200	347183	748	869
PN10RH	pe	143509140	150	1963316	1475259519	200	264049	751	953
PN10RI	pe	141949650	150	1877636	1459114039	200	314058	777	944
PN10RJ	pe	140885076	150	1671890	1341939989	200	481558	802	996
PN10RK	pe	142375540	150	2021432	1486385893	200	301811	735	859
PN10RL	pe	141847450	150	1657032	1349265240	200	375515	814	1055
PN10RM	pe	148305970	150	1806666	1438297321	200	449864	796	970
PN10RN	pe	135306040	150	1724332	1365285329	200	651610	791	969
PN10RO	pe	146993564	150	1873245	1482748602	200	432368	791	1003
PN10RP	pe	133313410	150	1374636	1126847039	200	378573	819	1045
PN10RQ	pe	138822174	150	1595646	1258647792	200	363135	788	945
PN10RR	pe	134844478	150	1714300	1290503740	200	319796	752	923
PN10RS	pe	140097556	150	1775011	1373954635	200	446312	774	936
PN10RT	pe	145932490	150	1695930	1322248466	200	342749	779	944
PN11RA	pe	183646054	150	2588656	1900392765	200	407129	734	862
PN11RB	pe	135997516	150	1882410	1379466341	200	328915	732	856
PN11RC	pe	159430820	150	2452109	1710334908	200	466879	697	788
PN11RD	pe	137836234	150	2278097	1649382377	200	366393	724	838
PN11RE	pe	166439812	150	2398261	1780290567	200	411188	742	868
PN11RF	pe	138998950	150	2342159	1731141912	200	352695	739	863
PN11RG	pe	163908264	150	2446025	1763161573	200	381639	720	845
PN11RH	pe	164228492	150	2212991	1631988646	200	425531	737	863
PN11RI	pe	155921644	150	2056832	1602551199	200	344865	779	926
PN11RJ	pe	165006396	150	2787566	1989248856	200	236618	713	835
PN11RK	pe	150921176	150	2444431	1770056340	200	332817	724	847
PN11RL	pe	141474396	150	2341383	1699412442	200	247921	725	850
PN11RM	pe	180318266	150	2558192	1865714278	200	395962	729	854
PN11RN	pe	170636810	150	2284222	1719656161	200	436782	752	866
PN11RO	pe	139350946	150	2309560	1680878356	200	496461	727	840
PN12RA	pe	149821892	150	1482764	1165797269	200	409944	786	972
PN12RB	pe	135995644	150	1391398	1071902363	200	457935	770	919
PN12RC	pe	147141182	150	1279857	1027195714	200	500596	802	974
PN12RD	pe	138070790	150	1566319	1216459938	200	252699	776	955
PN12RE	pe	141865036	150	1196527	961755473	200	256145	803	984
PN12RF	pe	142177114	150	1161541	946005097	200	222024	814	1003
PN12RG	pe	141767658	150	1278553	1038260896	200	364872	812	1009
PN12RH	pe	136565732	150	1262537	1027328629	200	271392	813	1014
PN12RI	pe	156406968	150	1559130	1211192257	200	341734	776	941
PN12RJ	pe	166155066	150	1676050	1294512298	200	594565	772	945
PN13RA	pe	147535252	150	2004518	1536106005	200	255445	766	925
PN13RB	pe	137908114	150	1978759	1484116263	200	352258	750	907
PN13RC	pe	149499756	150	1712225	1367025488	200	266834	798	991
PN13RD	pe	138309130	150	1935311	1481231839	200	213292	765	932
PN13RE	pe	136084588	150	1457508	1215520349	200	573934	833	1037
PN13RF	pe	138752222	150	2038233	1468628987	200	495541	720	850
PN13RG	pe	137449352	150	1805460	1399227179	200	495780	774	960
PN13RH	pe	139027416	150	1962662	1448108315	200	496019	737	878
PN13RI	pe	160852110	150	1650429	1376780901	200	654030	834	1042
PN13RJ	pe	138471548	150	2000302	1526668519	200	342096	763	917
PN13RK	pe	141092072	150	2133393	1598768492	200	527950	749	909
PN13RL	pe	144068566	150	2035664	1520115806	200	346084	746	898
PN13RM	pe	162586388	150	1743283	1346532946	200	177092	772	908
PN13RN	pe	159745346	150	1863468	1508511447	200	356010	809	988
PN13RO	pe	137511108	150	1610294	1354524889	200	437205	841	1070
PN13RP	pe	148642738	150	1836163	1506031173	200	510530	820	1015
PN13RQ	pe	147804954	150	2039392	1609854686	200	343129	789	949
PN13RR	pe	144788466	150	1710972	1449694252	200	440116	847	1063
PN13RS	pe	166056690	150	2043069	1653153610	200	284956	809	988
PN13RT	pe	135966078	150	1283248	1034670702	200	322625	806	1021
PN13RU	pe	175943496	150	2181432	1587621695	200	528134	727	867
PN14RA	pe	136531480	150	1369635	1090861917	200	763101	796	1006
PN14RB	pe	136956384	150	1420348	1195742760	200	275119	841	1102
PN14RC	pe	143057782	150	1334361	1163499610	200	700425	871	1217
PN14RD	pe	137802840	150	1733920	1348168778	200	291978	777	940
PN14RE	pe	138060070	150	1176754	997405335	200	291108	847	1057
PN14RF	pe	137314926	150	1382733	1172893857	200	357126	848	1118
PN14RG	pe	183231002	150	1760027	1404361512	200	763241	797	1031
PN14RH	pe	160957524	150	1849112	1475159790	200	440795	797	1000
PN14RI	pe	194042492	150	2067329	1654228108	200	261289	800	1006
PN14RJ	pe	138974556	150	1336980	1171346435	200	579161	876	1229
PN14RK	pe	145982204	150	1587935	1285972977	200	382500	809	1020
PN14RL	pe	142935968	150	1814262	1381767768	200	440859	761	914
PN14RM	pe	137477510	150	1174275	995218186	200	1025432	847	1067
PN14RN	pe	141980488	150	1391731	1202646629	200	701257	864	1189
PN14RO	pe	139786732	150	1585076	1246648995	200	250521	786	942
PN14RP	pe	133206614	150	1358105	1133100717	200	408539	834	1050
