sample	r1_reads	r1_bases	r2_reads	r2_bases	reads	bases
PN10RA	70463350	10565335928	70463350	10565369152	140926700	21130705080
PN10RB	71876812	10778030158	71876812	10778125291	143753624	21556155449
PN10RC	70931250	10636982649	70931250	10636999043	141862500	21273981692
PN10RD	71280518	10688790723	71280518	10688793770	142561036	21377584493
PN10RE	70871441	10627894172	70871441	10627901155	141742882	21255795327
PN10RF	74670009	11196174070	74670009	11196195387	149340018	22392369457
PN10RG	82389463	12353729038	82389463	12353784798	164778926	24707513836
PN10RH	71760404	10760001817	71760404	10760043439	143520808	21520045256
PN10RI	71197711	10674192378	71197711	10674223537	142395422	21348415915
PN10RJ	70466748	10561969712	70466748	10562359634	140933496	21124329346
PN10RK	71190853	10673101060	71190853	10673112181	142381706	21346213241
PN10RL	70927830	10635268430	70927830	10635310954	141855660	21270579384
PN10RM	74166021	11119715508	74166021	11119728721	148332042	22239444229
PN10RN	67654618	10144308939	67654618	10144422511	135309236	20288731450
PN10RO	73766556	11060786303	73766556	11060855606	147533112	22121641909
PN10RP	66663046	9996427932	66663046	9996489906	133326092	19992917838
PN10RQ	69415740	10407861819	69415740	10407895541	138831480	20815757360
PN10RR	67427548	10111055933	67427548	10111073606	134855096	20222129539
PN10RS	70055158	10504550818	70055158	10504567762	140110316	21009118580
PN10RT	72967510	10941020368	72967510	10941042910	145935020	21882063278
PN11RA	91825534	13767865927	91825534	13767911715	183651068	27535777642
PN11RB	68001790	10193288594	68001790	10193316301	136003580	20386604895
PN11RC	79770242	11936413038	79770242	11937521777	159540484	23873934815
PN11RD	68931592	10335499822	68931592	10335542016	137863184	20671041838
PN11RE	83298548	12490674320	83298548	12490809484	166597096	24981483804
PN11RF	69503218	10421431813	69503218	10421500425	139006436	20842932238
PN11RG	81957894	12288310765	81957894	12288360400	163915788	24576671165
PN11RH	82116456	12313459058	82116456	12313523290	164232912	24626982348
PN11RI	77963924	11689778769	77963924	11689833968	155927848	23379612737
PN11RJ	82506069	12371776754	82506069	12371835827	165012138	24743612581
PN11RK	75470199	11317292728	75470199	11317355342	150940398	22634648070
PN11RL	70739199	10606707463	70739199	10606774899	141478398	21213482362
PN11RM	90161022	13516765601	90161022	13516827329	180322044	27033592930
PN11RN	85321814	12791687463	85321814	12791884908	170643628	25583572371
PN11RO	69693219	10450589248	69693219	10450684219	139386438	20901273467
PN12RA	74944755	11216854111	74944755	11219307463	149889510	22436161574
PN12RB	68000876	10195140978	68000876	10195203924	136001752	20390344902
PN12RC	73577989	11032110078	73577989	11032196948	147155978	22064307026
PN12RD	69038715	10349884891	69038715	10349949828	138077430	20699834719
PN12RE	70935289	10635518646	70935289	10635581957	141870578	21271100603
PN12RF	71092542	10660529890	71092542	10660692133	142185084	21321222023
PN12RG	70888615	10629584942	70888615	10629621269	141777230	21259206211
PN12RH	68294868	10239033039	68294868	10239068618	136589736	20478101657
PN12RI	78270574	11732199094	78270574	11732236537	156541148	23464435631
PN12RJ	83082643	12454858114	83082643	12454948429	166165286	24909806543
PN13RA	73769950	11058952943	73769950	11059004837	147539900	22117957780
PN13RB	68956082	10338360277	68956082	10338399926	137912164	20676760203
PN13RC	74754130	11208211152	74754130	11208260937	149508260	22416472089
PN13RD	69158266	10366551994	69158266	10366586958	138316532	20733138952
PN13RE	68084920	10204352129	68084920	10204381861	136169840	20408733990
PN13RF	69379428	10398890802	69379428	10399109024	138758856	20797999826
PN13RG	68732731	10305913227	68732731	10305928518	137465462	20611841745
PN13RH	69515460	10423588588	69515460	10423604966	139030920	20847193554
PN13RI	80438647	12059245237	80438647	12059281316	160877294	24118526553
PN13RJ	69245102	10382387122	69245102	10382397150	138490204	20764784272
PN13RK	70554065	10576169877	70554065	10576194057	141108130	21152363934
PN13RL	72126438	10815650426	72126438	10815678406	144252876	21631328832
PN13RM	81304741	12190326997	81304741	12190373222	162609482	24380700219
PN13RN	79933468	11983319332	79933468	11983364356	159866936	23966683688
PN13RO	71352884	10690464277	71352884	10691096895	142705768	21381561172
PN13RP	74333386	11142221974	74333386	11142262790	148666772	22284484764
PN13RQ	73919157	11083240236	73919157	11083256413	147838314	22166496649
PN13RR	72398388	10854396250	72398388	10854422047	144796776	21708818297
PN13RS	83054402	12447333187	83054402	12447393732	166108804	24894726919
PN13RT	67994579	10164891465	67994579	10169258066	135989158	20334149531
PN13RU	87973718	13188830369	87973718	13188839266	175947436	26377669635
PN14RA	68269817	10235311503	68269817	10235344124	136539634	20470655627
PN14RB	68493572	10268065207	68493572	10268078289	136987144	20536143496
PN14RC	71549668	10726427509	71549668	10726426492	143099336	21452854001
PN14RD	68914157	10332297981	68914157	10332311106	137828314	20664609087
PN14RE	69040789	10351366006	69040789	10351367119	138081578	20702733125
PN14RF	68668881	10293325420	68668881	10293401546	137337762	20586726966
PN14RG	91631430	13735819270	91631430	13735846891	183262860	27471666161
PN14RH	80580028	12078865473	80580028	12078876524	161160056	24157741997
PN14RI	97036072	14547612709	97036072	14547635398	194072144	29095248107
PN14RJ	70428843	10557085006	70428843	10557093909	140857686	21114178915
PN14RK	73119070	10961432211	73119070	10961421223	146238140	21922853434
PN14RL	71502974	10717674721	71502974	10717678973	143005948	21435353694
PN14RM	68750543	10305207932	68750543	10305205464	137501086	20610413396
PN14RN	71014680	10646893032	71014680	10646893090	142029360	21293786122
PN14RO	69914738	10480458916	69914738	10480497915	139829476	20960956831
PN14RP	66620952	9987095326	66620952	9987110642	133241904	19974205968
PN14RQ	73694922	11041761458	73694922	11042247613	147389844	22084009071
PN14RR	68723274	10299210415	68723274	10299220776	137446548	20598431191
PN14RS	69321530	10390547796	69321530	10390574714	138643060	20781122510
PN14RT	69617581	10437394450	69617581	10437408628	139235162	20874803078
PN15RA	68878792	10323127431	68878792	10323125596	137757584	20646253027
PN15RB	69340133	10395649285	69340133	10395657894	138680266	20791307179
PN15RC	62889411	9427289697	62889411	9427327523	125778822	18854617220
PN15RD	70057406	10502167352	70057406	10502154346	140114812	21004321698
PN15RE	69303382	10388688242	69303382	10388688623	138606764	20777376865
PN15RF	68114283	10209351953	68114283	10209343040	136228566	20418694993
PN15RG	69168617	10370880550	69168617	10370885654	138337234	20741766204
PN15RH	71197739	10674051929	71197739	10674073618	142395478	21348125547
PN15RI	68507863	10271318457	68507863	10271319651	137015726	20542638108
PN15RJ	69377483	10399028465	69377483	10399032515	138754966	20798060980
PN15RK	69182801	10370447290	69182801	10370467735	138365602	20740915025
PN15RL	69303069	10388763559	69303069	10388782206	138606138	20777545765
PN15RM	68157505	10217537079	68157505	10217546380	136315010	20435083459
PN15RN	69164282	10370209640	69164282	10370226028	138328564	20740435668
PN15RO	68781227	10311094192	68781227	10311173722	137562454	20622267914
PN15RP	69341009	10395374102	69341009	10395373350	138682018	20790747452
PN16RA	81646263	12239459437	81646263	12239478720	163292526	24478938157
PN16RB	70124943	10512883452	70124943	10512898854	140249886	21025782306
PN16RC	80177893	12021807362	80177893	12021836580	160355786	24043643942
PN16RD	73331264	10992249236	73331264	10992270892	146662528	21984520128
PN16RE	68733463	10300016093	68733463	10300023913	137466926	20600040006
PN16RF	79228523	11876334206	79228523	11876359849	158457046	23752694055
PN16RG	69282475	10381992554	69282475	10382022276	138564950	20764014830
PN16RH	78619290	11782988171	78619290	11783025457	157238580	23566013628
PN16RI	70705380	10596978267	70705380	10596999010	141410760	21193977277
PN16RJ	79925859	11980490910	79925859	11980526324	159851718	23961017234
PN16RK	68299002	10236378834	68299002	10236390482	136598004	20472769316
PN16RL	66459265	9957005446	66459265	9957010872	132918530	19914016318
PN16RM	66218256	9924474393	66218256	9924529712	132436512	19849004105
PN16RN	69102901	10354921952	69102901	10354932749	138205802	20709854701
PN16RO	69385956	10401557268	69385956	10401660478	138771912	20803217746
PN16RP	70499624	10567664574	70499624	10567783855	140999248	21135448429
PN16RQ	68768759	10306258269	68768759	10306276104	137537518	20612534373
PN16RR	66642297	9988401589	66642297	9988438976	133284594	19976840565
PN16RS	76194112	11410911206	76194112	11411113714	152388224	22822024920
PN16RT	66380561	9949857086	66380561	9949873013	132761122	19899730099
PN16RU	76070148	11403129067	76070148	11403140119	152140296	22806269186
PN16RV	69756718	10453064822	69756718	10453074351	139513436	20906139173
PN1CA	76690880	11492665997	76690880	11492891091	153381760	22985557088
PN1CB	72902998	10926690646	72902998	10926716165	145805996	21853406811
PN1CC	73092574	10948634595	73092574	10948659125	146185148	21897293720
PN1CD	71304071	10687295991	71304071	10687340973	142608142	21374636964
PN1CE	71553635	10721521806	71553635	10721597191	143107270	21443118997
PN1CF	69425080	10407836100	69425080	10407844074	138850160	20815680174
PN1CG	67555928	10122361144	67555928	10122424876	135111856	20244786020
PN1CH	72611854	10884222873	72611854	10884261345	145223708	21768484218
PN1CI	76007643	11394485291	76007643	11394526815	152015286	22789012106
PN1CJ	81977554	12288719061	81977554	12288739995	163955108	24577459056
PN1CK	68973595	10337290261	68973595	10337282569	137947190	20674572830
PN1CL	70931730	10631639947	70931730	10631688443	141863460	21263328390
PN1DA	38219906	5714827628	38219906	5714981359	76439812	11429808987
PN1DB	35937312	5353366577	35937312	5353564215	71874624	10706930792
PN1DC	42677470	6379365091	42677470	6379512720	85354940	12758877811
PN1DD	34583215	5105998079	34583215	5106071814	69166430	10212069893
PN1DE	35216063	5233335843	35216063	5233410873	70432126	10466746716
PN1DF	36163934	5402304670	36163934	5402375290	72327868	10804679960
PN1DG	41799241	6246160021	41799241	6246150607	83598482	12492310628
PN1DH	33556366	4917524524	33556366	4917408790	67112732	9834933314
PN1DI	34574790	5140780737	34574790	5140816695	69149580	10281597432
PN1DJ	37128475	5564375340	37128475	5564412469	74256950	11128787809
PN1DK	30346134	4525776084	30346134	4525859091	60692268	9051635175
PN1DL	43693316	6545407733	43693316	6545491414	87386632	13090899147
PN1GA	45679236	6838665791	45679236	6838894097	91358472	13677559888
PN1GB	35791243	5350162324	35791243	5350251309	71582486	10700413633
PN1GC	42605867	6380557818	42605867	6380644513	85211734	12761202331
PN1GD	36237517	5415285871	36237517	5415373080	72475034	10830658951
PN1GE	43907909	6572950875	43907909	6573022009	87815818	13145972884
PN1GF	35763494	5355831704	35763494	5356099793	71526988	10711931497
PN1GG	36054881	5346188299	36054881	5346220700	72109762	10692408999
PN1GH	35588006	5334986897	35588006	5335117585	71176012	10670104482
PN1GI	35587576	5326057996	35587576	5326175657	71175152	10652233653
PN1GJ	41130763	6162344597	41130763	6162403779	82261526	12324748376
PN1GK	35682689	5344205639	35682689	5344274285	71365378	10688479924
PN1GL	42853032	6408186924	42853032	6408312438	85706064	12816499362
PN1IA	37748268	5647453003	37748268	5647828158	75496536	11295281161
PN1IB	40467859	6047373397	40467859	6047992183	80935718	12095365580
PN1IC	34587906	5138379295	34587906	5138333595	69175812	10276712890
PN1ID	34608557	5143921161	34608557	5143957080	69217114	10287878241
PN1IE	35019344	5224409245	35019344	5224444500	70038688	10448853745
PN1IF	32200919	4804131538	32200919	4804194791	64401838	9608326329
PN1IG	35936985	5307758664	35936985	5307815810	71873970	10615574474
PN1IH	34223359	5113345179	34223359	5113387134	68446718	10226732313
PN1II	35352790	5276949360	35352790	5277010118	70705580	10553959478
PN1IJ	35921645	5356034457	35921645	5356071338	71843290	10712105795
PN1IK	39063183	5804117538	39063183	5804186567	78126366	11608304105
PN1IL	43196168	6430806834	43196168	6430973557	86392336	12861780391
PN1JB	43947158	6246369139	43947158	6246436450	87894316	12492805589
PN1JC	36057796	5381174034	36057796	5381177128	72115592	10762351162
PN1JD	35654499	5330909472	35654499	5330946702	71308998	10661856174
PN1JE	47545287	7112325284	47545287	7112910451	95090574	14225235735
PN1JF	33362259	4998312820	33362259	4998315575	66724518	9996628395
PN1JG	33956188	5087161840	33956188	5087362066	67912376	10174523906
PN1JH	35320992	5296075943	35320992	5296088956	70641984	10592164899
PN1JI	35820479	5336514633	35820479	5336601868	71640958	10673116501
PN1JJ	35864345	5373654985	35864345	5373949082	71728690	10747604067
PN1JK	35398889	5300582467	35398889	5300679022	70797778	10601261489
PN1JL	41361921	6196504218	41361921	6196571330	82723842	12393075548
PN1LA	86505995	12911697727	86505995	12911959798	173011990	25823657525
PN1LB	72399863	10820534444	72399863	10820710732	144799726	21641245176
PN1LC	66041222	9893787543	66041222	9893807147	132082444	19787594690
PN1LD	70909616	10631452311	70909616	10631459756	141819232	21262912067
PN1LE	68892587	10313615767	68892587	10313727889	137785174	20627343656
PN1LF	68394083	10245760816	68394083	10245740918	136788166	20491501734
PN1LG	75007078	11219067802	75007078	11219278774	150014156	22438346576
PN1LH	73380501	10998516428	73380501	10998578408	146761002	21997094836
PN1LI	75869579	11372649751	75869579	11372668966	151739158	22745318717
PN1LJ	74172217	11103166004	74172217	11103358579	148344434	22206524583
PN1LK	75828157	11367405453	75828157	11367484403	151656314	22734889856
PN1LL	70056261	10445216530	70056261	10445322075	140112522	20890538605
PN1RA	115127808	17253663061	115127808	17253698379	230255616	34507361440
PN1RB	102869551	15416702007	102869551	15416793779	205739102	30833495786
PN1RC	99916126	14975386523	99916126	14975418257	199832252	29950804780
PN1RD	105639683	15831909116	105639683	15831943202	211279366	31663852318
