sample	map2host(%)
PN5DA	96.67
PN2DF	96.4
PN5DG	96.25
PN3DA	95.93
PN1LB	95.76
PN3DC	95.75
PN3ID	95.5
PN2DH	95.4
PN1JD	95.19
PN3DH	95.06
PN1LA	95
PN2DC	94.82
PN2IH	94.81
PN1DF	94.55
PN1DB	94.47
PN1GA	94.3
PN2DJ	94.28
PN2DD	94.21
PN1DG	94.18
PN3IG	94.07
PN2IE	93.85
PN3IA	93.83
PN5DB	93.79
PN2II	93.69
PN2IJ	93.66
PN5DF	93.59
PN2IG	93.51
PN2DI	93.37
PN1DA	93.29
PN1IJ	93.14
PN1DE	93.14
PN3IC	93.07
PN2DA	92.45
PN1DD	92.44
PN5DC	92.4
PN1IF	92.4
PN5DE	92.25
PN3IH	92.22
PN3IF	92.13
PN2ID	92.06
PN1IH	91.4
PN1IG	91.4
PN1IE	90.45
PN1IL	90.13
PN2DE	89.76
PN1DI	89.6
PN3IE	89.47
PN1JB	89.45
PN2JJ	89.19
PN2JH	89.19
PN1GI	84.86
PN2JI	84.22
PN2JF	83.13
PN1DH	82.56
PN3GC	80.73
PN1JI	80.28
PN3GG	79.59
PN1IK	77.06
PN3GH	75.6
PN3CE	75.58
PN1II	75.16
PN1IC	71.42
PN1RG	69.86
PN1LL	67
PN5GB	65.57
PN2GA	65.47
PN5GC	63.31
PN3JA	62.58
PN2IC	60.91
PN1LG	60.82
PN2RD	60.23
PN2JG	60.02
PN2LE	55.26
PN2LC	53.55
PN5GE	52.86
PN1GD	52.38
PN1ID	51.33
PN3GF	50.4
PN1LE	49.98
PN3JE	49.37
PN1GF	48.81
PN3GA	47.4
PN3LF	46.21
PN3RC	45.84
PN1IB	44.78
PN2DB	44.56
PN1LJ	44.09
PN1IA	43.8
PN5GH	43.3
PN1GL	42.78
PN1GG	42
PN2RB	41.74
PN1GB	41.39
PN5GF	40.96
PN5GA	40.71
PN2JA	40.1
PN2LJ	39.33
PN3RB	39.07
PN5CH	38.97
PN2RE	38.97
PN2DG	38.14
PN3JH	37.17
PN3DF	36.96
PN2RC	36.57
PN2RG	35.65
PN1RI	34.09
PN3LB	33.82
PN1RJ	33.14
PN2RJ	32.35
PN2IF	31.72
PN3JC	31.61
PN2RH	30.99
PN2LD	29.3
PN2LF	28.99
PN2LH	27.87
PN1GC	27.49
PN5GD	26.87
PN5JF	26.25
PN2GG	25.53
PN3RE	25.33
PN1DC	25.09
PN2RI	24.21
PN2CE	23.44
PN2LG	22.55
PN2CD	20.98
PN3GB	20.84
PN1GJ	20.55
PN1JG	20.53
PN3RA	20.5
PN3LE	19.36
PN2GE	19.3
PN1DK	19.14
PN2LB	18.19
PN1LF	17.29
PN3CH	16.8
PN1JE	16.12
PN2CC	16
PN2LI	15.7
PN1RF	13.82
PN2GF	13.42
PN5JB	13.11
PN1JC	12.69
PN3RH	12.57
PN2IB	12.12
PN1RE	11.96
PN3CB	11.89
PN1LC	10.83
PN2JB	10.44
PN5GG	9.8
PN3RG	9.35
PN1CC	8.98
PN2CG	8.45
PN3GE	8.41
PN2GB	8.2
PN3CA	7.52
PN5IA	6.17
PN1JK	6
PN5IH	5.62
PN3LH	5.61
PN1CK	5.61
PN1LK	5.44
PN5IB	5.27
PN1GE	4.75
PN2GI	4.62
PN3LC	4.6
PN2GC	4.01
PN1CG	3.79
PN2CJ	3.74
PN1JF	3.68
PN2GJ	3.66
PN1CE	3.65
PN5ID	3.56
PN13RO	3.56
PN1LI	3.4
PN5IC	3.36
PN2LA	3.3
PN2CB	3.14
PN2GD	3.12
PN1DL	2.95
PN1GK	2.94
PN1CL	2.88
PN3CC	2.79
PN3IB	2.74
PN3GD	2.48
PN1CH	2.46
PN5IF	2.4
PN1LH	2.4
PN5IG	1.92
PN3RD	1.9
PN7RI	1.67
PN3JD	1.61
PN1CB	1.58
PN1RL	1.53
PN5IE	1.52
PN2IA	1.51
PN1CA	1.51
PN3LG	1.5
PN1CJ	1.5
PN1RC	1.49
PN2CF	1.42
PN2GH	1.35
PN3DD	1.31
PN14RJ	1.31
PN2CI	1.28
PN1DJ	1.23
PN1CI	1.13
PN1RB	1.1
PN2CH	1.06
PN3CF	0.97
PN3LA	0.94
PN2RF	0.86
PN3RF	0.82
PN1RA	0.72
PN1CF	0.72
PN5DH	0.67
PN7RQ	0.66
PN1GH	0.66
PN4RA	0.65
PN7RO	0.53
PN1CD	0.51
PN1RH	0.45
PN7RF	0.44
PN2RA	0.44
PN4RH	0.41
PN5LB	0.38
PN10RC	0.38
PN1RD	0.36
PN10RO	0.36
PN7RK	0.33
PN5RE	0.32
PN5RC	0.32
PN5JG	0.32
PN5JE	0.31
PN10RI	0.31
PN7RG	0.3
PN1RK	0.28
PN5LF	0.25
PN3CG	0.24
PN5JA	0.22
PN3LD	0.22
PN8RL	0.21
PN5JC	0.18
PN5DD	0.18
PN7RH	0.17
PN5CF	0.17
PN4RG	0.17
PN14RK	0.17
PN7RJ	0.16
PN1JJ	0.15
PN9RQ	0.14
PN3JG	0.14
PN1LD	0.14
PN13RL	0.13
PN14RH	0.12
PN2JD	0.11
PN1JH	0.09
PN11RE	0.09
PN7RT	0.08
PN6RR	0.08
PN12RI	0.08
PN6RE	0.07
PN5LE	0.07
PN13RN	0.07
PN11RC	0.07
PN7RL	0.06
PN7RC	0.06
PN5LC	0.06
PN5CB	0.06
PN3JF	0.06
PN3DG	0.06
PN13RE	0.06
PN8RF	0.05
PN5RH	0.05
PN5RD	0.05
PN5RB	0.05
PN5LG	0.05
PN3CD	0.05
PN14RL	0.05
PN7RB	0.04
PN6RK	0.04
PN5RG	0.04
PN4RD	0.04
PN16RP	0.04
PN12RA	0.04
PN10RG	0.04
PN8RM	0.03
PN7RN	0.03
PN5RF	0.03
PN5RA	0.03
PN5LA	0.03
PN5CG	0.03
PN5CC	0.03
PN2CA	0.03
PN1JL	0.03
PN16RV	0.03
PN15RK	0.03
PN14RR	0.03
PN14RP	0.03
PN14RO	0.03
PN14RN	0.03
PN14RC	0.03
PN13RS	0.03
PN11RO	0.03
PN10RJ	0.03
PN10RA	0.03
PN9RJ	0.02
PN8RS	0.02
PN8RQ	0.02
PN8RJ	0.02
PN8RI	0.02
PN8RH	0.02
PN8RG	0.02
PN7RU	0.02
PN7RS	0.02
PN7RE	0.02
PN7RD	0.02
PN6RT	0.02
PN6RP	0.02
PN6RD	0.02
PN5LD	0.02
PN5JD	0.02
PN4RB	0.02
PN16RT	0.02
PN16RR	0.02
PN16RJ	0.02
PN15RL	0.02
PN14RT	0.02
PN14RQ	0.02
PN14RM	0.02
PN14RG	0.02
PN14RF	0.02
PN14RE	0.02
PN14RD	0.02
PN14RB	0.02
PN13RT	0.02
PN13RQ	0.02
PN13RP	0.02
PN13RI	0.02
PN12RH	0.02
PN11RD	0.02
PN10RM	0.02
PN10RF	0.02
PN9RP	0.01
PN9RO	0.01
PN9RN	0.01
PN9RM	0.01
PN9RL	0.01
PN9RK	0.01
PN9RI	0.01
PN9RD	0.01
PN9RC	0.01
PN9RB	0.01
PN8RR	0.01
PN8RO	0.01
PN8RA	0.01
PN7RV	0.01
PN7RR	0.01
PN7RP	0.01
PN7RM	0.01
PN7RA	0.01
PN6RS	0.01
PN6RM	0.01
PN6RL	0.01
PN6RI	0.01
PN6RH	0.01
PN6RG	0.01
PN6RF	0.01
PN6RC	0.01
PN6RA	0.01
PN5LH	0.01
PN5JH	0.01
PN5CE	0.01
PN5CD	0.01
PN5CA	0.01
PN4RF	0.01
PN4RE	0.01
PN4RC	0.01
PN2JC	0.01
PN16RU	0.01
PN16RS	0.01
PN16RQ	0.01
PN16RO	0.01
PN16RN	0.01
PN16RM	0.01
PN16RK	0.01
PN16RI	0.01
PN16RH	0.01
PN16RF	0.01
PN16RB	0.01
PN16RA	0.01
PN15RP	0.01
PN15RN	0.01
PN15RM	0.01
PN15RJ	0.01
PN15RF	0.01
PN15RE	0.01
PN15RC	0.01
PN14RI	0.01
PN14RA	0.01
PN13RR	0.01
PN13RM	0.01
PN13RK	0.01
PN13RJ	0.01
PN13RG	0.01
PN13RD	0.01
PN13RC	0.01
PN12RJ	0.01
PN12RG	0.01
PN12RF	0.01
PN12RC	0.01
PN11RK	0.01
PN11RF	0.01
PN10RS	0.01
PN10RR	0.01
PN10RQ	0.01
PN10RP	0.01
PN10RL	0.01
PN10RH	0.01
PN10RD	0.01
PN10RB	0.01
PN9RH	0
PN9RG	0
PN9RF	0
PN9RE	0
PN9RA	0
PN8RP	0
PN8RN	0
PN8RK	0
PN8RE	0
PN8RD	0
PN8RC	0
PN8RB	0
PN6RQ	0
PN6RO	0
PN6RN	0
PN6RJ	0
PN6RB	0
PN2JE	0
PN16RL	0
PN16RG	0
PN16RE	0
PN16RD	0
PN16RC	0
PN15RO	0
PN15RI	0
PN15RH	0
PN15RG	0
PN15RD	0
PN15RB	0
PN15RA	0
PN14RS	0
PN13RU	0
PN13RH	0
PN13RF	0
PN13RB	0
PN13RA	0
PN12RE	0
PN12RD	0
PN12RB	0
PN11RN	0
PN11RM	0
PN11RL	0
PN11RJ	0
PN11RI	0
PN11RH	0
PN11RG	0
PN11RB	0
PN11RA	0
PN10RT	0
PN10RN	0
PN10RK	0
PN10RE	0
