file            format  type  num_seqs      sum_len  min_len  avg_len  max_len
PN10RB.m500.fa  FASTA   DNA    745,611  989,138,546      500  1,326.6  512,949
PN10RA.m500.fa  FASTA   DNA    771,876  1,009,528,908      500  1,307.9  527,479
PN10RC.m500.fa  FASTA   DNA    802,254  997,009,283      500  1,242.8  432,157
PN10RD.m500.fa  FASTA   DNA    847,972  1,068,643,410      500  1,260.2  361,768
PN10RF.m500.fa  FASTA   DNA    764,423  1,044,822,254      500  1,366.8  543,475
PN10RE.m500.fa  FASTA   DNA    880,543  1,078,530,826      500  1,224.8  355,924
PN10RG.m500.fa  FASTA   DNA    894,834  1,079,753,951      500  1,206.7  347,183
PN10RH.m500.fa  FASTA   DNA    818,847  1,085,437,679      500  1,325.6  264,049
PN10RI.m500.fa  FASTA   DNA    864,904  1,098,303,693      500  1,269.9  314,058
PN10RJ.m500.fa  FASTA   DNA    779,300  1,023,219,464      500    1,313  481,558
PN10RL.m500.fa  FASTA   DNA    749,984  1,030,834,969      500  1,374.5  375,515
PN10RK.m500.fa  FASTA   DNA    902,480  1,089,645,012      500  1,207.4  301,811
PN10RN.m500.fa  FASTA   DNA    806,197  1,038,022,869      500  1,287.6  651,610
PN10RM.m500.fa  FASTA   DNA    830,367  1,087,875,792      500  1,310.1  449,864
PN10RO.m500.fa  FASTA   DNA    834,043  1,120,294,252      500  1,343.2  432,368
PN10RP.m500.fa  FASTA   DNA    644,296  866,948,794      500  1,345.6  378,573
PN10RQ.m500.fa  FASTA   DNA    761,596  956,193,818      500  1,255.5  363,135
PN10RR.m500.fa  FASTA   DNA    750,074  955,204,386      500  1,273.5  319,796
PN10RT.m500.fa  FASTA   DNA    795,115  999,909,459      500  1,257.6  342,749
PN10RS.m500.fa  FASTA   DNA    797,194  1,027,071,672      500  1,288.4  446,312
PN11RB.m500.fa  FASTA   DNA    825,508  1,005,222,652      500  1,217.7  328,915
PN11RA.m500.fa  FASTA   DNA   1,135,421  1,388,668,774      500    1,223  407,129
PN11RC.m500.fa  FASTA   DNA   1,066,171  1,220,738,119      500    1,145  466,879
PN11RD.m500.fa  FASTA   DNA   1,004,294  1,199,335,989      500  1,194.2  366,393
PN11RE.m500.fa  FASTA   DNA   1,068,477  1,308,616,897      500  1,224.7  411,188
PN11RF.m500.fa  FASTA   DNA   1,037,285  1,269,374,295      500  1,223.7  352,695
PN11RG.m500.fa  FASTA   DNA   1,044,268  1,274,809,749      500  1,220.8  381,639
PN11RH.m500.fa  FASTA   DNA    980,134  1,196,672,733      500  1,220.9  425,531
PN11RI.m500.fa  FASTA   DNA    960,028  1,208,083,695      500  1,258.4  344,865
PN11RJ.m500.fa  FASTA   DNA   1,194,530  1,434,453,757      500  1,200.9  236,618
PN11RK.m500.fa  FASTA   DNA   1,066,775  1,285,560,858      500  1,205.1  332,817
PN11RL.m500.fa  FASTA   DNA   1,030,850  1,238,743,815      500  1,201.7  247,921
PN11RM.m500.fa  FASTA   DNA   1,098,963  1,353,643,154      500  1,231.7  395,962
PN11RO.m500.fa  FASTA   DNA   1,032,019  1,225,717,961      500  1,187.7  496,461
PN11RN.m500.fa  FASTA   DNA   1,046,934  1,269,948,227      500    1,213  436,782
PN12RB.m500.fa  FASTA   DNA    626,169  796,968,475      500  1,272.8  457,935
PN12RA.m500.fa  FASTA   DNA    659,658  874,228,565      500  1,325.3  409,944
PN12RC.m500.fa  FASTA   DNA    587,565  776,760,030      500    1,322  500,596
PN12RD.m500.fa  FASTA   DNA    682,520  903,866,538      500  1,324.3  252,699
PN12RE.m500.fa  FASTA   DNA    547,515  727,680,279      500  1,329.1  256,145
PN12RF.m500.fa  FASTA   DNA    535,354  718,688,174      500  1,342.5  222,024
PN12RG.m500.fa  FASTA   DNA    588,440  788,833,016      500  1,340.5  364,872
PN12RH.m500.fa  FASTA   DNA    582,718  781,711,661      500  1,341.5  271,392
PN12RI.m500.fa  FASTA   DNA    686,413  901,095,447      500  1,312.8  341,734
PN12RJ.m500.fa  FASTA   DNA    720,590  956,952,706      500    1,328  594,565
PN13RA.m500.fa  FASTA   DNA    905,858  1,146,442,878      500  1,265.6  255,445
PN13RB.m500.fa  FASTA   DNA    870,526  1,096,546,133      500  1,259.6  352,258
PN13RC.m500.fa  FASTA   DNA    801,607  1,040,364,653      500  1,297.8  266,834
PN13RD.m500.fa  FASTA   DNA    871,722  1,104,983,235      500  1,267.6  213,292
PN13RE.m500.fa  FASTA   DNA    690,259  936,924,322      500  1,357.4  573,934
PN13RF.m500.fa  FASTA   DNA    862,629  1,058,060,082      500  1,226.6  495,541
PN13RG.m500.fa  FASTA   DNA    803,143  1,045,770,968      500  1,302.1  495,780
PN13RH.m500.fa  FASTA   DNA    863,602  1,062,133,601      500  1,229.9  496,019
PN13RI.m500.fa  FASTA   DNA    785,653  1,063,493,124      500  1,353.6  654,030
PN13RJ.m500.fa  FASTA   DNA    905,332  1,137,890,176      500  1,256.9  342,096
PN13RK.m500.fa  FASTA   DNA    934,102  1,180,270,522      500  1,263.5  527,950
PN13RL.m500.fa  FASTA   DNA    893,005  1,118,896,562      500    1,253  346,084
PN13RM.m500.fa  FASTA   DNA    803,642  1,004,201,223      500  1,249.6  177,092
PN13RN.m500.fa  FASTA   DNA    894,414  1,154,294,396      500  1,290.6  356,010
PN13RO.m500.fa  FASTA   DNA    773,736  1,053,068,059      500    1,361  437,205
PN13RP.m500.fa  FASTA   DNA    871,767  1,155,848,611      500  1,325.9  510,530
PN13RQ.m500.fa  FASTA   DNA    947,295  1,212,825,576      500  1,280.3  343,129
PN13RR.m500.fa  FASTA   DNA    828,393  1,125,537,686      500  1,358.7  440,116
PN13RS.m500.fa  FASTA   DNA    973,455  1,259,812,659      500  1,294.2  284,956
PN13RT.m500.fa  FASTA   DNA    578,371  785,272,591      500  1,357.7  322,625
PN14RA.m500.fa  FASTA   DNA    618,157  825,413,086      500  1,335.3  763,101
PN13RU.m500.fa  FASTA   DNA    908,724  1,144,778,117      500  1,259.8  528,134
PN14RB.m500.fa  FASTA   DNA    649,857  919,762,237      500  1,415.3  275,119
PN14RC.m500.fa  FASTA   DNA    607,614  905,564,271      500  1,490.4  700,425
PN14RE.m500.fa  FASTA   DNA    565,553  773,164,928      500  1,367.1  291,108
PN14RD.m500.fa  FASTA   DNA    783,254  1,009,549,250      500  1,288.9  291,978
