DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	abundance

#dataset color (can be changed later)
COLOR	#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#To order legend entries horizontally instead of vertically, set LEGEND_HORIZONTAL to 1
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE Dataset legend
#LEGEND_POSITION_X 100
#LEGEND_POSITION_Y 100
#LEGEND_HORIZONTAL 0
#LEGEND_SHAPES 1 2 3
#LEGEND_COLORS #ff0000 #00ff00 #0000ff
#LEGEND_LABELS value1 value2 value3
#LEGEND_SHAPE_SCALES 1 1 0.5

#width of the gradient strip
STRIP_WIDTH	30

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN	30

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the gradient strip
BORDER_WIDTH	1

#border color; used when BORDER_WIDTH is above 0
BORDER_COLOR	#000000

#automatically create and display a legend based on the color gradient defined below
#AUTO_LEGEND 1

#define the gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN	#ffffff
COLOR_MAX	#ec7014

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR	1
COLOR_MID	#fce7d8

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 1

#display or hide the dataset label above the gradient strip
#SHOW_LABELS 1

#text label size factor
#SIZE_FACTOR 1

#text label rotation
#LABEL_ROTATION 0

#text label shift in pixels (positive or negative)
#LABEL_SHIFT 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1 value1
#ID2 value2
#9606 10000
#LEAF1|LEAF2 11000
PN8RR.vae.4854	4.702991443
PN5CC.vae.2750	4.693291057
PN14RJ.vae.2239	4.5547123
PN3JE.vae.1057	4.50619203
PN1LI.vae.479	4.20146165
PN5GE.vae.2810	4.141989233
PN2GE.vae.8740	4.069247348
PN1RE.vae.1889	4.055958786
PN5IA.bin.34	3.950498854
PN5CB.vae.3104	3.927275958
PN1LJ.bin.85	3.880656118
CH25	3.864060278
PN16RB.bin.208	3.834934991
PN5CE.vae.10264	3.831793834
PN3DD.vae.1024	3.8016915
PN2RF.vae.3973	3.800318471
PN15RE.vae.931	3.790780498
PN11RI.bin.137	3.76255312
PN2JF.bin.1	3.73791644
PN8RB.bin.204	3.725379603
PN5IH.vae.665	3.686837451
PN1RE.vae.2523	3.682638476
PN8RM.vae.508	3.680761863
PN14RF.vae.940	3.676430025
PN2RD.bin.31	3.672145909
PN6RL.vae.2889	3.656995922
PN13RS.vae.1267	3.645529573
PN1IH.bin.5	3.624036282
PN5JF.vae.4331	3.613398055
PN3DD.bin.58	3.590407095
PN2LD.bin.87	3.581035723
PN5JC.vae.770	3.566575536
PN2LB.bin.141	3.529809483
PN3GH.vae.3016	3.527632696
PN3JH.vae.2382	3.515389128
PN8RK.bin.49	3.51411156
PN12RE.bin.117	3.511717806
PN9RE.vae.1728	3.509802892
PN5IA.bin.56	3.500087224
PN9RQ.bin.10	3.498432984
PN7RL.bin.146	3.483377298
PN7RO.vae.2046	3.477710515
J1119	3.473319533
PN15RG.bin.84	3.451839697
PN14RC.vae.335	3.438955556
PN9RH.bin.188	3.428594055
J1114	3.417395207
PN7RR.bin.15	3.415416892
PN1CL.vae.19985	3.413097752
PN1CD.bin.159	3.395670573
PN11RI.bin.209	3.395623451
PN7RE.vae.3268	3.391031939
PN3GH.vae.1435	3.390679012
PN10RA.vae.5622	3.387310025
PN15RJ.vae.2033	3.38178372
PN14RF.bin.142	3.367975816
PN15RO.bin.125	3.364953006
PN15RF.bin.57	3.351551015
PN10RF.vae.2611	3.346575419
PN14RM.vae.1728	3.338935228
PN5LD.vae.1556	3.334884391
PN8RD.vae.6440	3.319469177
PN1RL.vae.2409	3.310463116
PN13RS.vae.16054	3.308245669
PN8RG.bin.115	3.30499276
PN7RP.vae.6421	3.302473384
PN2JH.vae.1664	3.295782819
PN12RD.bin.15	3.290427977
PN13RH.bin.85	3.289845948
PN1CJ.bin.101	3.286438434
PN12RE.vae.2619	3.285237055
PN5JD.vae.18303	3.269061994
PN5GB.bin.6	3.26662092
PN5CG.bin.170	3.261063417
PN3RB.bin.117	3.248903703
PN8RK.vae.257	3.243653833
PN9RB.bin.190	3.232427544
PN3GH.bin.14	3.232087616
PN1DK.vae.35022	3.22901897
PN1DH.bin.3	3.226486925
PN10RE.bin.81	3.219967837
PN13RC.vae.10903	3.218494208
PN16RM.bin.54	3.215069143
PN1RB.bin.120	3.212270307
PN11RO.vae.2047	3.186729003
PN1CE.bin.18	3.181392857
PN10RS.vae.1153	3.179290485
PN5RF.vae.4017	3.172688679
PN10RL.vae.4516	3.169005429
PN15RO.bin.75	3.167702392
PN5CE.vae.3389	3.164734081
PN3DF.bin.18	3.164134621
PN1RH.vae.13216	3.1634072
PN3LE.bin.107	3.162610763
PN3GG.vae.8518	3.161291062
PN5GA.vae.6292	3.160951025
PN10RP.bin.154	3.160539005
PN15RP.bin.110	3.156829927
J474	3.151011977
PN9RK.vae.11445	3.139683691
PN15RB.vae.9378	3.133011629
PN10RO.vae.5995	3.132487519
PN16RF.vae.14450	3.130786859
PN1RE.vae.534	3.128107897
PN13RP.vae.1205	3.116326573
PN3GE.bin.19	3.113770934
PN1RG.vae.3730	3.113508573
PN10RM.vae.12084	3.112970364
PN1GJ.bin.90	3.109496372
PN5GB.bin.11	3.1041666
PN9RC.bin.106	3.103335876
PN11RM.vae.229	3.102784374
PN5GG.vae.6559	3.099127796
PN10RH.vae.1653	3.095131507
PN13RH.bin.146	3.095109902
PN11RH.bin.78	3.0920885
J1395	3.086863432
PN7RJ.vae.390	3.084248674
PN8RJ.bin.67	3.079999222
PN4RB.vae.22037	3.075701224
PN1GF.bin.15	3.06877852
PN1IE.vae.26367	3.067390199
PN7RM.bin.119	3.062417978
PN5RB.vae.19792	3.055911025
PN5LG.vae.3825	3.047653994
PN10RH.vae.2465	3.045978071
PN14RA.bin.96	3.039623558
PN3LB.vae.91643	3.029517365
PN7RG.vae.71998	3.028658059
PN11RK.bin.88	3.028448151
PN3CG.bin.91	3.025318874
PN14RO.vae.77412	3.022527844
PN2CI.vae.2677	3.022505456
PN13RM.bin.113	3.018349323
PN3RG.bin.91	3.014493788
PN3LA.vae.8234	3.011011733
PN10RR.vae.7277	3.009508517
PN10RE.vae.22287	3.001833024
PN3RD.vae.5534	2.999447036
PN1CF.vae.7430	2.993341838
PN5RC.vae.4441	2.991027942
PN5RC.vae.225	2.989283154
PN16RI.vae.23793	2.988517498
PN8RM.bin.200	2.984429669
PN5LD.vae.9312	2.981100856
