DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	occurence

#dataset color (can be changed later)
COLOR	#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#To order legend entries horizontally instead of vertically, set LEGEND_HORIZONTAL to 1
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE Dataset legend
#LEGEND_POSITION_X 100
#LEGEND_POSITION_Y 100
#LEGEND_HORIZONTAL 0
#LEGEND_SHAPES 1 2 3
#LEGEND_COLORS #ff0000 #00ff00 #0000ff
#LEGEND_LABELS value1 value2 value3
#LEGEND_SHAPE_SCALES 1 1 0.5

#width of the gradient strip
STRIP_WIDTH	30

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN	30

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the gradient strip
BORDER_WIDTH	1

#border color; used when BORDER_WIDTH is above 0
BORDER_COLOR	#000000

#automatically create and display a legend based on the color gradient defined below
#AUTO_LEGEND 1

#define the gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN	#ffffff
COLOR_MAX	#41ab5d

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR	1
COLOR_MID	#e7f5eb

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 1

#display or hide the dataset label above the gradient strip
#SHOW_LABELS 1

#text label size factor
#SIZE_FACTOR 1

#text label rotation
#LABEL_ROTATION 0

#text label shift in pixels (positive or negative)
#LABEL_SHIFT 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1 value1
#ID2 value2
#9606 10000
#LEAF1|LEAF2 11000
PN5GE.vae.2810	1.886626463
PN2GE.vae.8740	1.939966872
PN5CC.vae.2750	1.926671105
PN5IA.bin.34	1.880413275
PN5CB.vae.3104	1.841143062
PN11RI.bin.137	1.950743963
PN14RJ.vae.2239	1.943228173
PN3DD.vae.1024	1.821526428
PN2JF.bin.1	1.936680896
PN15RE.vae.931	1.935580022
PN14RF.vae.940	1.562800271
PN2RD.bin.31	1.682506481
PN8RR.vae.4854	1.575612247
PN6RL.vae.2889	1.625641109
PN1IH.bin.5	1.926671105
PN1RE.vae.2523	1.668463403
PN3JE.vae.1057	1.899990425
PN3DD.bin.58	1.930033401
PN3JH.vae.2382	1.922147163
PN9RH.bin.188	1.666419661
PN12RE.bin.117	1.666419661
PN9RE.vae.1728	1.884151844
PN7RO.vae.2046	1.080446489
PN13RH.bin.85	1.890312153
PN12RE.vae.2619	1.889087062
PN1LI.vae.479	1.886626463
PN5LD.vae.1556	1.57307991
PN5RA.vae.103884	1.885390916
PN5CG.bin.170	1.690331818
PN7RG.vae.71998	1.865128607
PN3RB.bin.117	1.638936876
PN5RF.vae.4017	1.521927388
PN12RD.bin.15	1.623385029
PN9RB.bin.190	1.166158603
PN1RE.vae.1889	1.863830267
PN2JD.vae.12717	1.799476288
PN15RP.bin.110	1.857279698
PN2LH.bin.64	1.855957644
PN7RL.bin.146	0.85859774
PN5RF.vae.7282	1.604901623
PN5CA.vae.9799	1.812840249
PN10RH.vae.1653	1.854631553
PN10RF.vae.12877	1.443887521
PN2CG.vae.2503	1.588057066
PN5RD.vae.11977	1.732780753
PN5LF.bin.176	1.85859774
PN8RK.bin.49	1.415630761
PN11RI.bin.209	1.701811636
PN8RD.vae.3381	1.570532721
PN1CJ.bin.101	1.396988651
PN10RP.bin.154	1.799476288
PN15RO.bin.125	1.670497573
PN5RB.vae.19792	1.580633048
PN16RJ.vae.2002	1.492372144
PN15RO.bin.75	1.433505485
PN5RA.vae.6005	1.684476074
PN8RC.vae.36546	1.79340214
PN3RB.vae.4609	1.373507555
PN1RG.vae.3313	1.609596744
PN16RH.bin.16	1.768218594
PN7RP.vae.6421	1.841143062
PN2LC.vae.53418	1.583121849
PN9RM.bin.130	1.758385091
PN5LE.vae.7329	1.743204321
PN14RA.vae.15210	1.739757521
PN2LB.vae.1136	1.782563569
PN10RL.vae.4516	1.641113796
PN5RC.vae.4441	1.827222175
PN6RG.vae.12596	1.849286322
PN1RG.vae.3730	1.796449833
PN16RI.vae.23793	1.846588832
PN10RO.vae.1355	1.597762375
PN1CF.vae.7430	1.20931552
PN10RG.vae.11046	1.832844189
PN11RO.vae.2047	1.831445494
PN7RM.bin.119	1.70369578
PN9RK.vae.11445	1.825805226
PN14RM.vae.1728	0.802481798
PN15RB.vae.9378	1.578129903
PN11RC.bin.104	0.682506481
PN7RN.vae.96553	1.557567744
PN13RH.bin.146	1.74662398
PN1RL.vae.2409	1.658147135
PN9RJ.vae.3902	1.743204321
PN14RB.vae.5044	1.771447564
PN5RB.bin.174	1.385406779
PN6RQ.bin.154	1.741484341
PN14RP.vae.111753	1.830042279
PN10RM.vae.5165	1.779416494
PN8RM.vae.3300	1.78879012
PN16RV.vae.4628	1.641113796
PN13RH.vae.18563	1.44729377
PN12RD.bin.73	1.552271404
PN1CG.vae.31761	1.554927648
PN13RC.vae.10903	1.396988651
PN3RG.bin.91	0.641113796
PN14RB.vae.21314	1.796449833
PN3RB.vae.134867	1.814300064
PN8RD.vae.2221	1.426443631
PN13RS.vae.16054	1.76983608
PN1RB.bin.120	1.768218594
PN3LB.vae.91643	1.712995803
PN6RN.vae.3728	1.404541789
PN10RS.vae.1153	1.714832146
PN7RT.vae.8749	1.513270068
PN8RG.bin.115	0.701811636
PN11RK.bin.88	1.777834363
PN7RA.bin.98	1.641113796
PN2CC.vae.7452	0.738023809
PN12RA.vae.8317	0.544203783
PN14RI.vae.7554	1.489302913
PN5RB.vae.20576	1.638936876
PN5CC.vae.8795	1.220897392
PN16RP.bin.78	1.803976789
PN3RB.vae.7224	1.760039548
PN14RC.vae.335	1.696109657
PN8RC.vae.6474	1.396988651
PN10RO.vae.26865	1.618837401
PN7RP.bin.162	1.516175059
PN15RK.bin.100	1.62788553
PN3RD.vae.4706	0.802481798
PN13RT.vae.934	-0.358886204
PN7RJ.bin.115	1.771447564
PN5LE.vae.5041	1.791870235
PN14RB.bin.146	1.649713967
PN6RS.vae.10052	1.433505485
PN8RI.vae.21106	1.146263774
PN3RD.bin.138	1.743204321
PN5RC.vae.5206	1.832844189
PN5RC.vae.12731	1.739757521
PN5GD.vae.1241	1.701811636
PN1RE.bin.124	1.562800271
PN14RO.bin.122	1.65395102
PN1RE.vae.534	1.411965807
PN4RE.bin.176	1.74662398
PN10RO.vae.5995	1.600155188
PN6RE.bin.46	1.668463403
PN8RS.vae.9408	0.755057148
PN5LA.vae.6738	1.60253489
PN11RK.bin.123	1.773053091
PN14RA.vae.10105	1.779416494
PN12RJ.vae.164162	1.567970505
