DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_size

#数据集颜色，柱子的颜色
COLOR	#3d85c6

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE	2000	10000	20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated	 format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR))
#DATASET_SCALE	2000-2k line-#0000ff-5-1-1	10000-line at 10k-#ff0000-1-0-2	20000-3rd line-#00ff00-5-1-1
# 形状类型
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark
# 图例
#LEGEND_TITLE	genome
#LEGEND_POSITION_X	100
#LEGEND_POSITION_Y	100
#LEGEND_HORIZONTAL	0
#LEGEND_SHAPES	1	2	3
#LEGEND_COLORS	#ff0000	#00ff00	#0000ff
#LEGEND_LABELS	value1	value2	value3
#LEGEND_SHAPE_SCALES	1	1	0.5

#图形的宽度，柱状图柱子的最大长度
WIDTH	150
#与内圈的距离
MARGIN	30
#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL	0
#是否添加每个柱子和分支的虚线
#DASHED_LINES	1
#柱子的粗细
HEIGHT_FACTOR	2.5
#是否展示值
#SHOW_VALUE	0
#是否左右调整柱子
#BAR_SHIFT	0
#柱子值0值，如果设置为1，那么以1为基准点，真实值减去1为展示的数值，改这个注意改与内圈的距离
#BAR_ZERO	1.72
#边框宽度
#BORDER_WIDTH	0
#边框的颜色
#BORDER_COLOR	#0000ff

DATA
#标签，数值
J433	7.489205
J1061	7.145551
H36	7.138889
BL1	6.435515
CH40	6.256026
J427	6.066154
J1364	6.018803
J1071	5.950967
CH3	5.838345
K320	5.574358
K237	5.548008
J1394	5.4899
J1365	5.380305
J1385	5.355842
K298	5.344263
J1395	5.315846
PN6RS.bin.139	5.225418
PN12RC.vae.4146	5.21226
J352	5.20507
PN8RR.bin.203	5.186486
J267	5.06983
CH25	5.061061
J885	5.033721
J131	5.011615
PN6RG.vae.12831	4.980131
PN16RH.bin.45	4.966674
J1047	4.961506
PN6RT.bin.94	4.957154
J28	4.94512
CH37	4.851612
J1005	4.848002
J1049	4.836444
PN11RC.bin.79	4.801969
J417	4.696689
J146	4.683871
CH13	4.589795
J113	4.566716
J1347	4.543022
J1369	4.53247
J252	4.526195
PN11RE.bin.6	4.468138
PN3JA.bin.13	4.466975
J941	4.46054
J387	4.43162
PN11RG.vae.32922	4.401912
PN2GF.bin.2	4.395575
J1045	4.395002
PN6RK.bin.147	4.368483
CH11	4.353766
PN8RM.vae.508	4.34727
PN1JE.vae.3648	4.301225
R106	4.297118
J244	4.292384
PN7RL.bin.131	4.289211
PN11RE.bin.164	4.278603
CH39	4.270214
J410	4.264042
PN6RP.vae.4793	4.252029
PN8RC.bin.75	4.246307
G59	4.189163
X28a	4.188674
PN3DF.vae.9493	4.172619
R101	4.125073
PN11RN.vae.1704	4.103661
PN3RG.vae.1062	4.073956
J1034	4.067547
PN6RA.bin.10	4.03093
PN5RH.vae.14211	4.027156
PN11RE.bin.91	4.02475
G47	4.017896
PN12RJ.vae.121	4.017737
PN6RB.bin.34	3.999728
PN6RS.bin.125	3.995424
PN6RP.bin.45	3.978804
PN2GF.vae.3028	3.975991
PN7RM.vae.2197	3.967184
H31	3.9633
PN16RV.bin.55	3.938978
PN12RD.vae.6430	3.925471
PN16RE.bin.34	3.922503
PN6RI.bin.149	3.911454
K260	3.910008
BL4	3.875755
PN6RK.bin.19	3.861238
PN2JD.bin.5	3.846363
CH18	3.814517
PN1IB.bin.20	3.804604
CH19	3.800042
PN11RN.bin.22	3.793436
H139	3.783677
PN3LF.bin.122	3.768637
PN14RD.bin.20	3.763345
H19	3.747019
PN3LA.vae.5200	3.74644
CH8	3.743523
PN12RC.vae.17901	3.732806
PN2RF.vae.22866	3.70816
PN6RI.bin.187	3.706175
PN6RC.vae.10670	3.706007
PN12RA.bin.54	3.696411
PN5RC.vae.7575	3.688523
J373	3.679561
PN3LH.vae.8964	3.673108
K72	3.668387
J1068	3.656059
PN8RC.bin.162	3.653646
PN6RG.bin.102	3.653562
PN14RI.vae.6677	3.653299
CH17	3.645645
PN12RD.bin.54	3.633873
PN4RF.bin.39	3.62518
J1272	3.619085
PN6RB.bin.8	3.578661
PN2LG.bin.121	3.57424
PN10RR.vae.16207	3.568262
PN11RN.bin.183	3.566486
PN6RI.bin.195	3.562976
J383	3.562747
PN12RD.bin.160	3.559251
J1040	3.558534
PN6RI.bin.29	3.526769
PN11RE.bin.108	3.522114
PN10RJ.bin.8	3.514466
PN3JA.bin.5	3.511798
PN11RF.bin.47	3.488545
PN2CC.vae.45014	3.483155
PN3JG.bin.24	3.472465
PN2CC.vae.10734	3.472113
J355	3.440643
PN6RN.vae.7756	3.434253
PN3LG.vae.2873	3.433009
PN3CD.vae.51794	3.414514
PN7RJ.vae.644	3.405594
PN10RA.vae.29982	3.396677
PN16RJ.bin.105	3.396444
PN10RA.vae.6800	3.393793
PN5RB.bin.12	3.392968
G66	3.381738
PN3DD.bin.63	3.371818
PN9RB.bin.190	3.365549
PN11RN.bin.103	3.352414
PN5RF.bin.146	3.34314
PN5LB.vae.23756	3.341621
J458	3.329712
PN11RN.bin.172	3.327703
J548	3.314905
J1044	3.305204
PN10RN.vae.15034	3.295293
PN3JA.bin.21	3.294332
