DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_size

#数据集颜色，柱子的颜色
COLOR	#3d85c6

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE	2000	10000	20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated	 format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR))
#DATASET_SCALE	2000-2k line-#0000ff-5-1-1	10000-line at 10k-#ff0000-1-0-2	20000-3rd line-#00ff00-5-1-1
# 形状类型
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark
# 图例
#LEGEND_TITLE	genome
#LEGEND_POSITION_X	100
#LEGEND_POSITION_Y	100
#LEGEND_HORIZONTAL	0
#LEGEND_SHAPES	1	2	3
#LEGEND_COLORS	#ff0000	#00ff00	#0000ff
#LEGEND_LABELS	value1	value2	value3
#LEGEND_SHAPE_SCALES	1	1	0.5

#图形的宽度，柱状图柱子的最大长度
WIDTH	150
#与内圈的距离
MARGIN	30
#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL	0
#是否添加每个柱子和分支的虚线
#DASHED_LINES	1
#柱子的粗细
HEIGHT_FACTOR	2.5
#是否展示值
#SHOW_VALUE	0
#是否左右调整柱子
#BAR_SHIFT	0
#柱子值0值，如果设置为1，那么以1为基准点，真实值减去1为展示的数值，改这个注意改与内圈的距离
#BAR_ZERO	1.72
#边框宽度
#BORDER_WIDTH	0
#边框的颜色
#BORDER_COLOR	#0000ff

DATA
#标签，数值
PN11RI.bin.209	13.60147051
PN7RP.vae.6421	13.34166406
PN13RH.bin.146	13
PN5CB.vae.3104	12.88409873
PN7RL.bin.146	12.88409873
PN5LF.bin.176	12.84523258
PN10RP.bin.154	12.28820573
PN15RE.vae.931	12
PN9RQ.bin.10	11.70469991
PN5RC.vae.225	10.39230485
PN3LA.vae.8234	10.04987562
PN12RD.bin.15	10
PN7RG.vae.71998	10
PN16RM.bin.54	9.695359715
PN9RM.bin.130	9.643650761
PN5GE.vae.2810	9.433981132
PN5RG.vae.1012	9.273618495
PN5LF.bin.11	9.16515139
PN14RM.vae.1728	8.94427191
PN14RF.bin.142	8.888194417
PN13RC.vae.146874	8.888194417
PN6RI.bin.183	8.774964387
PN13RK.vae.1409	8.774964387
PN5IH.vae.665	8.660254038
PN3CG.bin.91	8.306623863
PN4RE.bin.176	8.306623863
PN8RK.bin.49	8.185352772
PN9RI.vae.1292	8.185352772
PN13RM.bin.113	8.124038405
PN11RF.vae.28473	7.874007874
PN10RH.bin.3	7.874007874
PN6RL.vae.2889	7.810249676
PN5RF.vae.7282	7.810249676
PN5CB.bin.82	7.810249676
PN14RA.vae.10105	7.810249676
PN7RE.vae.3268	7.745966692
PN5LD.vae.1556	7.615773106
PN11RK.bin.123	7.615773106
PN5RH.vae.1187	7.549834435
PN1CF.vae.7430	7.483314774
PN14RM.bin.95	7.416198487
PN5RC.vae.8363	7.348469228
PN5LE.bin.190	7.280109889
PN3GH.vae.1435	7.211102551
PN1RE.bin.124	7.211102551
PN10RF.vae.12877	7.141428429
PN9RP.vae.118	7.141428429
PN16RD.bin.34	7
PN9RE.vae.1728	6.92820323
PN16RI.vae.23793	6.92820323
PN5JF.vae.4331	6.8556546
PN11RA.bin.182	6.708203932
PN7RQ.bin.202	6.633249581
PN4RF.bin.57	6.633249581
PN13RP.vae.1205	6.557438524
PN5LE.bin.48	6.557438524
PN5RB.bin.174	6.557438524
PN7RJ.vae.4665	6.557438524
PN5CC.vae.2750	6.480740698
PN13RQ.vae.9350	6.480740698
PN12RJ.vae.164162	6.480740698
PN10RA.vae.5622	6.403124237
PN14RK.vae.3709	6.403124237
PN5LG.bin.35	6.403124237
PN4RC.bin.85	6.403124237
PN8RM.bin.200	6.164414003
PN5RD.vae.38703	6.164414003
PN10RE.vae.35066	6.164414003
PN14RM.vae.22903	6.164414003
PN7RQ.vae.1990	6.08276253
PN10RK.bin.142	6.08276253
CH8	6
PN13RP.bin.232	6
PN8RM.vae.3300	6
PN10RD.bin.112	5.916079783
PN3CG.vae.3495	5.916079783
PN5CE.vae.10264	5.830951895
PN8RG.bin.115	5.830951895
PN1RL.vae.41703	5.830951895
PN2LB.bin.114	5.830951895
PN5LE.vae.12265	5.830951895
PN5LD.vae.12589	5.830951895
PN6RO.bin.188	5.830951895
PN6RI.vae.25890	5.830951895
PN13RO.vae.45168	5.744562647
PN1RL.vae.2409	5.656854249
PN16RN.bin.23	5.656854249
PN11RA.bin.14	5.656854249
PN9RB.vae.22858	5.656854249
PN8RJ.bin.67	5.567764363
PN7RA.bin.98	5.567764363
PN13RP.bin.76	5.567764363
PN11RL.bin.107	5.567764363
PN10RM.vae.47156	5.567764363
PN3LB.bin.76	5.567764363
PN3JH.vae.2382	5.477225575
PN1DK.vae.35022	5.477225575
PN9RH.vae.9560	5.477225575
PN6RM.vae.14177	5.385164807
CH25	5.291502622
PN4RB.vae.22037	5.291502622
PN6RG.bin.120	5.291502622
PN16RE.bin.157	5.291502622
PN14RN.vae.373	5.291502622
PN5CF.vae.2490	5.291502622
PN9RJ.vae.3537	5.291502622
PN10RF.vae.2611	5.196152423
PN10RO.vae.1355	5.196152423
PN3JH.bin.22	5.196152423
PN7RD.vae.4156	5.196152423
PN5JC.vae.770	5.099019514
PN15RH.bin.46	5.099019514
