isolate_ID	contigs	total_len	avg_len	N50_len	N90_len	GC	completeness	contamination	gtdb_classification
J381	 477 	2570559	5389.01	387992	125388	67.34	100	0.35	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hyovaginalis
K27	 448 	2497253	5574.23	136186	27431	64.64	99.98	1.14	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900556405
H198	 129 	2049478	15887.43	199258	51421	57.59	99.99	0.66	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis
H124	 1,290 	2567977	1990.68	315175	277	56.13	100	1.55	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Winkia;s__Winkia sp002849225
H222	 567 	2073618	3657.17	201093	84662	60.32	99.85	0.55	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis
CH10	 218 	2421912	11109.69	32427	4858	60.03	99.89	0.52	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum
J654	 4,196 	3608476	859.98	132535	268	59.42	99.99	4.33	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum
J474	 516 	2398835	4648.91	596911	63742	60.06	99.95	0.15	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum
J868	 321 	2365123	7367.98	348043	119334	59.91	99.92	1.24	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum
J736	 313 	2270745	7254.78	191055	116934	60.01	99.91	0.23	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum
J1114	 697 	2317392	3324.81	1307069	103375	60.17	99.88	0.56	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum
J214	 432 	4452440	10306.57	398554	65481	73.9	100	0.84	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__Cellulosimicrobium cinnabarinum
J244	 41 	4292384	104692.29	191781	51627	74.43	100	0.35	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__Cellulosimicrobium cinnabarinum
J252	 622 	4526195	7276.84	423483	92049	73.61	100	0	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Isoptericola;s__
J252b	 2,383 	5082252	2132.71	301450	343	71.98	99.99	1.41	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Isoptericola;s__
CH15	 123 	3745487	30451.11	170270	27077	64.78	100	1.87	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_B;s__Arthrobacter_B sp001307035
CH17	 77 	3645645	47346.04	164384	41600	64.91	100	0.28	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_B;s__Arthrobacter_B sp001307035
J1051	 532 	3855524	7247.23	603597	69591	64.72	98.74	0.15	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_B;s__Arthrobacter_B sp001307035
K300	 851 	2509660	2949.07	332503	1076	58.75	100	0.76	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa
K340	 13 	2264451	174188.53	284102	127781	59.59	100	0.02	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa
R216	 8 	2479162	309895.25	893297	192501	60.05	100	0.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes
J433	 2,141 	7489205	3497.99	334780	14334	72.41	100	2.71	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces diastaticus
J1061	 800 	7145551	8931.94	390153	195973	72.18	99.83	2.39	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp022347745
BL1	 674 	6435515	9548.24	186831	57391	43.13	100	3.02	d__Bacteria;p__Bacillota;c__Bacilli;o__Aneurinibacillales;f__Aneurinibacillaceae;g__Aneurinibacillus;s__Aneurinibacillus migulanus
CH14	 29 	3667745	126473.97	243415	61319	41.28	100	0.01	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
H19	 19 	3747019	197211.53	492425	120671	41.29	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
Q43	 27 	3684902	136477.86	398120	63729	41.26	100	1.32	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
CH1	 551 	4210569	7641.69	262841	55119	45.82	100	0.6	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus amyloliquefaciens
J1347	 1,524 	4543022	2980.99	262937	1190	46.24	100	0.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus amyloliquefaciens
MR53	 10 	4259973	425997.31	2214231	308516	43.1	100	0.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus atrophaeus
G59	 378 	4189163	11082.44	384481	185121	43.73	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus halotolerans
H6	 5,859 	5956227	1016.59	185532	273	48.59	100	3.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus halotolerans
J1367	 14,482 	8724552	602.44	3558	261	41.61	100	0.27	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus halotolerans
R99	 27 	4216149	156153.67	478555	89085	43.62	100	0.02	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus halotolerans
J1274	 460 	4275779	9295.17	1018219	78745	46.33	100	1.49	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis
J1327	 39 	4203220	107774.88	263143	61987	46.08	100	0.19	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis
K7	 1,448 	4589427	3169.49	356117	24007	46.43	100	2.45	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis
Q21	 46 	4389495	95423.8	291497	61652	45.65	100	1.45	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis
X28a	 24 	4188674	174528.08	605297	105467	46.17	100	0.16	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis
J113	 842 	4566716	5423.65	347593	64691	46.19	100	1.7	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paralicheniformis
Q3	 81 	4486577	55389.84	340687	81114	46.03	100	0.45	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paralicheniformis
GY2	 93 	4077205	43840.91	110323	22586	41.13	100	0.89	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus
GY8	 31 	3737551	120566.16	258785	58261	41.17	100	0.54	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus
K72	 288 	3668387	12737.46	169167	38270	41.24	100	0.14	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus
H31	 503 	3963300	7879.32	610166	188910	42.04	100	0.13	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis
J1362	 2,001 	4313068	2155.46	918903	295	42.06	100	1.06	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis
ZTY25	 16 	3647232	227952	1867907	266726	41.57	99.99	0.86	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis
BL4	 667 	3875755	5810.73	713850	77534	46.98	100	0.5	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus siamensis
