DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	completeness

#dataset color (can be changed later)
COLOR	#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#To order legend entries horizontally instead of vertically, set LEGEND_HORIZONTAL to 1
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE Dataset legend
#LEGEND_POSITION_X 100
#LEGEND_POSITION_Y 100
#LEGEND_HORIZONTAL 0
#LEGEND_SHAPES 1 2 3
#LEGEND_COLORS #ff0000 #00ff00 #0000ff
#LEGEND_LABELS value1 value2 value3
#LEGEND_SHAPE_SCALES 1 1 0.5

#width of the gradient strip
STRIP_WIDTH	30

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN	30

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the gradient strip
BORDER_WIDTH	1

#border color; used when BORDER_WIDTH is above 0
BORDER_COLOR	#000000

#automatically create and display a legend based on the color gradient defined below
#AUTO_LEGEND 1

#define the gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN	#ffffff
COLOR_MAX	#ef3b2c

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR	1
COLOR_MID	#ea9999

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 1

#display or hide the dataset label above the gradient strip
#SHOW_LABELS 1

#text label size factor
#SIZE_FACTOR 1

#text label rotation
#LABEL_ROTATION 0

#text label shift in pixels (positive or negative)
#LABEL_SHIFT 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1 value1
#ID2 value2
#9606 10000
#LEAF1|LEAF2 11000
PN16RA_k141_606957	100
PN2RI_k141_2984282	100
PN5LA_k141_425351_1	95.37
PN5RB_k141_109154	100
PN5RD_k141_87299	100
PN5RG_k141_852828	100
PN9RJ_k141_127978	86.11
PN5CG_k141_98159	75.24
H124_NODE_2_1	57.15
H198_NODE_14	100
PN1JE_k141_421403_1_fragment_2	79.87
H124_NODE_4_1	84.27
H124_NODE_1_1_fragment_1	87.5
J381_NODE_1_1	96.84
PN10RA_k141_1175369_2	59.56
PN10RD_k141_1767848	50.29
PN10RK_k141_709690_1	68.04
PN10RM_k141_1268352_1	90
PN10RQ_k141_585589	100
PN10RR_k141_466004_1	86.13
PN11RF_k141_1218386_fragment_1	100
PN11RG_k141_2473379	100
PN11RL_k141_1222646	100
PN11RN_k141_114130	72.7
PN12RG_k141_281039_1	53.87
PN13RH_k141_262430	84.34
PN13RH_k141_807088	57.38
PN13RI_k141_1151547_1	71.63
PN13RI_k141_142168	53.83
PN13RI_k141_813529	53.77
PN13RJ_k141_1681870	100
PN13RP_k141_1450654	51.67
PN13RT_k141_1329956	67.79
PN14RK_k141_1630547	52.68
PN14RK_k141_1678624	52.09
PN14RK_k141_446307_1	100
PN15RF_k141_830971	67.3
PN15RH_k141_1312876	58.73
PN15RH_k141_15107	100
PN15RH_k141_332129	56.24
PN15RN_k141_869994	51.6
PN16RA_k141_1183524	54.6
PN16RB_k141_2018603	100
PN16RE_k141_1099280	65.94
PN16RE_k141_1434448	59.56
PN16RE_k141_435577	50.12
PN16RO_k141_2082298	61.59
PN1CA_k141_1020662_1	66.07
PN1CG_k141_971890	67.64
PN1CK_k141_927018	51.17
PN1LG_k141_849870	100
PN1RA_k141_3315754_1	89.22
PN1RC_k141_1646528	51.85
PN1RC_k141_682895	75.62
PN1RH_k141_247204	98.31
PN1RI_k141_572889	78.83
PN1RK_k141_894	100
PN1RL_k141_2208871	67.63
PN1RL_k141_53501	86.96
PN2CA_k141_689972	54.31
PN2CD_k141_1948188	100
PN2CD_k141_830430	96.89
PN3CG_k141_281846	63.71
PN3LA_k141_1621849	93.78
PN3LA_k141_1658160	89.12
PN3LC_k141_1991233	58.08
PN3RB_k141_1048515	100
PN3RD_k141_1348641_1	64.9
PN3RF_k141_3188183	74.34
PN4RA_k141_770334	69.49
PN5CE_k141_120016_1	73.74
PN5CG_k141_548009_1	100
PN5JD_k141_554931	100
PN5LF_k141_707076_1	100
PN5RB_k141_306980_1	100
PN5RC_k141_65240_1	54.98
PN5RH_k141_1122401	100
PN6RC_k141_835029	76.16
PN6RF_k141_223832_1	93.92
PN6RF_k141_588874_1	79.82
PN6RH_k141_1315682_1	85.17
PN7RF_k141_1119113	57.18
PN7RF_k141_1955909	100
PN7RI_k141_381559	100
PN7RJ_k141_652740	66.93
PN7RL_k141_1356879	65.36
PN8RC_k141_600673	100
PN8RF_k141_696839	50.87
PN8RP_k141_1085851	80.96
PN8RP_k141_35808	66.64
PN13RG_k141_1861037	60.11
PN13RN_k141_1334619	100
PN1CJ_k141_905489	53.74
PN7RL_k141_480681	70.35
PN1RG_k141_932008	85.49
PN6RS_k141_1117211	61.84
PN1CI_k141_264470	74.89
PN12RH_k141_1014986	81.33
PN1RE_k141_259500	58.23
PN13RJ_k141_2254357	100
PN16RM_k141_1222187	82.11
PN11RI_k141_146492	94.4
PN7RE_k141_1451073	62.13
PN5CC_k141_47342	100
PN7RG_k141_941046	75.85
PN16RV_k141_245083	53.59
PN3RD_k141_425624	54.04
PN5LA_k141_366307_1	91.75
PN8RH_k141_287644	54.46
PN1RL_k141_659169	63.32
PN2LG_k141_1041414	89.56
PN5RG_k141_1004726_1	100
PN8RF_k141_1307399	100
PN11RA_k141_1369902_1	95.41
PN16RA_k141_1400200	52.71
PN10RH_k141_1049070	95.29
PN1RH_k141_2414686	100
PN5RE_k141_1064440_1	100
PN16RB_k141_665806	100
PN1RD_k141_2527221	66.62
PN1RJ_k141_346620	74.57
PN3CF_k141_1125739	100
PN5LA_k141_70504	95.18
PN6RJ_k141_301791	85.26
PN14RQ_k141_1509909	83.71
PN4RB_k141_716617	100
PN7RA_k141_817405	100
PN16RQ_k141_1694886	100
PN10RG_k141_1579470	53.94
PN12RA_k141_61631_1	87.98
PN12RC_k141_929470_1	69.88
PN13RL_k141_2332443	100
PN14RB_k141_312447	100
PN15RI_k141_730393	84.64
PN16RA_k141_654191	68.54
PN1LK_k141_495194	83.31
PN1RA_k141_2068615	100
PN1RL_k141_2011656	100
PN1RL_k141_2037188	94.03
PN3CD_k141_551667	100
PN3DG_k141_247309	100
PN3RD_k141_2098054	86.52
PN5CE_k141_43426	56.92
PN5RG_k141_45935	67.93
PN6RM_k141_1677319	75.88
PN7RJ_k141_1445865_1	50.37
PN7RK_k141_648152	51.47
PN9RI_k141_1126676_1	100
PN13RM_k141_1559175	65.78
PN15RF_k141_956139	91.01
PN16RC_k141_1609816_1	92.08
PN3RG_k141_1326090	74.34
PN1RL_k141_1737384_1	85.44
