DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	AMG

#dataset color (can be changed later)
COLOR	#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#To order legend entries horizontally instead of vertically, set LEGEND_HORIZONTAL to 1
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE Dataset legend
#LEGEND_POSITION_X 100
#LEGEND_POSITION_Y 100
#LEGEND_HORIZONTAL 0
#LEGEND_SHAPES 1 2 3
#LEGEND_COLORS #ff0000 #00ff00 #0000ff
#LEGEND_LABELS value1 value2 value3
#LEGEND_SHAPE_SCALES 1 1 0.5

#width of the gradient strip
STRIP_WIDTH	30

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN	30

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the gradient strip
BORDER_WIDTH	1

#border color; used when BORDER_WIDTH is above 0
BORDER_COLOR	#000000

#automatically create and display a legend based on the color gradient defined below
#AUTO_LEGEND 1

#define the gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN	#ffffff
COLOR_MAX	#41ab5d

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR	1
COLOR_MID	#e7f5eb

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 1

#display or hide the dataset label above the gradient strip
#SHOW_LABELS 1

#text label size factor
#SIZE_FACTOR 1

#text label rotation
#LABEL_ROTATION 0

#text label shift in pixels (positive or negative)
#LABEL_SHIFT 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1 value1
#ID2 value2
#9606 10000
#LEAF1|LEAF2 11000
PN2RH_k141_2313065	4.123105626
PN3LE_k141_895667	3.741657387
PN3CF_k141_2537471	3.31662479
PN10RO_k141_2082806	3.31662479
PN13RO_k141_581056	3.31662479
PN13RI_k141_847410	3.31662479
PN2CJ_k141_10533	3.31662479
PN3LH_k141_1093113	3.16227766
PN10RM_k141_1987892	3.16227766
PN14RQ_k141_228295	3
PN14RQ_k141_858259_fragment_1	3
PN3CA_k141_1769339	3
PN3CF_k141_183654	3
PN3LA_k141_789943	3
PN6RA_k141_2107934	3
PN3LE_k141_1563052	3
PN1CL_k141_746582	3
PN6RO_k141_341322	3
PN1CL_k141_483259	3
PN10RA_k141_1450296	3
PN8RF_k141_1307399	2.828427125
PN13RI_k141_808834	2.828427125
PN3RE_k141_1769228	2.828427125
PN5LH_k141_706478	2.828427125
PN2CH_k141_2561402_fragment_1	2.828427125
PN3LH_k141_2113916	2.828427125
PN4RA_k141_487658_fragment_1	2.645751311
PN5RH_k141_344376	2.645751311
PN6RQ_k141_815120	2.645751311
PN13RC_k141_1815245	2.645751311
PN13RL_k141_621970	2.645751311
PN1LI_k141_1155080	2.645751311
PN13RS_k141_885788	2.645751311
PN1RI_k141_630154	2.645751311
PN16RH_k141_1740552	2.645751311
PN1CL_k141_718842	2.645751311
PN3RD_k141_2005864	2.645751311
PN3JF_k141_203595	2.645751311
PN3LE_k141_2045786	2.449489743
PN3CF_k141_1471936	2.449489743
PN2RA_k141_1464517	2.449489743
PN15RN_k141_620635	2.449489743
PN2CJ_k141_110894	2.449489743
PN11RN_k141_2476306	2.449489743
PN16RL_k141_1282845	2.449489743
PN2RB_k141_989366	2.449489743
PN2RH_k141_226178	2.449489743
PN3CF_k141_1564340	2.449489743
PN5CG_k141_711008	2.449489743
PN5DD_k141_33464	2.449489743
PN6RQ_k141_409182	2.449489743
PN7RP_k141_1692573	2.449489743
PN16RF_k141_1333734	2.449489743
PN1RA_k141_4149066	2.449489743
PN7RO_k141_1622921	2.449489743
PN11RC_k141_2275486_1	2.449489743
PN16RO_k141_2375811	2.449489743
PN2LC_k141_626036	2.449489743
PN3CF_k141_2213597	2.449489743
PN2GI_k141_101254	2.449489743
PN6RQ_k141_1028767	2.449489743
PN14RN_k141_378913_1	2.236067977
PN1GC_k141_88170	2.236067977
PN1RK_k141_3402894	2.236067977
PN5RG_k141_1019227	2.236067977
PN14RF_k141_508137_1	2.236067977
J160_NODE_13	2.236067977
PN13RO_k141_11772	2.236067977
PN1RL_k141_1579315	2.236067977
PN1CL_k141_381422	2.236067977
PN3LB_k141_1202224_1	2.236067977
PN7RL_k141_227356_1	2.236067977
PN7RQ_k141_618035_1	2.236067977
PN16RM_k141_1575150	2.236067977
PN1LI_k141_1066741	2.236067977
PN10RL_k141_1424738	2.236067977
PN13RI_k141_732467	2.236067977
PN14RO_k141_1364616	2.236067977
PN1GG_k141_82693	2.236067977
PN3CF_k141_1026870	2.236067977
PN5RG_k141_327956	2.236067977
PN6RR_k141_1172334	2.236067977
PN7RE_k141_1549625	2.236067977
PN7RI_k141_1696966	2.236067977
PN6RL_k141_298133	2.236067977
PN13RP_k141_16779	2.236067977
PN5IC_k141_36795	2.236067977
PN5RG_k141_17238	2.236067977
PN6RI_k141_423894	2.236067977
PN14RD_k141_476931	2.236067977
PN1RB_k141_670224	2.236067977
PN1RD_k141_347490	2.236067977
PN1RK_k141_1894228	2.236067977
PN1RK_k141_406066	2.236067977
PN3LA_k141_277661	2.236067977
PN3LB_k141_176977	2.236067977
PN3RH_k141_2171589	2.236067977
PN6RF_k141_1627978	2.236067977
PN1CD_k141_1637197	2.236067977
PN1RA_k141_1109444	2.236067977
PN3LC_k141_2186678	2.236067977
PN8RA_k141_426394	2.236067977
PN11RA_k141_1369902_1	2
PN16RA_k141_1400200	2
PN1RJ_k141_1800633	2
PN3RH_k141_2953533_1	2
PN7RH_k141_1711983	2
PN7RL_k141_476843	2
PN3LF_k141_1497737	2
PN14RC_k141_676914	2
PN10RB_k141_1557828	2
PN13RC_k141_460980	2
PN12RH_k141_132337	2
PN5RC_k141_454120_1	2
PN14RG_k141_54633	2
PN15RF_k141_76192	2
PN14RM_k141_687515	2
PN14RT_k141_1417191	2
PN11RO_k141_656909	2
PN3LA_k141_57719	2
PN1LC_k141_689394	2
PN8RF_k141_574269_1	2
PN8RS_k141_1283717	2
PN13RS_k141_472431	2
PN8RF_k141_1268763	2
PN11RJ_k141_2448640_1	2
PN3RD_k141_1916142	2
PN9RI_k141_1200278	2
PN8RC_k141_317980	2
PN9RJ_k141_1141471	2
PN3RA_k141_2501584	2
PN6RO_k141_1673197	2
PN3CF_k141_1646719	2
PN14RH_k141_574539	2
PN7RM_k141_1013423	2
PN10RO_k141_1110866_1	2
PN11RL_k141_1121320	2
PN12RD_k141_1705689	2
PN14RO_k141_328514	2
PN1CJ_k141_1429668	2
PN1RB_k141_2170632	2
PN1RC_k141_3086170	2
PN1RC_k141_3544081	2
PN2RJ_k141_318254	2
