name	vOTU_rename	contig_len	provirus	checkv_quality	miuvig_quality	completeness	contamination	family	host	type	expand	AMG_count
PN16RA|k141_606957	vOTU_00001	5245	No	Complete	High-quality	100	0	Microviridae	Acidaminococcaceae	lytic	Yes	0
PN2RI|k141_2984282	vOTU_00002	5035	No	Complete	High-quality	100	0	Microviridae	Acidaminococcaceae	lytic	Yes	0
PN5LA|k141_425351_1	vOTU_00003	34935	No	High-quality	High-quality	95.37	0	Siphoviridae	Acidaminococcaceae	lysogenic	Yes	0
PN5RB|k141_109154	vOTU_00004	5233	No	High-quality	High-quality	100	0	Microviridae	Acidaminococcaceae	lytic	Yes	0
PN5RD|k141_87299	vOTU_00005	5161	No	High-quality	High-quality	100	0	Microviridae	Acidaminococcaceae	lytic	Yes	0
PN5RG|k141_852828	vOTU_00006	45015	No	Complete	High-quality	100	0	Unclassified	Acidaminococcaceae	lytic	Yes	0
PN9RJ|k141_127978	vOTU_00007	31942	No	Medium-quality	Genome-fragment	86.11	0	Myoviridae	Acidaminococcaceae	lytic	Yes	0
PN5CG|k141_98159	vOTU_00008	30066	No	Medium-quality	Genome-fragment	75.24	0	Unclassified	Acidaminococcaceae	lytic	No	0
H124|NODE_2_1	vOTU_00009	37630	No	Medium-quality	Genome-fragment	57.15	0	Siphoviridae	Actinomycetaceae	lytic	Yes	0
H198|NODE_14	vOTU_00010	33159	No	Complete	High-quality	100	0	Unclassified	Actinomycetaceae	lytic	Yes	0
PN1JE|k141_421403_1_fragment_2	vOTU_00011	27476	No	Medium-quality	Genome-fragment	79.87	0	Siphoviridae	Actinomycetaceae	lysogenic	Yes	0
H124|NODE_4_1	vOTU_00012	40006	No	Medium-quality	Genome-fragment	84.27	0	Siphoviridae	Actinomycetaceae	lytic	Yes	2
H124|NODE_1_1_fragment_1	vOTU_00013	13661	No	Medium-quality	Genome-fragment	87.5	0	Siphoviridae	Actinomycetaceae	lysogenic	Yes	1
J381|NODE_1_1	vOTU_00014	46240	No	High-quality	High-quality	96.84	0	Siphoviridae	Actinomycetaceae	lytic	No	1
