BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
A99_NODE_1.region001	NODE_1	NODE_1	T3PKS	PKSother		
A99_NODE_1.region002	NODE_1	NODE_1	terpene	Terpene		
A99_NODE_1.region003	NODE_1	NODE_1	NRPS	NRPS		
A99_NODE_12.region001	NODE_12	NODE_12	NRPS	NRPS		
A99_NODE_13.region001	NODE_13	NODE_13	NRPS	NRPS		
A99_NODE_2.region001	NODE_2	NODE_2	other	Others		
A99_NODE_2.region002	NODE_2	NODE_2	sactipeptide	RiPPs		
A99_NODE_2.region003	NODE_2	NODE_2	CDPS	Others		
A99_NODE_2.region004	NODE_2	NODE_2	NRPS	NRPS		
A99_NODE_3.region001	NODE_3	NODE_3	terpene	Terpene		
A99_NODE_4.region001	NODE_4	NODE_4	lanthipeptide-class-i	RiPPs		
A99_NODE_4.region002	NODE_4	NODE_4	NRPS	NRPS		
A99_NODE_5.region001	NODE_5	NODE_5	T3PKS.NRPS.transAT-PKS.PKS-like	PKS-NRP_Hybrids		
A99_NODE_8.region001	NODE_8	NODE_8	betalactone.NRPS	Others		
B13_NODE_1.region001	NODE_1	NODE_1	terpene	Terpene		
B13_NODE_1.region002	NODE_1	NODE_1	LAP.RiPP-like	RiPPs		
B13_NODE_2.region001	NODE_2	NODE_2	T3PKS	PKSother		
B4_NODE_14.region001	NODE_14	NODE_14	terpene	Terpene		
B4_NODE_16.region001	NODE_16	NODE_16	cyclic-lactone-autoinducer.lanthipeptide-class-ii	RiPPs		
B4_NODE_18.region001	NODE_18	NODE_18	RiPP-like	RiPPs		
B4_NODE_24.region001	NODE_24	NODE_24	ladderane	Others		
B4_NODE_26.region001	NODE_26	NODE_26	betalactone	Others		
B4_NODE_27.region001	NODE_27	NODE_27	terpene	Terpene		
B4_NODE_5.region001	NODE_5	NODE_5	RiPP-like	RiPPs		
B4_NODE_7.region001	NODE_7	NODE_7	NRPS	NRPS		
B4_NODE_7.region002	NODE_7	NODE_7	T3PKS	PKSother		
B7_NODE_1.region001	NODE_1	NODE_1	RRE-containing	RiPPs		
B7_NODE_1.region002	NODE_1	NODE_1	terpene	Terpene		
B7_NODE_2.region001	NODE_2	NODE_2	siderophore	Others		
B7_NODE_2.region002	NODE_2	NODE_2	terpene	Terpene		
B7_NODE_2.region003	NODE_2	NODE_2	T3PKS	PKSother		
BGC0000001	BGC0000001	"Verrucosispora maris AB-18-032 protein methyltransferase (orfP), putative hydrolase, pathway-specific SARP activator (abyR), cytochrome P450 (abyX), LuxR family transcriptional regulator (abyH), pathway-specific SARP activator (abyI), YD repeat protein (abyK), 3-oxoacyl-ACP synthase III (abyA1), phosphatase and glyceryl transferase (abyA2), acyl-carrier protein (abyA3), pyruvate/2-oxoglutarate dehydrogenase (abyA4), AbyA5 (abyA5), type 1 polyketide synthase (abyB1), type 1 polyketide synthase (abyB2), type 1 polyketide synthase (abyB3), TetR regulatory protein (abyC), EmrB/QacA drug resistance transporter (abyD), luciferase/monooxygenase (abyE), BC transporter oligopeptide binding protein (abyF1), ABC transporter oligopeptide permease (abyF2), binding-protein dependent ABC transporter (abyF3), ATP-binding ABC peptide transporter (abyF4), cytochrome P450 (abyV), alcohol dehydrogenase (abyW), NAD(P)H-depedent FMN-reductase (abyZ), type II thioesterase (abyT), Zn-dependent alcohol dehydrogenase (orfU), and TetR transcriptional regulator (orfS) genes, complete cds"	T1PKS	PKSI	Micromonospora maris AB-18-032	"Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora"
BGC0000002	BGC0000002	"Kutzneria albida DSM 43870, complete genome"	oligosaccharide.T1PKS	Others	Kutzneria albida DSM 43870	"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria"
BGC0000003	BGC0000003	"Alternaria alternata AF-toxin biosynthesis gene cluster (Aft9-1, Aft10-1, Aft11-1, Aft12-1, AftR-2, Aft3-2), complete cds"	T1PKS	PKSI	Alternaria alternata	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,Alternaria alternata complex"
BGC0000004	BGC0000004	"Aspergillus oryzae DNA, aflatoxin biosynthesis gene cluster, complete sequence, strain: RIB40"	T1PKS	PKSI	Aspergillus oryzae	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati"
BGC0000006	BGC0000006	"Aspergillus flavus isolate AF13 aflatoxin biosynthesis gene cluster, complete sequence"	T1PKS	PKSI	Aspergillus flavus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati"
BGC0000007	BGC0000007	"Aspergillus flavus isolate BN008 aflatoxin biosynthesis gene cluster, complete sequence"	T1PKS	PKSI	Aspergillus flavus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati"
BGC0000008	BGC0000008	"Aspergillus flavus isolate AF70 aflatoxin biosynthesis gene cluster, complete sequence"	T1PKS	PKSI	Aspergillus flavus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati"
BGC0000009	BGC0000009	"Aspergillus nomius isolate AN13137 aflatoxin biosynthesis gene cluster, complete sequence"	T1PKS	PKSI	Aspergillus nomiae	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus"
BGC0000010	BGC0000010	"Aspergillus flavus isolate AF36 aflatoxin biosynthesis gene cluster, complete sequence"		Others	Aspergillus flavus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati"
BGC0000011	BGC0000011	"Aspergillus ochraceoroseus strain SRRC 1432 aflatoxin/sterigmatocystin gene cluster, complete sequence"	T1PKS	PKSI	Aspergillus ochraceoroseus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes"
BGC0000012	BGC0000012	"Alternaria solani alt1, alt2, alt3, alt4, alt5 genes for cytochrome P-450, cytochrome, P-450, cytochrome P-450, FAD/FMN-dependent oxygenase/oxidase, polyketide synthase, complete cds"	T1PKS	PKSI	Alternaria solani	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Porri"
BGC0000013	BGC0000013	TPA_asm: Aspergillus nidulans FGSC A4 chromosome IV	T1PKS	PKSI	Aspergillus nidulans FGSC A4	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes"
BGC0000014	BGC0000014	"Polyangium cellulosum strain So ce10 histidine kinase response regulator gene, partial cds; hypothetical protein genes, complete cds; ambruticin gene cluster, complete sequence; and hypothetical protein genes, complete cds"	NRPS-like.T1PKS	PKS-NRP_Hybrids	Sorangium cellulosum	"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium"
BGC0000016	BGC0000016	"Streptomyces nodosus amphotericin biosynthetic gene cluster, partial sequence"		Others	Streptomyces nodosus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000017	BGC0000017	"Oscillatoria sp. PCC 6506 anatoxin-a and homoanatoxin-a biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	[Oscillatoria] sp. PCC 6506	"Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Kamptonema"
BGC0000018	BGC0000018	"Streptomyces eurythermus strain ATCC 23956 anglomycin biosynthesis gene cluster, complete sequence"	T1PKS	PKSI	Streptomyces eurythermus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000019	BGC0000019	"Streptomyces eurythermus angolamycin biosynthesis gene cluster, complete sequence"		Others	Streptomyces eurythermus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000020	BGC0000020	"Actinosynnema pretiosum subsp. auranticum maytansinoid antitumor agent ansamitocin biosynthetic gene cluster I, partial sequence"	NRPS-like.T1PKS	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. auranticum	"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema"
BGC0000021	BGC0000021	"Nocardiopsis sp. FU40 apoptolidin gene cluster, complete sequence"	T1PKS	PKSI	Amycolatopsis sp. FU40	"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis"
BGC0000022	BGC0000022	"Aspergillus nidulans FGSC A4 chromosome VIII ANcontig1.15, whole genome shotgun sequence"	T1PKS	PKSI	Aspergillus nidulans FGSC A4	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes"
BGC0000023	BGC0000023	"Stigmatella aurantiaca aurafuron biosynthetic gene cluster, strain DW4/3-1"	T1PKS	PKSI	Stigmatella aurantiaca DW4/3-1	"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella"
BGC0000024	BGC0000024	"Streptomyces thioluteus aureothin biosynthesis gene cluster (aurABCDEFGHI genes), strain HKI-22"	T1PKS	PKSI	Streptomyces thioluteus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000025	BGC0000025	"Streptomyces avermitilis avermectin biosynthetic gene cluster (orf1, aveBI, aveBII, aveBIII, aveBIV, aveBV, aveBVI, aveBVII, aveBVIII), complete cds"		Others	Streptomyces avermitilis	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000026	BGC0000026	"Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence"	oligosaccharide.T1PKS.PKS-like	Others	Streptomyces viridochromogenes Tue57	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000027	BGC0000027	"Monascus pilosus pigment biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Monascus pilosus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Monascus"
BGC0000028	BGC0000028	"Streptomyces lohii strain ATCC BAA-1276 bafilomycin biosynthetic gene cluster, complete sequence; and putative LuxR-like protein, putative malonyl transferase, and putative CoA ligase genes, complete cds"	T1PKS	PKSI	Streptomyces lohii	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000029	BGC0000029	"Streptomyces sp. DSM 21069 putative secreted metal-binding protein, putative lipoprotein, and hypothetical protein genes, complete cds; BE-14106 biosynthetic gene cluster, complete sequence; putative tripeptidylaminopeptidase and putative urease accessory proteins genes, complete cds; and putative urease accessory protein gene, partial cds"	T1PKS	PKSI	Streptomyces sp. DSM 21069	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000030	BGC0000030	"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr05"	T1PKS	PKSI	Fusarium fujikuroi IMI 58289	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex"
BGC0000031	BGC0000031	Streptomyces parvulus Tu4055 cluster for borrelidin biosynthesis	T1PKS	PKSI	Streptomyces parvulus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000032	BGC0000032	"Streptomyces chartreusis pyrrole polyether antibiotic calcimycin (A23187) biosynthesis gene cluster, complete sequence"	T1PKS	PKSI	Streptomyces chartreusis NRRL 3882	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000033	BGC0000033	"Micromonospora echinospora calicheamicin biosynthetic locus, complete sequence"	oligosaccharide.T1PKS.PKS-like	Others	Micromonospora echinospora	"Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora"
BGC0000034	BGC0000034	"Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence"	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. FR-008	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000035	BGC0000035	"Streptomyces bikiniensis strain NRRL 2737 chalcomycin biosynthetic gene cluster, partial sequence"	T1PKS	PKSI	Streptomyces bikiniensis	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000036	BGC0000036	"Streptomyces antibioticus acetyltransferase gene, partial cds; hypothetical protein and Orf0 genes, complete cds; chlorothricin biosynthetic gene cluster, complete sequence; ChlC7, ChlB1, ChlB4, ChlB2, ChlB3, ChlH, ChlC5, ChlC4, ChlC3, ChlI, ChlJ, ChlF2, ChlK, ChlC2, ChlC1, ChlC6, ChlL, peptidase M20, putative helicase, and ankyrin genes, complete cds; tankyrase1-binding protein gene, partial cds; and unknown gene"	T1PKS.PKS-like	PKSother	Streptomyces antibioticus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000037	BGC0000037	TPA_asm: Aspergillus nidulans FGSC A4 chromosome I	T1PKS	PKSI	Aspergillus nidulans FGSC A4	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes"
BGC0000038	BGC0000038	Streptomyces coelicolor A3(2) complete genome	butyrolactone.T1PKS	Others	Streptomyces coelicolor A3(2)	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group"
BGC0000039	BGC0000039	"Penicillium citrinum ML-236B (compactin) biosynthetic gene cluster (mlcH, mlcG, mlcF, mlcA, mlcC, mlcB, mlcD, mlcE, mlcR), complete cds"	T1PKS	PKSI	Penicillium citrinum	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium"
BGC0000040	BGC0000040	"Streptomyces neyagawaensis concanamycin A biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Streptomyces neyagawaensis	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000041	BGC0000041	"Pseudomonas syringae coronafacic acid biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Pseudomonas syringae	"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas"
BGC0000042	BGC0000042	"Streptomyces sp. MJ635-86F5 DNA, cremimycin biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Streptomyces sp. MJ635-86F5	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000043	BGC0000043	"Moorea producens 19L curacin A biosynthetic gene cluster, partial sequence"	T1PKS	PKSI	Moorena producens 19L	"Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Moorena"
BGC0000044	BGC0000044	"Stigmatella aurantiaca DW4/3-1, complete genome"	T1PKS	PKSI	Stigmatella aurantiaca DW4/3-1	"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella"
BGC0000045	BGC0000045	"Aspergillus terreus strain AH-02-30-F7 dehydrocurvularin biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Aspergillus terreus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati"
BGC0000046	BGC0000046	"Alternaria brassicicola strain MUCL 202097 depudecin gene cluster, complete sequence"	T1PKS	PKSI	Alternaria brassicicola	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Brassicicola"
BGC0000047	BGC0000047	"Streptomyces sp. KCTC 0041BP dihydrochalcomyin biosynthesis gene cluster, complete sequence"	T1PKS	PKSI	Streptomyces sp. KCTC 0041BP	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000048	BGC0000048	"Mycosphaerella pini hypothetical protein (DS34) gene, partial cds; hypothetical protein (DS33), putative methionine permease (DS32), putative translation elongation factor (DS31), hypothetical protein (DS30), hypothetical protein (DS29), putative MFS multidrug transporter (DS28), hypothetical protein (DS27), hypothetical protein (DS26), putative amino acid permease (DS25), putative flavin-binding monooxygenase (moxA), epoxide hydrolase (epoA), averufin oxidase (avfA), cytochrome P450 monooxygenase (cypA), polyketide synthase (pksA), hypothetical protein (DS19), hypothetical protein (DS18), hypothetical protein (DS17), and hypothetical protein (DS16) genes, complete cds; and hypothetical protein (DS15) gene, partial cds"	T1PKS	PKSI	Dothistroma septosporum	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma"
BGC0000050	BGC0000050	"Streptomyces aculeolatus A gene locus, complete sequence"	T1PKS	PKSI	Streptomyces aculeolatus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000051	BGC0000051	"UNVERIFIED: Streptomyces aburaviensis ebelactone gene cluster, complete sequence"	T1PKS	PKSI	Kitasatospora aburaviensis	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora"
BGC0000052	BGC0000052	"Streptomyces aizunensis strain NRRL B-11277 glycosyltransferase, polyketide synthase type Is, acyl transferase, membrane protein, ABC transporter, sugar dehydratase/epimerase, sugar epimerase, sugar nucleotidyltransferase, sugar dehydratase/epimerase, thioesterase, acyl CoA ligase, amine oxidase, phosphopantetheinyl transferase, transcriptional regulator, carboxylase/carboxyltransferase, amidinohydrolase, amide synthetase, 5-aminolevulinate synthase, and acyl CoA ligase genes, complete cds; and unknown gene"	T1PKS	PKSI	Streptomyces aizunensis	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000053	BGC0000053	Sequence 49 from patent US 7595187	T1PKS	PKSI	Unknown. Unclassified.	
