DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	completeness

#dataset color (can be changed later)
COLOR	#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#To order legend entries horizontally instead of vertically, set LEGEND_HORIZONTAL to 1
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE Dataset legend
#LEGEND_POSITION_X 100
#LEGEND_POSITION_Y 100
#LEGEND_HORIZONTAL 0
#LEGEND_SHAPES 1 2 3
#LEGEND_COLORS #ff0000 #00ff00 #0000ff
#LEGEND_LABELS value1 value2 value3
#LEGEND_SHAPE_SCALES 1 1 0.5

#width of the gradient strip
STRIP_WIDTH	30

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN	30

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the gradient strip
BORDER_WIDTH	1

#border color; used when BORDER_WIDTH is above 0
BORDER_COLOR	#000000

#automatically create and display a legend based on the color gradient defined below
#AUTO_LEGEND 1

#define the gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN	#ffffff
COLOR_MAX	#ef3b2c

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR	1
COLOR_MID	#ea9999

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 1

#display or hide the dataset label above the gradient strip
#SHOW_LABELS 1

#text label size factor
#SIZE_FACTOR 1

#text label rotation
#LABEL_ROTATION 0

#text label shift in pixels (positive or negative)
#LABEL_SHIFT 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1 value1
#ID2 value2
#9606 10000
#LEAF1|LEAF2 11000
BL1	100
BL4	100
CH2	100
CH3	100
CH37	100
CH42	100
G59	100
H100	100
H124	100
H139	100
H186	100
H19	100
H2	100
H31	100
H36	100
H64	100
H70	100
J1005	100
J1045	100
J1071	100
J1272	100
J131	100
J1347	100
J1364	100
J1365	100
J1369	100
J1385	100
J1394	100
J1406	100
J146	100
J267	100
J383	100
J410	100
J427	100
J900	100
J941	100
J99	100
K10	100
K237	100
K297	100
K331	100
K340	100
K72	100
R101	100
R216	100
CH39	99.99
H198	99.99
H53	99.99
J373	99.99
J387	99.99
K298	99.99
K320	99.99
K330	99.99
R5	99.99
K27	99.98
K338	99.98
H106	99.97
G90	99.96
H112	99.93
J1044	99.91
CH25	100
PN5IA.bin.56	100
PN14RM.vae.1728	100
PN3DF.bin.18	100
J1395	100
PN8RJ.bin.67	100
PN10RE.vae.22287	100
PN8RM.bin.200	100
G47	100
PN5RA.vae.11471	100
PN7RA.bin.98	100
K67	100
PN5IE.vae.204043	100
X28a	100
PN5CA.vae.9799	100
PN15RI.bin.107	100
PN2RH.vae.55240	100
PN5RC.vae.11842	100
PN8RD.bin.209	100
PN10RN.vae.20273	100
PN5JD.vae.18609	100
PN13RO.vae.45168	100
PN5LD.vae.12589	100
PN3RA.vae.519	100
PN13RO.bin.213	100
PN14RR.vae.23829	100
PN14RN.bin.172	100
PN11RN.bin.178	100
PN9RI.vae.17238	100
PN10RH.vae.91881	100
PN6RB.vae.7066	100
PN10RB.bin.92	100
PN13RL.bin.167	100
PN5LD.vae.7877	100
PN10RQ.vae.11348	100
PN3RF.bin.170	100
PN16RV.bin.55	100
PN10RO.vae.58256	100
PN5CC.vae.7322	100
PN10RI.vae.2857	100
J276	100
PN3CC.vae.26171	100
J252	100
PN10RP.bin.55	100
PN5RE.vae.51329	100
PN13RA.vae.11960	100
J548	100
PN1RL.vae.14061	100
PN5RE.bin.167	100
PN5RH.vae.14211	100
J1047	100
PN5LB.vae.1462	100
PN15RM.bin.126	100
J113	100
PN6RB.bin.8	100
PN13RP.bin.156	100
PN6RO.vae.99779	100
PN6RB.vae.32416	100
PN8RE.vae.10656	100
PN14RD.bin.91	100
PN15RK.vae.25170	100
PN7RQ.vae.16188	100
PN2CB.bin.66	100
CH28	100
PN6RF.vae.34930	100
PN1RC.vae.93693	100
PN11RG.vae.32922	100
PN11RA.bin.82	100
J1068	100
PN3RA.vae.80477	100
PN16RK.bin.136	100
PN11RE.bin.6	100
PN1RL.bin.29	100
J406	100
J381	100
PN11RI.bin.98	100
PN5RD.bin.239	100
G88	100
PN3CA.vae.26312	100
J352	100
K260	100
CH17	100
J1001	100
K341	100
J520	100
J417	100
CH13	100
J1049	100
CH18	100
J244	100
J433	100
J355	100
CH7	100
CH40	100
J28	99.9
K329	99.9
R35	99.9
PN15RE.vae.931	99.99
PN14RC.vae.335	99.99
CH8	99.99
PN13RI.vae.4836	99.99
PN1GF.bin.3	99.99
PN10RO.vae.37307	99.99
PN11RD.vae.10428	99.99
J183	99.99
PN5LB.vae.1504	99.99
PN6RL.vae.35006	99.99
PN2JC.vae.28754	99.99
PN5LA.vae.17488	99.99
G93	99.99
K8	99.99
H52	99.99
H98	99.99
CH10	99.89
PN5JF.vae.4331	99.98
PN1DK.vae.35022	99.98
J312	99.98
PN8RJ.bin.112	99.98
PN16RM.bin.170	99.98
PN9RE.vae.10692	99.98
J1391	99.98
PN11RO.bin.30	99.98
CH19	99.98
PN5CE.vae.10264	99.97
PN7RN.vae.96553	99.97
PN6RC.vae.10670	99.97
J458	99.97
K273	99.97
PN11RF.bin.47	99.97
PN4RE.bin.18	99.97
PN10RA.vae.6800	99.97
PN11RE.bin.56	99.97
PN6RR.bin.27	99.97
PN2GC.bin.4	99.97
PN3LE.vae.6365	99.97
PN8RR.vae.4854	99.96
R78	99.96
PN6RG.bin.102	99.96
PN5LB.vae.23756	99.96
PN3RB.vae.225	99.96
PN3CG.vae.27859	99.96
PN1LI.vae.479	99.95
J474	99.95
PN7RQ.bin.202	99.95
PN10RH.vae.45902	99.95
PN3DG.bin.56	99.95
PN11RN.bin.103	99.95
PN8RC.bin.156	99.95
PN5CD.bin.62	99.94
PN15RF.bin.97	99.94
PN15RF.bin.57	99.93
PN3JA.bin.5	99.93
PN4RF.bin.57	99.93
PN3GH.bin.7	99.93
PN14RC.vae.6726	99.93
J885	99.93
J1061	99.83
PN14RB.bin.24	99.92
PN11RI.vae.36013	99.91
PN5CA.vae.31839	99.91
PN9RC.bin.136	99.91
PN5CC.vae.2750	99.9
PN9RG.bin.55	99.9
PN10RK.vae.116728	99.9
PN5RB.bin.277	99.9
J1040	99.8
PN1LI.vae.9957	99.89
PN6RH.bin.131	99.89
PN4RE.bin.153	99.89
PN1RE.bin.102	99.89
J1114	99.88
PN14RQ.vae.4682	99.88
PN15RC.vae.11312	99.88
PN8RI.bin.53	99.88
PN12RG.bin.96	99.88
PN13RG.vae.43545	99.88
PN8RN.vae.20547	99.88
