genome	source	strains	expand	GTDB_capture	novo	contigs	genome_size	avg_len	N50_len	N90_len	GC	completeness	contamination	gene	5S	16S	23S	tRNA	quality	domain	phylum	class	order	family	genus	species
BL1	isolate	1	Yes	Yes	No	674	6435515	9548.24	186831	57391	43.13	100	3.02	5957	5	16	19	137	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL4	isolate	1	Yes	Yes	No	667	3875755	5810.73	713850	77534	46.98	100	0.5	4309	7	6	16	86	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
CH10	isolate	1	Yes	Yes	No	218	2421912	11109.69	32427	4858	60.03	99.89	0.52	2153	0	2	2	58	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium longum
CH11	isolate	1	No	Yes	No	562	4353766	7746.91	13791	3582	45.55	95.5	4.28	3964	2	2	4	70	high-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides distasonis
CH13	isolate	1	No	Yes	No	39	4589795	117687.05	350784	98020	46.19	100	0.14	3821	0	4	4	69	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis
CH17	isolate	2	Yes	Yes	No	77	3645645	47346.04	164384	41600	64.91	100	0.28	3429	2	0	0	53	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_B	s__Arthrobacter_B sp001307035
CH18	isolate	2	Yes	No	Yes	185	3814517	20619.01	49639	11490	38.52	100	0.52	3923	1	2	0	41	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metasolibacillus	s__
CH19	isolate	2	Yes	Yes	No	38	3800042	100001.1	462658	54487	38.56	99.98	0.18	3789	6	1	4	53	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris
CH2	isolate	3	Yes	Yes	No	436	2595080	5952.02	738327	89015	33.62	100	0.03	2824	1	2	4	63	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis
CH25	isolate	28	No	Yes	No	225	5061061	22493.6	82342	25720	50.69	100	0.02	4965	3	7	16	80	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
