name	ko	family	lv2des
PN16RJ|k141_695576	K06167	Siphoviridae	Metabolism of other amino acids
PN12RH|k141_1089674	K00558	Siphoviridae	Amino acid metabolism
PN7RV|k141_623612	K01950	Unclassified	Metabolism of cofactors and vitamins
PN11RG|k141_540136	K00390	Quimbyviridae	Energy metabolism
PN10RQ|k141_1323465	K00558	Siphoviridae	Amino acid metabolism
PN10RQ|k141_1323465	K00558	Siphoviridae	Amino acid metabolism
PN1CL|k141_307205_1	K01956	Unclassified	Nucleotide metabolism
PN5RG|k141_466667_1	K00558	Siphoviridae	Amino acid metabolism
PN5LE|k141_478709	K21029	Podoviridae_crAss-like	"Folding, sorting and degradation"
PN1CI|k141_457194	K00789	Siphoviridae	Amino acid metabolism
PN5RE|k141_1091074	K00558	Siphoviridae	Amino acid metabolism
PN5RE|k141_1091074	K00558	Siphoviridae	Amino acid metabolism
PN4RG|k141_1376475	K00789	Myoviridae	Amino acid metabolism
PN14RN|k141_1263717_1	K00208	Siphoviridae	Lipid metabolism
PN7RK|k141_2281091	K06167	Siphoviridae	Metabolism of other amino acids
PN15RA|k141_132227	K17398	Siphoviridae	Amino acid metabolism
PN13RI|k141_1439479	K00005	Unclassified	Carbohydrate metabolism
PN13RI|k141_1439479	K02495	Unclassified	Metabolism of cofactors and vitamins
PN7RM|k141_1189755	K01190	Siphoviridae	Carbohydrate metabolism
PN13RS|k141_1261537_1	K00558	Siphoviridae	Amino acid metabolism
PN13RS|k141_1261537_1	K00789	Siphoviridae	Amino acid metabolism
PN13RS|k141_1261537_1	K00558	Siphoviridae	Amino acid metabolism
PN6RN|k141_557464	K03335	Unclassified	Carbohydrate metabolism
PN3CF|k141_51333	K00859	Myoviridae	Metabolism of cofactors and vitamins
PN3CF|k141_51333	K01598	Myoviridae	Metabolism of cofactors and vitamins
PN2RG|k141_439579	K17398	Myoviridae	Amino acid metabolism
PN7RC|k141_762218	K00831	Siphoviridae	Energy metabolism
PN10RI|k141_645407	K00558	Siphoviridae	Amino acid metabolism
PN10RI|k141_645407	K00789	Siphoviridae	Amino acid metabolism
PN10RI|k141_645407	K00558	Siphoviridae	Amino acid metabolism
PN16RU|k141_861852	K00558	Unclassified	Amino acid metabolism
PN3RA|k141_453813_1	K01495	Unclassified	Metabolism of cofactors and vitamins
PN13RI|k141_1591433	K00558	Siphoviridae	Amino acid metabolism
PN16RL|k141_1282845	K00558	Siphoviridae	Amino acid metabolism
PN16RL|k141_1282845	K00558	Siphoviridae	Amino acid metabolism
PN16RL|k141_1282845	K00600	Siphoviridae	Carbohydrate metabolism
PN16RL|k141_1282845	K01916	Siphoviridae	Metabolism of cofactors and vitamins
PN16RL|k141_1282845	K03462	Siphoviridae	Metabolism of cofactors and vitamins
PN16RL|k141_1282845	K08281	Siphoviridae	Metabolism of cofactors and vitamins
PN12RE|k141_435166	K01756	Unclassified	Nucleotide metabolism
PN8RR|k141_1070779	K00558	Unclassified	Amino acid metabolism
PN1CI|k141_962910	K00558	Unclassified	Amino acid metabolism
PN1CI|k141_962910	K00558	Unclassified	Amino acid metabolism
PN12RC|k141_442457_1	K02849	Myoviridae	Glycan biosynthesis and metabolism
PN11RL|k141_1121320	K00287	Myoviridae	Metabolism of cofactors and vitamins
PN11RL|k141_1121320	K08678	Myoviridae	Carbohydrate metabolism
PN11RL|k141_1121320	K00558	Myoviridae	Amino acid metabolism
PN11RL|k141_1121320	K22227	Myoviridae	Metabolism of cofactors and vitamins
PN7RK|k141_648152	K00789	Siphoviridae	Amino acid metabolism
PN14RQ|k141_39104	K09882	Siphoviridae	Metabolism of cofactors and vitamins
PN14RQ|k141_39104	K00390	Siphoviridae	Energy metabolism
PN6RQ|k141_140361	K14940	Unclassified	Energy metabolism
PN1GH|k141_193600_1	K06167	Unclassified	Metabolism of other amino acids
PN16RD|k141_904118	K21029	Unclassified	"Folding, sorting and degradation"
PN8RM|k141_824871	K00558	Unclassified	Amino acid metabolism
