genomospecies	GCF	BGC	GCC	Accession_ID	Description	Product_Prediction	BiGSCAPE_class	Organism	Taxonomy	length	genome	source	domain	phylum	class	order	family	genus	species
B13	GCF00014	B13_NODE_1.region001	GCC04958	NODE_1	NODE_1	terpene	Terpene	NA	NA	21887	B13	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-18226	g__Mesobacillus	s__Mesobacillus oceanisediminis_A
B13	GCF00015	B13_NODE_1.region002	GCC14374	NODE_1	NODE_1	LAP.RiPP-like	RiPPs	NA	NA	23518	B13	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-18226	g__Mesobacillus	s__Mesobacillus oceanisediminis_A
B13	GCF00016	B13_NODE_2.region001	GCC06804	NODE_2	NODE_2	T3PKS	PKSother	NA	NA	41086	B13	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-18226	g__Mesobacillus	s__Mesobacillus oceanisediminis_A
B4	GCF00017	B4_NODE_14.region001	GCC05298	NODE_14	NODE_14	terpene	Terpene	NA	NA	13910	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B4	GCF00018	B4_NODE_16.region001	GCC17018	NODE_16	NODE_16	cyclic-lactone-autoinducer.lanthipeptide-class-ii	RiPPs	NA	NA	26894	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B4	GCF00019	B4_NODE_18.region001	GCC15861	NODE_18	NODE_18	RiPP-like	RiPPs	NA	NA	11449	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B4	GCF00020	B4_NODE_24.region001	GCC13294	NODE_24	NODE_24	ladderane	Others	NA	NA	30170	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B4	GCF00021	B4_NODE_26.region001	GCC07245	NODE_26	NODE_26	betalactone	Others	NA	NA	24191	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B4	GCF00022	B4_NODE_27.region001	GCC03192	NODE_27	NODE_27	terpene	Terpene	NA	NA	14716	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B4	GCF00023	B4_NODE_5.region001	GCC12967	NODE_5	NODE_5	RiPP-like	RiPPs	NA	NA	10300	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B4	GCF00024	B4_NODE_7.region001	GCC03844	NODE_7	NODE_7	NRPS	NRPS	NA	NA	44230	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B4	GCF00025	B4_NODE_7.region002	GCC09110	NODE_7	NODE_7	T3PKS	PKSother	NA	NA	41092	B4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__Peribacillus massiliglaciei
B7	GCF00026	B7_NODE_1.region001	GCC05774	NODE_1	NODE_1	RRE-containing	RiPPs	NA	NA	21140	B7	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P indicus
B7	GCF00027	B7_NODE_1.region002	GCC12227	NODE_1	NODE_1	terpene	Terpene	NA	NA	20834	B7	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P indicus
B7	GCF00028	B7_NODE_2.region001	GCC03867	NODE_2	NODE_2	siderophore	Others	NA	NA	15428	B7	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P indicus
B7	GCF00029	B7_NODE_2.region002	GCC00029	NODE_2	NODE_2	terpene	Terpene	NA	NA	21875	B7	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P indicus
B7	GCF00030	B7_NODE_2.region003	GCC08473	NODE_2	NODE_2	T3PKS	PKSother	NA	NA	41101	B7	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus_P	s__Bacillus_P indicus
BL1	GCF02528	BL1_NODE_1.region001	GCC14333	NODE_1	NODE_1	betalactone	Others	NA	NA	29428	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02529	BL1_NODE_10.region001	GCC09929	NODE_10	NODE_10	NRPS	NRPS	NA	NA	56720	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02530	BL1_NODE_20.region001	GCC14905	NODE_20	NODE_20	cyclic-lactone-autoinducer.terpene	Others	NA	NA	27090	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02531	BL1_NODE_21.region001	GCC09468	NODE_21	NODE_21	siderophore	Others	NA	NA	16750	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02532	BL1_NODE_26.region001	GCC16561	NODE_26	NODE_26	lassopeptide	RiPPs	NA	NA	24147	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02533	BL1_NODE_38.region001	GCC08661	NODE_38	NODE_38	cyclic-lactone-autoinducer	RiPPs	NA	NA	20767	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02534	BL1_NODE_4.region001	GCC02778	NODE_4	NODE_4	terpene	Terpene	NA	NA	20375	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02535	BL1_NODE_42.region001	GCC04055	NODE_42	NODE_42	NRPS	NRPS	NA	NA	22869	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
